ward,precinct,total,SHAWN M. HANLEY,SHAWN M. HANLEY Percent,JUDY ERWIN,JUDY ERWIN Percent,precinct_id
2,49,252,56,22.22,196,77.78,02049
27,13,670,145,21.64,525,78.36,27013
27,16,307,71,23.13,236,76.87,27016
27,37,1,0,0.0,1,100.0,27037
27,38,612,221,36.11,391,63.89,27038
27,42,411,124,30.17,287,69.83,27042
42,1,523,138,26.39,385,73.61,42001
42,2,363,135,37.19,228,62.81,42002
42,3,376,101,26.86,275,73.14,42003
42,4,407,139,34.15,268,65.85,42004
42,5,362,88,24.31,274,75.69,42005
42,6,635,166,26.14,469,73.86,42006
42,7,455,154,33.85,301,66.15,42007
42,8,585,183,31.28,402,68.72,42008
42,9,569,185,32.51,384,67.49,42009
42,10,668,202,30.24,466,69.76,42010
42,11,463,173,37.37,290,62.63,42011
42,13,608,193,31.74,415,68.26,42013
42,15,509,165,32.42,344,67.58,42015
42,16,770,279,36.23,491,63.77,42016
42,17,380,109,28.68,271,71.32,42017
42,19,638,245,38.4,393,61.6,42019
42,20,295,100,33.9,195,66.1,42020
42,22,228,57,25.0,171,75.0,42022
42,23,513,148,28.85,365,71.15,42023
42,24,523,154,29.45,369,70.55,42024
42,25,408,118,28.92,290,71.08,42025
42,27,514,203,39.49,311,60.51,42027
42,28,406,95,23.4,311,76.6,42028
42,29,438,150,34.25,288,65.75,42029
42,30,659,212,32.17,447,67.83,42030
42,31,236,91,38.56,145,61.44,42031
42,33,459,111,24.18,348,75.82,42033
42,34,407,109,26.78,298,73.22,42034
42,35,284,69,24.3,215,75.7,42035
42,36,704,240,34.09,464,65.91,42036
42,37,418,117,27.99,301,72.01,42037
42,38,508,173,34.06,335,65.94,42038
42,40,264,54,20.45,210,79.55,42040
42,41,358,125,34.92,233,65.08,42041
42,42,435,132,30.34,303,69.66,42042
42,43,439,149,33.94,290,66.06,42043
42,44,509,170,33.4,339,66.6,42044
42,45,403,110,27.3,293,72.7,42045
42,46,269,61,22.68,208,77.32,42046
42,47,251,77,30.68,174,69.32,42047
42,50,438,173,39.5,265,60.5,42050
42,51,376,152,40.43,224,59.57,42051
42,52,247,76,30.77,171,69.23,42052
42,53,260,82,31.54,178,68.46,42053
42,54,355,143,40.28,212,59.72,42054
42,55,455,184,40.44,271,59.56,42055
42,56,359,142,39.55,217,60.45,42056
42,57,155,42,27.1,113,72.9,42057
42,58,514,121,23.54,393,76.46,42058
42,59,284,56,19.72,228,80.28,42059
42,60,327,116,35.47,211,64.53,42060
42,61,252,91,36.11,161,63.89,42061
42,62,293,84,28.67,209,71.33,42062
42,63,356,109,30.62,247,69.38,42063
42,64,195,64,32.82,131,67.18,42064
42,65,410,154,37.56,256,62.44,42065
42,66,335,96,28.66,239,71.34,42066
43,1,482,182,37.76,300,62.24,43001
43,3,500,162,32.4,338,67.6,43003
43,4,376,100,26.6,276,73.4,43004
43,5,518,180,34.75,338,65.25,43005
43,7,417,120,28.78,297,71.22,43007
43,8,431,116,26.91,315,73.09,43008
43,9,447,177,39.6,270,60.4,43009
43,11,383,140,36.55,243,63.45,43011
43,12,559,182,32.56,377,67.44,43012
43,14,314,72,22.93,242,77.07,43014
43,15,416,132,31.73,284,68.27,43015
43,16,460,146,31.74,314,68.26,43016
43,17,609,233,38.26,376,61.74,43017
43,18,113,34,30.09,79,69.91,43018
43,19,516,159,30.81,357,69.19,43019
43,20,572,170,29.72,402,70.28,43020
43,21,366,133,36.34,233,63.66,43021
43,23,399,109,27.32,290,72.68,43023
43,24,385,148,38.44,237,61.56,43024
43,25,424,88,20.75,336,79.25,43025
43,26,364,122,33.52,242,66.48,43026
43,27,393,122,31.04,271,68.96,43027
43,28,459,198,43.14,261,56.86,43028
43,29,308,118,38.31,190,61.69,43029
43,30,331,122,36.86,209,63.14,43030
43,32,348,112,32.18,236,67.82,43032
43,33,436,181,41.51,255,58.49,43033
43,34,389,133,34.19,256,65.81,43034
43,35,561,192,34.22,369,65.78,43035
43,36,432,165,38.19,267,61.81,43036
43,37,373,120,32.17,253,67.83,43037
43,38,409,142,34.72,267,65.28,43038
43,40,448,106,23.66,342,76.34,43040
43,41,444,168,37.84,276,62.16,43041
43,42,365,124,33.97,241,66.03,43042
43,43,467,167,35.76,300,64.24,43043
43,44,596,192,32.21,404,67.79,43044
43,46,533,198,37.15,335,62.85,43046
43,47,451,121,26.83,330,73.17,43047
43,49,335,115,34.33,220,65.67,43049
43,51,374,117,31.28,257,68.72,43051
43,52,740,265,35.81,475,64.19,43052
43,53,436,119,27.29,317,72.71,43053
43,56,393,100,25.45,293,74.55,43056
43,57,317,131,41.32,186,58.68,43057
43,58,438,148,33.79,290,66.21,43058
43,59,383,90,23.5,293,76.5,43059
