ward,precinct,total,ROBERT HUNTINGTON,ROBERT HUNTINGTON Percent,SARA FEIGENHOLTZ,SARA FEIGENHOLTZ Percent,precinct_id
32,7,420,157,37.38,263,62.62,32007
32,8,617,236,38.25,381,61.75,32008
32,18,421,138,32.78,283,67.22,32018
32,23,464,129,27.8,335,72.2,32023
32,32,549,193,35.15,356,64.85,32032
32,39,506,164,32.41,342,67.59,32039
32,48,503,182,36.18,321,63.82,32048
43,2,365,111,30.41,254,69.59,43002
43,6,384,128,33.33,256,66.67,43006
43,22,317,115,36.28,202,63.72,43022
43,30,0,0,0.0,0,0.0,43030
43,39,415,155,37.35,260,62.65,43039
43,45,427,150,35.13,277,64.87,43045
43,48,540,190,35.19,350,64.81,43048
43,50,336,120,35.71,216,64.29,43050
43,54,265,107,40.38,158,59.62,43054
43,60,266,76,28.57,190,71.43,43060
44,1,392,78,19.9,314,80.1,44001
44,2,391,99,25.32,292,74.68,44002
44,3,412,76,18.45,336,81.55,44003
44,4,420,87,20.71,333,79.29,44004
44,5,630,151,23.97,479,76.03,44005
44,6,582,161,27.66,421,72.34,44006
44,7,499,150,30.06,349,69.94,44007
44,8,620,155,25.0,465,75.0,44008
44,9,689,246,35.7,443,64.3,44009
44,10,571,89,15.59,482,84.41,44010
44,11,487,155,31.83,332,68.17,44011
44,12,383,85,22.19,298,77.81,44012
44,14,613,175,28.55,438,71.45,44014
44,15,613,137,22.35,476,77.65,44015
44,17,548,123,22.45,425,77.55,44017
44,19,390,86,22.05,304,77.95,44019
44,20,745,213,28.59,532,71.41,44020
44,21,627,158,25.2,469,74.8,44021
44,22,314,70,22.29,244,77.71,44022
44,23,526,110,20.91,416,79.09,44023
44,24,492,136,27.64,356,72.36,44024
44,26,460,102,22.17,358,77.83,44026
44,27,690,234,33.91,456,66.09,44027
44,28,404,117,28.96,287,71.04,44028
44,29,654,227,34.71,427,65.29,44029
44,30,522,111,21.26,411,78.74,44030
44,31,616,198,32.14,418,67.86,44031
44,32,336,63,18.75,273,81.25,44032
44,33,724,133,18.37,591,81.63,44033
44,34,386,105,27.2,281,72.8,44034
44,35,382,89,23.3,293,76.7,44035
44,36,410,124,30.24,286,69.76,44036
44,37,662,130,19.64,532,80.36,44037
44,38,654,222,33.94,432,66.06,44038
44,39,729,264,36.21,465,63.79,44039
44,40,538,176,32.71,362,67.29,44040
44,41,622,129,20.74,493,79.26,44041
44,42,500,116,23.2,384,76.8,44042
44,44,623,120,19.26,503,80.74,44044
44,45,621,188,30.27,433,69.73,44045
44,46,356,79,22.19,277,77.81,44046
44,48,337,73,21.66,264,78.34,44048
44,49,381,85,22.31,296,77.69,44049
46,1,620,106,17.1,514,82.9,46001
46,3,553,84,15.19,469,84.81,46003
46,5,525,154,29.33,371,70.67,46005
46,7,565,108,19.12,457,80.88,46007
46,9,428,98,22.9,330,77.1,46009
46,10,623,144,23.11,479,76.89,46010
46,11,497,65,13.08,432,86.92,46011
46,13,732,196,26.78,536,73.22,46013
46,15,509,95,18.66,414,81.34,46015
46,17,596,135,22.65,461,77.35,46017
46,18,473,92,19.45,381,80.55,46018
46,20,422,35,8.29,387,91.71,46020
46,23,300,28,9.33,272,90.67,46023
46,24,544,112,20.59,432,79.41,46024
46,25,366,49,13.39,317,86.61,46025
46,26,399,39,9.77,360,90.23,46026
46,28,611,153,25.04,458,74.96,46028
46,29,396,60,15.15,336,84.85,46029
46,30,490,92,18.78,398,81.22,46030
46,31,517,92,17.79,425,82.21,46031
46,33,469,84,17.91,385,82.09,46033
46,34,563,66,11.72,497,88.28,46034
46,36,460,113,24.57,347,75.43,46036
46,37,611,80,13.09,531,86.91,46037
46,39,500,116,23.2,384,76.8,46039
