ward,precinct,total,ROBERT J. BUGIELSKI,ROBERT J. BUGIELSKI Percent,precinct_id
29,48,58,58,100.0,29048
29,53,188,188,100.0,29053
29,54,213,213,100.0,29054
30,5,170,170,100.0,30005
30,9,372,372,100.0,30009
30,10,259,259,100.0,30010
30,11,256,256,100.0,30011
30,17,210,210,100.0,30017
30,18,285,285,100.0,30018
30,19,237,237,100.0,30019
30,20,99,99,100.0,30020
30,21,81,81,100.0,30021
30,26,290,290,100.0,30026
30,27,244,244,100.0,30027
30,31,257,257,100.0,30031
30,33,185,185,100.0,30033
30,34,420,420,100.0,30034
30,35,221,221,100.0,30035
30,37,225,225,100.0,30037
30,42,241,241,100.0,30042
30,43,221,221,100.0,30043
30,45,231,231,100.0,30045
31,2,193,193,100.0,31002
31,7,208,208,100.0,31007
31,11,142,142,100.0,31011
31,21,170,170,100.0,31021
31,23,186,186,100.0,31023
31,33,152,152,100.0,31033
36,1,269,269,100.0,36001
36,2,217,217,100.0,36002
36,3,262,262,100.0,36003
36,4,115,115,100.0,36004
36,6,276,276,100.0,36006
36,7,305,305,100.0,36007
36,8,315,315,100.0,36008
36,9,298,298,100.0,36009
36,10,276,276,100.0,36010
36,11,299,299,100.0,36011
36,12,264,264,100.0,36012
36,13,387,387,100.0,36013
36,14,334,334,100.0,36014
36,15,297,297,100.0,36015
36,19,477,477,100.0,36019
36,20,295,295,100.0,36020
36,21,281,281,100.0,36021
36,23,158,158,100.0,36023
36,27,266,266,100.0,36027
36,28,271,271,100.0,36028
36,29,282,282,100.0,36029
36,30,312,312,100.0,36030
36,31,294,294,100.0,36031
36,32,327,327,100.0,36032
36,35,293,293,100.0,36035
36,36,258,258,100.0,36036
36,37,248,248,100.0,36037
36,38,180,180,100.0,36038
36,39,320,320,100.0,36039
36,40,284,284,100.0,36040
36,41,196,196,100.0,36041
36,42,219,219,100.0,36042
36,46,243,243,100.0,36046
36,48,290,290,100.0,36048
36,49,294,294,100.0,36049
36,50,318,318,100.0,36050
36,51,315,315,100.0,36051
36,52,265,265,100.0,36052
36,53,294,294,100.0,36053
36,56,246,246,100.0,36056
38,2,245,245,100.0,38002
38,3,269,269,100.0,38003
38,6,271,271,100.0,38006
38,7,279,279,100.0,38007
38,11,197,197,100.0,38011
38,14,40,40,100.0,38014
38,16,232,232,100.0,38016
38,17,243,243,100.0,38017
38,23,187,187,100.0,38023
38,29,217,217,100.0,38029
38,30,243,243,100.0,38030
38,33,202,202,100.0,38033
38,35,234,234,100.0,38035
38,36,247,247,100.0,38036
38,37,287,287,100.0,38037
38,40,185,185,100.0,38040
38,41,298,298,100.0,38041
38,42,308,308,100.0,38042
38,44,202,202,100.0,38044
38,47,224,224,100.0,38047
38,48,223,223,100.0,38048
38,52,255,255,100.0,38052
38,53,246,246,100.0,38053
38,54,289,289,100.0,38054
45,7,95,95,100.0,45007
45,31,22,22,100.0,45031
