ward,precinct,total,THOMAS J. DART,THOMAS J. DART Percent,precinct_id
9,1,361,350,96.95,09001
9,5,373,365,97.86,09005
9,8,259,258,99.61,09008
9,9,361,356,98.61,09009
9,22,400,390,97.5,09022
9,23,271,263,97.05,09023
9,25,248,237,95.56,09025
9,29,366,364,99.45,09029
9,31,380,372,97.89,09031
9,32,402,391,97.26,09032
9,34,393,381,96.95,09034
9,36,211,207,98.1,09036
9,37,454,400,88.11,09037
9,38,406,400,98.52,09038
9,40,420,413,98.33,09040
9,43,324,316,97.53,09043
9,46,336,328,97.62,09046
9,48,347,330,95.1,09048
10,14,59,54,91.53,10014
19,3,382,328,85.86,19003
19,4,399,326,81.7,19004
19,6,429,357,83.22,19006
19,7,396,369,93.18,19007
19,8,366,314,85.79,19008
19,11,447,382,85.46,19011
19,12,407,342,84.03,19012
19,16,482,419,86.93,19016
19,17,397,355,89.42,19017
19,21,347,305,87.9,19021
19,24,356,291,81.74,19024
19,29,398,347,87.19,19029
19,30,415,360,86.75,19030
19,32,440,401,91.14,19032
19,33,436,372,85.32,19033
19,41,453,379,83.66,19041
19,43,0,0,0.0,19043
19,44,377,319,84.62,19044
19,47,210,193,91.9,19047
19,48,478,461,96.44,19048
19,49,468,427,91.24,19049
19,50,491,484,98.57,19050
19,51,416,360,86.54,19051
19,52,338,284,84.02,19052
19,54,358,294,82.12,19054
19,55,393,350,89.06,19055
19,58,429,354,82.52,19058
19,59,486,436,89.71,19059
19,62,426,389,91.31,19062
19,63,287,262,91.29,19063
19,64,598,547,91.47,19064
19,65,382,328,85.86,19065
21,15,210,202,96.19,21015
21,16,238,232,97.48,21016
21,29,267,257,96.25,21029
21,30,257,252,98.05,21030
21,35,288,276,95.83,21035
21,36,0,0,0.0,21036
21,39,270,259,95.93,21039
21,56,236,223,94.49,21056
21,57,256,252,98.44,21057
21,67,317,312,98.42,21067
21,68,213,202,94.84,21068
21,69,236,235,99.58,21069
34,1,433,426,98.38,34001
34,2,313,306,97.76,34002
34,4,306,301,98.37,34004
34,7,421,413,98.1,34007
34,8,367,363,98.91,34008
34,10,460,452,98.26,34010
34,12,377,368,97.61,34012
34,18,324,322,99.38,34018
34,19,336,326,97.02,34019
34,20,385,375,97.4,34020
34,21,444,430,96.85,34021
34,22,387,376,97.16,34022
34,23,333,319,95.8,34023
34,24,344,336,97.67,34024
34,26,310,303,97.74,34026
34,27,295,287,97.29,34027
34,28,286,278,97.2,34028
34,29,483,472,97.72,34029
34,30,426,408,95.77,34030
34,32,364,355,97.53,34032
34,33,292,287,98.29,34033
34,36,461,451,97.83,34036
34,37,261,258,98.85,34037
34,38,286,280,97.9,34038
34,39,297,287,96.63,34039
34,41,393,384,97.71,34041
34,42,439,423,96.36,34042
34,43,344,337,97.97,34043
34,44,386,382,98.96,34044
34,47,200,198,99.0,34047
34,48,359,348,96.94,34048
34,49,385,379,98.44,34049
34,51,537,517,96.28,34051
34,52,373,361,96.78,34052
34,53,351,341,97.15,34053
34,56,322,314,97.52,34056
34,58,301,289,96.01,34058
34,61,326,315,96.63,34061
