ward,precinct,total,SHIRLEY A. COLEMAN,SHIRLEY A. COLEMAN Percent,precinct_id
16,1,82,82,100.0,16001
16,2,63,63,100.0,16002
16,3,131,131,100.0,16003
16,4,15,15,100.0,16004
16,5,118,118,100.0,16005
16,6,95,95,100.0,16006
16,7,87,87,100.0,16007
16,8,125,125,100.0,16008
16,9,196,196,100.0,16009
16,10,135,135,100.0,16010
16,11,104,104,100.0,16011
16,12,75,75,100.0,16012
16,13,80,80,100.0,16013
16,14,123,123,100.0,16014
16,15,121,121,100.0,16015
16,16,56,56,100.0,16016
16,17,34,34,100.0,16017
16,18,65,65,100.0,16018
16,19,104,104,100.0,16019
16,20,114,114,100.0,16020
16,21,79,79,100.0,16021
16,22,113,113,100.0,16022
16,23,108,108,100.0,16023
16,24,83,83,100.0,16024
16,25,70,70,100.0,16025
16,26,157,157,100.0,16026
16,27,94,94,100.0,16027
16,28,127,127,100.0,16028
16,29,92,92,100.0,16029
16,30,166,166,100.0,16030
16,31,109,109,100.0,16031
16,32,30,30,100.0,16032
16,33,101,101,100.0,16033
16,34,95,95,100.0,16034
16,35,83,83,100.0,16035
16,36,138,138,100.0,16036
16,37,70,70,100.0,16037
16,38,169,169,100.0,16038
16,39,104,104,100.0,16039
16,40,162,162,100.0,16040
16,41,74,74,100.0,16041
16,42,131,131,100.0,16042
