ward,precinct,total,THOMAS W. MURPHY,THOMAS W. MURPHY Percent,precinct_id
18,1,148,148,100.0,18001
18,2,170,170,100.0,18002
18,3,150,150,100.0,18003
18,4,236,236,100.0,18004
18,5,107,107,100.0,18005
18,6,158,158,100.0,18006
18,7,110,110,100.0,18007
18,8,104,104,100.0,18008
18,9,188,188,100.0,18009
18,10,263,263,100.0,18010
18,11,132,132,100.0,18011
18,12,181,181,100.0,18012
18,13,190,190,100.0,18013
18,14,230,230,100.0,18014
18,15,119,119,100.0,18015
18,16,156,156,100.0,18016
18,17,199,199,100.0,18017
18,18,227,227,100.0,18018
18,19,109,109,100.0,18019
18,20,157,157,100.0,18020
18,21,206,206,100.0,18021
18,22,173,173,100.0,18022
18,23,150,150,100.0,18023
18,24,176,176,100.0,18024
18,25,163,163,100.0,18025
18,26,204,204,100.0,18026
18,27,134,134,100.0,18027
18,28,126,126,100.0,18028
18,29,109,109,100.0,18029
18,30,204,204,100.0,18030
18,31,105,105,100.0,18031
18,32,197,197,100.0,18032
18,33,137,137,100.0,18033
18,34,248,248,100.0,18034
18,35,207,207,100.0,18035
18,36,109,109,100.0,18036
18,37,110,110,100.0,18037
18,38,184,184,100.0,18038
18,39,156,156,100.0,18039
18,40,231,231,100.0,18040
18,41,144,144,100.0,18041
18,42,122,122,100.0,18042
18,43,111,111,100.0,18043
18,44,178,178,100.0,18044
18,45,185,185,100.0,18045
18,46,137,137,100.0,18046
18,47,205,205,100.0,18047
18,48,97,97,100.0,18048
18,49,108,108,100.0,18049
18,50,132,132,100.0,18050
18,51,156,156,100.0,18051
18,52,139,139,100.0,18052
18,53,144,144,100.0,18053
18,54,209,209,100.0,18054
18,55,164,164,100.0,18055
18,56,147,147,100.0,18056
18,57,204,204,100.0,18057
18,58,85,85,100.0,18058
18,59,178,178,100.0,18059
18,60,135,135,100.0,18060
18,61,150,150,100.0,18061
18,62,137,137,100.0,18062
18,63,56,56,100.0,18063
