ward,precinct,total,MICHAEL A. VOLINI,MICHAEL A. VOLINI Percent,FRANK J. FUSCALDO,FRANK J. FUSCALDO Percent,precinct_id
48,1,167,129,77.25,38,22.75,48001
48,2,140,120,85.71,20,14.29,48002
48,3,121,96,79.34,25,20.66,48003
48,4,117,102,87.18,15,12.82,48004
48,5,140,129,92.14,11,7.86,48005
48,6,158,129,81.65,29,18.35,48006
48,7,143,128,89.51,15,10.49,48007
48,8,113,95,84.07,18,15.93,48008
48,9,107,97,90.65,10,9.35,48009
48,10,74,63,85.14,11,14.86,48010
48,11,189,172,91.01,17,8.99,48011
48,12,73,56,76.71,17,23.29,48012
48,13,115,101,87.83,14,12.17,48013
48,14,180,103,57.22,77,42.78,48014
48,15,113,88,77.88,25,22.12,48015
48,16,133,122,91.73,11,8.27,48016
48,17,102,86,84.31,16,15.69,48017
48,18,94,77,81.91,17,18.09,48018
48,19,150,135,90.0,15,10.0,48019
48,20,111,94,84.68,17,15.32,48020
48,21,145,120,82.76,25,17.24,48021
48,22,221,201,90.95,20,9.05,48022
48,23,94,79,84.04,15,15.96,48023
48,24,101,84,83.17,17,16.83,48024
48,25,121,99,81.82,22,18.18,48025
48,26,133,118,88.72,15,11.28,48026
48,27,90,79,87.78,11,12.22,48027
48,28,119,100,84.03,19,15.97,48028
48,29,150,137,91.33,13,8.67,48029
48,30,91,77,84.62,14,15.38,48030
48,31,94,77,81.91,17,18.09,48031
48,32,98,75,76.53,23,23.47,48032
48,33,126,114,90.48,12,9.52,48033
48,34,128,115,89.84,13,10.16,48034
48,35,94,62,65.96,32,34.04,48035
48,36,102,90,88.24,12,11.76,48036
48,37,144,106,73.61,38,26.39,48037
48,38,189,176,93.12,13,6.88,48038
48,39,104,89,85.58,15,14.42,48039
48,40,125,95,76.0,30,24.0,48040
48,41,74,61,82.43,13,17.57,48041
48,42,132,107,81.06,25,18.94,48042
48,43,93,84,90.32,9,9.68,48043
48,44,99,79,79.8,20,20.2,48044
48,45,63,34,53.97,29,46.03,48045
48,46,73,67,91.78,6,8.22,48046
48,47,84,79,94.05,5,5.95,48047
48,48,96,76,79.17,20,20.83,48048
