ward,precinct,total,ROD R. BLAGOJEVICH,ROD R. BLAGOJEVICH Percent,precinct_id
26,30,0,0,0.0,26030
29,2,9,9,100.0,29002
29,6,26,26,100.0,29006
29,53,64,64,100.0,29053
29,54,84,84,100.0,29054
30,1,119,119,100.0,30001
30,2,78,78,100.0,30002
30,3,109,109,100.0,30003
30,4,105,105,100.0,30004
30,5,65,65,100.0,30005
30,6,91,91,100.0,30006
30,7,97,97,100.0,30007
30,8,96,96,100.0,30008
30,9,173,173,100.0,30009
30,10,96,96,100.0,30010
30,11,90,90,100.0,30011
30,12,83,83,100.0,30012
30,13,64,64,100.0,30013
30,14,69,69,100.0,30014
30,15,113,113,100.0,30015
30,16,64,64,100.0,30016
30,18,79,79,100.0,30018
30,19,85,85,100.0,30019
30,21,22,22,100.0,30021
30,22,97,97,100.0,30022
30,23,26,26,100.0,30023
30,24,35,35,100.0,30024
30,25,82,82,100.0,30025
30,26,86,86,100.0,30026
30,27,72,72,100.0,30027
30,28,73,73,100.0,30028
30,29,104,104,100.0,30029
30,30,81,81,100.0,30030
30,31,81,81,100.0,30031
30,32,91,91,100.0,30032
30,33,57,57,100.0,30033
30,34,143,143,100.0,30034
30,35,64,64,100.0,30035
30,36,46,46,100.0,30036
30,37,73,73,100.0,30037
30,38,87,87,100.0,30038
30,39,86,86,100.0,30039
30,40,63,63,100.0,30040
30,41,37,37,100.0,30041
30,42,89,89,100.0,30042
30,43,69,69,100.0,30043
30,44,105,105,100.0,30044
30,45,66,66,100.0,30045
31,6,21,21,100.0,31006
31,18,15,15,100.0,31018
31,31,49,49,100.0,31031
31,32,35,35,100.0,31032
32,7,37,37,100.0,32007
32,8,55,55,100.0,32008
32,9,115,115,100.0,32009
32,10,33,33,100.0,32010
32,13,53,53,100.0,32013
32,15,52,52,100.0,32015
32,18,53,53,100.0,32018
32,19,147,147,100.0,32019
32,21,81,81,100.0,32021
32,22,80,80,100.0,32022
32,23,64,64,100.0,32023
32,25,54,54,100.0,32025
32,27,47,47,100.0,32027
32,32,66,66,100.0,32032
32,37,55,55,100.0,32037
32,38,95,95,100.0,32038
32,39,68,68,100.0,32039
32,40,54,54,100.0,32040
32,41,74,74,100.0,32041
32,42,78,78,100.0,32042
32,43,61,61,100.0,32043
32,44,64,64,100.0,32044
32,46,15,15,100.0,32046
32,48,64,64,100.0,32048
33,1,71,71,100.0,33001
33,5,63,63,100.0,33005
33,6,15,15,100.0,33006
33,7,174,174,100.0,33007
33,8,97,97,100.0,33008
33,9,98,98,100.0,33009
