ward,precinct,total,LOVANA S. JONES (GORE),LOVANA S. JONES (GORE) Percent,TODD H. STROGER (GORE),TODD H. STROGER (GORE) Percent,VIRGINIA A. RUGAI (GORE),VIRGINIA A. RUGAI (GORE) Percent,JERRY BUTLER (GORE),JERRY BUTLER (GORE) Percent,NORMA J. WHITE (GORE),NORMA J. WHITE (GORE) Percent,HENRY M. WILLIAMSON (GORE),HENRY M. WILLIAMSON (GORE) Percent,ROSEMARY M. BILECKI (GORE),ROSEMARY M. BILECKI (GORE) Percent,"SPENCER LEAK, JR. (GORE)","SPENCER LEAK, JR. (GORE) Percent","JOSEPH G. BERTRAND,JR. (BRADLEY)","JOSEPH G. BERTRAND,JR. (BRADLEY) Percent",DELMARIE L. COBB (BRADLEY),DELMARIE L. COBB (BRADLEY) Percent,HOWARD KENNER (BRADLEY),HOWARD KENNER (BRADLEY) Percent,DORIS DAVENPORT (BRADLEY),DORIS DAVENPORT (BRADLEY) Percent,CARLTON E. HULL (BRADLEY),CARLTON E. HULL (BRADLEY) Percent,DENISE ELIGAN (BRADLEY),DENISE ELIGAN (BRADLEY) Percent,MYRON F. MCCOY (BRADLEY),MYRON F. MCCOY (BRADLEY) Percent,CELESTINE M. FULCHON (BRADLEY),CELESTINE M. FULCHON (BRADLEY) Percent,precinct_id
2,2,1679,194,11.55,198,11.79,130,7.74,232,13.82,159,9.47,140,8.34,113,6.73,190,11.32,53,3.16,49,2.92,48,2.86,57,3.39,26,1.55,33,1.97,28,1.67,29,1.73,02002
2,6,395,48,12.15,45,11.39,36,9.11,49,12.41,39,9.87,34,8.61,31,7.85,31,7.85,10,2.53,8,2.03,9,2.28,12,3.04,12,3.04,7,1.77,15,3.8,9,2.28,02006
2,12,1076,134,12.45,142,13.2,90,8.36,180,16.73,102,9.48,93,8.64,88,8.18,112,10.41,21,1.95,19,1.77,14,1.3,26,2.42,11,1.02,11,1.02,16,1.49,17,1.58,02012
2,13,1592,197,12.37,200,12.56,120,7.54,232,14.57,154,9.67,135,8.48,115,7.22,177,11.12,30,1.88,39,2.45,35,2.2,47,2.95,15,0.94,27,1.7,30,1.88,39,2.45,02013
2,14,955,116,12.15,120,12.57,77,8.06,129,13.51,92,9.63,73,7.64,72,7.54,95,9.95,30,3.14,26,2.72,32,3.35,23,2.41,13,1.36,18,1.88,21,2.2,18,1.88,02014
2,16,371,37,9.97,50,13.48,29,7.82,53,14.29,30,8.09,27,7.28,33,8.89,30,8.09,11,2.96,11,2.96,8,2.16,10,2.7,9,2.43,7,1.89,20,5.39,6,1.62,02016
2,18,1280,201,15.7,157,12.27,98,7.66,186,14.53,125,9.77,106,8.28,97,7.58,136,10.63,34,2.66,26,2.03,21,1.64,30,2.34,15,1.17,17,1.33,13,1.02,18,1.41,02018
2,20,1125,132,11.73,139,12.36,90,8.0,165,14.67,118,10.49,94,8.36,91,8.09,123,10.93,20,1.78,25,2.22,22,1.96,42,3.73,12,1.07,15,1.33,20,1.78,17,1.51,02020
2,21,850,119,14.0,105,12.35,67,7.88,125,14.71,80,9.41,67,7.88,68,8.0,86,10.12,13,1.53,26,3.06,19,2.24,19,2.24,12,1.41,14,1.65,18,2.12,12,1.41,02021
2,24,521,69,13.24,69,13.24,44,8.45,106,20.35,46,8.83,35,6.72,36,6.91,47,9.02,13,2.5,12,2.3,9,1.73,11,2.11,4,0.77,6,1.15,8,1.54,6,1.15,02024
2,29,354,42,11.86,35,9.89,34,9.6,55,15.54,33,9.32,30,8.47,26,7.34,24,6.78,9,2.54,5,1.41,10,2.82,12,3.39,7,1.98,10,2.82,9,2.54,13,3.67,02029
2,31,978,118,12.07,121,12.37,75,7.67,143,14.62,93,9.51,78,7.98,72,7.36,108,11.04,29,2.97,28,2.86,23,2.35,30,3.07,8,0.82,15,1.53,19,1.94,18,1.84,02031
2,33,1539,188,12.22,179,11.63,119,7.73,210,13.65,142,9.23,122,7.93,112,7.28,166,10.79,40,2.6,40,2.6,42,2.73,49,3.18,28,1.82,28,1.82,32,2.08,42,2.73,02033
2,44,931,113,12.14,114,12.24,81,8.7,147,15.79,90,9.67,80,8.59,76,8.16,103,11.06,14,1.5,20,2.15,11,1.18,23,2.47,20,2.15,14,1.5,13,1.4,12,1.29,02044
2,45,404,55,13.61,46,11.39,27,6.68,67,16.58,33,8.17,28,6.93,26,6.44,45,11.14,8,1.98,16,3.96,11,2.72,14,3.47,4,0.99,9,2.23,6,1.49,9,2.23,02045
2,46,1927,225,11.68,234,12.14,141,7.32,267,13.86,188,9.76,148,7.68,141,7.32,213,11.05,53,2.75,57,2.96,58,3.01,56,2.91,21,1.09,41,2.13,50,2.59,34,1.76,02046
2,47,613,71,11.58,72,11.75,50,8.16,86,14.03,59,9.62,41,6.69,48,7.83,60,9.79,17,2.77,13,2.12,14,2.28,21,3.43,9,1.47,15,2.45,15,2.45,22,3.59,02047
2,48,1155,145,12.55,144,12.47,96,8.31,160,13.85,111,9.61,107,9.26,87,7.53,128,11.08,20,1.73,23,1.99,25,2.16,31,2.68,11,0.95,19,1.65,24,2.08,24,2.08,02048
3,2,1074,135,12.57,135,12.57,71,6.61,175,16.29,94,8.75,80,7.45,78,7.26,122,11.36,24,2.23,26,2.42,23,2.14,36,3.35,8,0.74,19,1.77,34,3.17,14,1.3,03002
3,3,191,24,12.57,20,10.47,14,7.33,27,14.14,15,7.85,14,7.33,15,7.85,13,6.81,5,2.62,8,4.19,6,3.14,10,5.24,5,2.62,5,2.62,3,1.57,7,3.66,03003
3,6,183,26,14.21,21,11.48,17,9.29,30,16.39,18,9.84,15,8.2,15,8.2,16,8.74,1,0.55,3,1.64,0,0.0,7,3.83,3,1.64,3,1.64,5,2.73,3,1.64,03006
3,9,469,59,12.58,61,13.01,39,8.32,79,16.84,42,8.96,39,8.32,34,7.25,57,12.15,6,1.28,8,1.71,9,1.92,15,3.2,4,0.85,2,0.43,7,1.49,8,1.71,03009
3,23,145,16,11.03,16,11.03,8,5.52,22,15.17,16,11.03,9,6.21,10,6.9,11,7.59,5,3.45,6,4.14,1,0.69,5,3.45,5,3.45,4,2.76,5,3.45,6,4.14,03023
3,24,811,106,13.07,112,13.81,69,8.51,121,14.92,70,8.63,67,8.26,66,8.14,93,11.47,14,1.73,15,1.85,18,2.22,17,2.1,8,0.99,7,0.86,15,1.85,13,1.6,03024
3,25,131,13,9.92,14,10.69,9,6.87,24,18.32,13,9.92,8,6.11,9,6.87,9,6.87,3,2.29,4,3.05,5,3.82,6,4.58,4,3.05,3,2.29,4,3.05,3,2.29,03025
3,27,76,10,13.16,11,14.47,4,5.26,14,18.42,5,6.58,7,9.21,4,5.26,5,6.58,2,2.63,4,5.26,1,1.32,1,1.32,2,2.63,1,1.32,2,2.63,3,3.95,03027
3,28,786,103,13.1,94,11.96,60,7.63,119,15.14,71,9.03,60,7.63,55,7.0,85,10.81,26,3.31,21,2.67,31,3.94,20,2.54,6,0.76,9,1.15,11,1.4,15,1.91,03028
3,33,563,63,11.19,63,11.19,45,7.99,88,15.63,57,10.12,50,8.88,41,7.28,52,9.24,13,2.31,15,2.66,14,2.49,19,3.37,7,1.24,15,2.66,10,1.78,11,1.95,03033
3,34,200,21,10.5,20,10.0,16,8.0,26,13.0,18,9.0,16,8.0,18,9.0,24,12.0,4,2.0,7,3.5,4,2.0,5,2.5,6,3.0,7,3.5,5,2.5,3,1.5,03034
3,36,184,21,11.41,20,10.87,15,8.15,23,12.5,17,9.24,14,7.61,16,8.7,16,8.7,8,4.35,4,2.17,8,4.35,4,2.17,3,1.63,3,1.63,8,4.35,4,2.17,03036
3,38,1005,135,13.43,124,12.34,87,8.66,168,16.72,95,9.45,86,8.56,74,7.36,123,12.24,20,1.99,16,1.59,16,1.59,16,1.59,7,0.7,9,0.9,14,1.39,15,1.49,03038
3,39,1191,151,12.68,163,13.69,92,7.72,189,15.87,101,8.48,85,7.14,88,7.39,152,12.76,24,2.02,28,2.35,29,2.43,29,2.43,10,0.84,14,1.18,18,1.51,18,1.51,03039
3,41,395,49,12.41,47,11.9,26,6.58,63,15.95,32,8.1,32,8.1,26,6.58,40,10.13,11,2.78,10,2.53,8,2.03,19,4.81,6,1.52,9,2.28,9,2.28,8,2.03,03041
3,42,191,26,13.61,22,11.52,18,9.42,29,15.18,19,9.95,20,10.47,20,10.47,16,8.38,6,3.14,2,1.05,6,3.14,4,2.09,1,0.52,0,0.0,1,0.52,1,0.52,03042
3,44,361,44,12.19,42,11.63,38,10.53,51,14.13,39,10.8,39,10.8,37,10.25,46,12.74,3,0.83,1,0.28,5,1.39,7,1.94,3,0.83,3,0.83,2,0.55,1,0.28,03044
3,45,143,17,11.89,16,11.19,13,9.09,22,15.38,13,9.09,13,9.09,14,9.79,13,9.09,2,1.4,4,2.8,1,0.7,2,1.4,3,2.1,3,2.1,6,4.2,1,0.7,03045
4,1,1050,108,10.29,98,9.33,78,7.43,121,11.52,88,8.38,77,7.33,70,6.67,98,9.33,36,3.43,43,4.1,45,4.29,42,4.0,33,3.14,40,3.81,38,3.62,35,3.33,04001
4,2,163,29,17.79,18,11.04,16,9.82,25,15.34,16,9.82,13,7.98,15,9.2,17,10.43,2,1.23,1,0.61,2,1.23,3,1.84,0,0.0,2,1.23,3,1.84,1,0.61,04002
4,3,1125,142,12.62,135,12.0,92,8.18,167,14.84,104,9.24,89,7.91,91,8.09,116,10.31,19,1.69,31,2.76,31,2.76,30,2.67,15,1.33,19,1.69,23,2.04,21,1.87,04003
4,4,864,113,13.08,104,12.04,68,7.87,128,14.81,83,9.61,63,7.29,67,7.75,80,9.26,23,2.66,25,2.89,21,2.43,25,2.89,12,1.39,14,1.62,22,2.55,16,1.85,04004
4,5,945,130,13.76,111,11.75,62,6.56,141,14.92,79,8.36,66,6.98,64,6.77,89,9.42,25,2.65,29,3.07,26,2.75,32,3.39,18,1.9,21,2.22,24,2.54,28,2.96,04005
4,6,20,3,15.0,3,15.0,2,10.0,2,10.0,2,10.0,1,5.0,2,10.0,2,10.0,0,0.0,0,0.0,0,0.0,1,5.0,0,0.0,1,5.0,1,5.0,0,0.0,04006
4,7,684,97,14.18,78,11.4,53,7.75,97,14.18,64,9.36,55,8.04,51,7.46,76,11.11,14,2.05,16,2.34,17,2.49,16,2.34,10,1.46,11,1.61,14,2.05,15,2.19,04007
4,9,2275,244,10.73,286,12.57,152,6.68,310,13.63,215,9.45,168,7.38,141,6.2,244,10.73,64,2.81,95,4.18,70,3.08,90,3.96,41,1.8,44,1.93,56,2.46,55,2.42,04009
4,10,1164,151,12.97,136,11.68,81,6.96,174,14.95,109,9.36,91,7.82,78,6.7,132,11.34,27,2.32,35,3.01,32,2.75,39,3.35,13,1.12,21,1.8,22,1.89,23,1.98,04010
4,11,678,96,14.16,75,11.06,46,6.78,99,14.6,60,8.85,52,7.67,48,7.08,69,10.18,15,2.21,17,2.51,18,2.65,25,3.69,10,1.47,14,2.06,19,2.8,15,2.21,04011
4,12,697,87,12.48,83,11.91,51,7.32,100,14.35,60,8.61,65,9.33,57,8.18,82,11.76,14,2.01,17,2.44,13,1.87,18,2.58,11,1.58,12,1.72,15,2.15,12,1.72,04012
4,13,1302,126,9.68,132,10.14,93,7.14,157,12.06,120,9.22,97,7.45,86,6.61,133,10.22,47,3.61,49,3.76,56,4.3,48,3.69,33,2.53,42,3.23,39,3.0,44,3.38,04013
