ward,precinct,total,JULIE HAMOS,JULIE HAMOS Percent,precinct_id
49,1,110,110,100.0,49001
49,5,72,72,100.0,49005
49,6,75,75,100.0,49006
49,8,81,81,100.0,49008
49,11,128,128,100.0,49011
49,14,111,111,100.0,49014
49,15,71,71,100.0,49015
49,16,112,112,100.0,49016
49,19,72,72,100.0,49019
49,20,129,129,100.0,49020
49,28,81,81,100.0,49028
49,30,85,85,100.0,49030
49,33,64,64,100.0,49033
49,34,71,71,100.0,49034
49,35,103,103,100.0,49035
50,1,65,65,100.0,50001
50,2,96,96,100.0,50002
50,3,65,65,100.0,50003
50,4,103,103,100.0,50004
