ward,precinct,total,MARY E. FLOWERS,MARY E. FLOWERS Percent,precinct_id
6,1,214,214,100.0,06001
6,8,179,179,100.0,06008
6,16,209,209,100.0,06016
6,19,15,15,100.0,06019
6,20,46,46,100.0,06020
6,35,211,211,100.0,06035
6,41,212,212,100.0,06041
6,44,172,172,100.0,06044
6,45,97,97,100.0,06045
6,51,126,126,100.0,06051
6,53,138,138,100.0,06053
6,57,91,91,100.0,06057
6,60,97,97,100.0,06060
13,13,125,125,100.0,13013
13,17,78,78,100.0,13017
13,18,110,110,100.0,13018
13,19,106,106,100.0,13019
13,20,129,129,100.0,13020
13,26,99,99,100.0,13026
13,30,112,112,100.0,13030
13,31,114,114,100.0,13031
13,40,116,116,100.0,13040
13,41,87,87,100.0,13041
13,43,98,98,100.0,13043
13,45,66,66,100.0,13045
13,50,101,101,100.0,13050
13,55,132,132,100.0,13055
13,60,109,109,100.0,13060
14,44,66,66,100.0,14044
15,3,137,137,100.0,15003
15,10,130,130,100.0,15010
15,12,101,101,100.0,15012
15,13,85,85,100.0,15013
15,14,45,45,100.0,15014
15,16,174,174,100.0,15016
15,25,102,102,100.0,15025
15,27,107,107,100.0,15027
15,28,177,177,100.0,15028
15,32,98,98,100.0,15032
15,41,123,123,100.0,15041
15,45,103,103,100.0,15045
17,2,166,166,100.0,17002
17,4,250,250,100.0,17004
17,5,172,172,100.0,17005
17,7,171,171,100.0,17007
17,10,167,167,100.0,17010
17,11,107,107,100.0,17011
17,12,161,161,100.0,17012
17,15,161,161,100.0,17015
17,18,152,152,100.0,17018
17,21,230,230,100.0,17021
17,22,165,165,100.0,17022
17,24,155,155,100.0,17024
17,25,81,81,100.0,17025
17,26,189,189,100.0,17026
17,27,187,187,100.0,17027
17,29,165,165,100.0,17029
17,30,175,175,100.0,17030
17,31,102,102,100.0,17031
17,32,147,147,100.0,17032
17,38,123,123,100.0,17038
17,40,0,0,0.0,17040
17,51,154,154,100.0,17051
17,52,238,238,100.0,17052
17,53,169,169,100.0,17053
17,54,202,202,100.0,17054
17,55,124,124,100.0,17055
18,1,132,132,100.0,18001
18,2,145,145,100.0,18002
18,3,154,154,100.0,18003
18,5,101,101,100.0,18005
18,6,157,157,100.0,18006
18,8,99,99,100.0,18008
18,15,120,120,100.0,18015
18,17,158,158,100.0,18017
18,19,103,103,100.0,18019
18,20,170,170,100.0,18020
18,23,124,124,100.0,18023
18,27,127,127,100.0,18027
18,28,128,128,100.0,18028
18,30,216,216,100.0,18030
18,31,88,88,100.0,18031
18,33,137,137,100.0,18033
18,38,192,192,100.0,18038
18,42,132,132,100.0,18042
18,43,126,126,100.0,18043
18,48,104,104,100.0,18048
18,50,140,140,100.0,18050
18,51,164,164,100.0,18051
18,53,152,152,100.0,18053
18,56,167,167,100.0,18056
18,57,213,213,100.0,18057
18,58,97,97,100.0,18058
18,59,177,177,100.0,18059
18,60,138,138,100.0,18060
18,61,166,166,100.0,18061
21,2,80,80,100.0,21002
21,34,150,150,100.0,21034
21,62,168,168,100.0,21062
21,65,148,148,100.0,21065
21,70,115,115,100.0,21070
23,7,73,73,100.0,23007
23,22,89,89,100.0,23022
23,25,82,82,100.0,23025
