ward,precinct,total,MATTHEW E. COGHLAN,MATTHEW E. COGHLAN Percent,THOMAS MORE DONNELLY,THOMAS MORE DONNELLY Percent,LAURA MARIE SULLIVAN,LAURA MARIE SULLIVAN Percent,BEVERLY SUSLER PARKHURST,BEVERLY SUSLER PARKHURST Percent,precinct_id
1,1,88,19,21.59,26,29.55,30,34.09,13,14.77,01001
1,2,129,17,13.18,37,28.68,41,31.78,34,26.36,01002
1,3,72,15,20.83,21,29.17,17,23.61,19,26.39,01003
1,4,106,17,16.04,28,26.42,26,24.53,35,33.02,01004
1,5,95,14,14.74,22,23.16,38,40.0,21,22.11,01005
1,6,86,11,12.79,22,25.58,31,36.05,22,25.58,01006
1,7,133,22,16.54,44,33.08,49,36.84,18,13.53,01007
1,8,79,15,18.99,25,31.65,24,30.38,15,18.99,01008
1,9,142,29,20.42,51,35.92,40,28.17,22,15.49,01009
1,10,125,19,15.2,29,23.2,50,40.0,27,21.6,01010
1,11,73,11,15.07,25,34.25,21,28.77,16,21.92,01011
1,12,184,20,10.87,58,31.52,82,44.57,24,13.04,01012
1,13,92,14,15.22,38,41.3,26,28.26,14,15.22,01013
1,14,93,17,18.28,38,40.86,28,30.11,10,10.75,01014
1,15,138,24,17.39,54,39.13,39,28.26,21,15.22,01015
1,16,102,19,18.63,32,31.37,29,28.43,22,21.57,01016
1,17,108,12,11.11,44,40.74,23,21.3,29,26.85,01017
1,18,145,25,17.24,47,32.41,44,30.34,29,20.0,01018
1,19,116,24,20.69,41,35.34,33,28.45,18,15.52,01019
1,20,89,11,12.36,35,39.33,32,35.96,11,12.36,01020
1,21,147,18,12.24,39,26.53,47,31.97,43,29.25,01021
1,22,74,10,13.51,29,39.19,28,37.84,7,9.46,01022
1,23,195,30,15.38,76,38.97,64,32.82,25,12.82,01023
1,24,110,15,13.64,35,31.82,29,26.36,31,28.18,01024
1,25,158,12,7.59,58,36.71,40,25.32,48,30.38,01025
1,26,236,30,12.71,65,27.54,61,25.85,80,33.9,01026
1,27,98,22,22.45,32,32.65,35,35.71,9,9.18,01027
1,28,22,5,22.73,8,36.36,8,36.36,1,4.55,01028
