ward,precinct,total,NANCY A. DONAHOE,NANCY A. DONAHOE Percent,LAWRENCE A. SCORDINO,LAWRENCE A. SCORDINO Percent,ROBERT RONALD TEPPER,ROBERT RONALD TEPPER Percent,"P. SCOTT NEVILLE, JR.","P. SCOTT NEVILLE, JR. Percent",DEBORAH JEAN GUBIN,DEBORAH JEAN GUBIN Percent,JOHN JOSEPH DOWNEY,JOHN JOSEPH DOWNEY Percent,precinct_id
1,1,81,30,37.04,11,13.58,7,8.64,10,12.35,11,13.58,12,14.81,01001
1,2,119,37,31.09,11,9.24,13,10.92,25,21.01,18,15.13,15,12.61,01002
1,3,68,18,26.47,6,8.82,7,10.29,10,14.71,18,26.47,9,13.24,01003
1,4,102,37,36.27,14,13.73,4,3.92,16,15.69,15,14.71,16,15.69,01004
1,5,87,30,34.48,5,5.75,8,9.2,19,21.84,17,19.54,8,9.2,01005
1,6,72,28,38.89,9,12.5,2,2.78,8,11.11,14,19.44,11,15.28,01006
1,7,124,57,45.97,12,9.68,4,3.23,17,13.71,28,22.58,6,4.84,01007
1,8,71,24,33.8,5,7.04,8,11.27,12,16.9,17,23.94,5,7.04,01008
1,9,139,33,23.74,24,17.27,16,11.51,28,20.14,17,12.23,21,15.11,01009
1,10,115,40,34.78,5,4.35,12,10.43,16,13.91,27,23.48,15,13.04,01010
1,11,66,30,45.45,8,12.12,2,3.03,6,9.09,11,16.67,9,13.64,01011
1,12,176,62,35.23,15,8.52,11,6.25,27,15.34,31,17.61,30,17.05,01012
1,13,89,32,35.96,6,6.74,5,5.62,20,22.47,10,11.24,16,17.98,01013
1,14,93,37,39.78,7,7.53,5,5.38,23,24.73,8,8.6,13,13.98,01014
1,15,118,41,34.75,14,11.86,2,1.69,34,28.81,20,16.95,7,5.93,01015
1,16,90,25,27.78,5,5.56,5,5.56,25,27.78,14,15.56,16,17.78,01016
1,17,89,26,29.21,8,8.99,10,11.24,22,24.72,16,17.98,7,7.87,01017
1,18,130,45,34.62,11,8.46,11,8.46,32,24.62,19,14.62,12,9.23,01018
1,19,100,26,26.0,4,4.0,12,12.0,27,27.0,16,16.0,15,15.0,01019
1,20,82,30,36.59,5,6.1,6,7.32,21,25.61,15,18.29,5,6.1,01020
1,21,136,44,32.35,13,9.56,11,8.09,27,19.85,31,22.79,10,7.35,01021
1,22,71,28,39.44,4,5.63,8,11.27,16,22.54,6,8.45,9,12.68,01022
1,23,190,66,34.74,19,10.0,17,8.95,29,15.26,37,19.47,22,11.58,01023
