ward,precinct,total,RAYMOND G. WARDINGLEY,RAYMOND G. WARDINGLEY Percent,precinct_id
2,2,3,3,100.0,02002
2,6,1,1,100.0,02006
2,12,3,3,100.0,02012
2,13,4,4,100.0,02013
2,14,0,0,0.0,02014
2,16,1,1,100.0,02016
2,18,4,4,100.0,02018
2,20,0,0,0.0,02020
2,21,1,1,100.0,02021
2,24,2,2,100.0,02024
2,29,1,1,100.0,02029
2,31,2,2,100.0,02031
2,33,4,4,100.0,02033
2,44,2,2,100.0,02044
2,45,1,1,100.0,02045
2,46,10,10,100.0,02046
2,47,6,6,100.0,02047
2,48,5,5,100.0,02048
3,2,1,1,100.0,03002
3,3,0,0,0.0,03003
3,6,1,1,100.0,03006
3,9,0,0,0.0,03009
3,23,0,0,0.0,03023
3,24,2,2,100.0,03024
3,25,0,0,0.0,03025
3,27,0,0,0.0,03027
3,28,0,0,0.0,03028
3,33,1,1,100.0,03033
3,34,0,0,0.0,03034
3,36,3,3,100.0,03036
3,38,1,1,100.0,03038
3,39,2,2,100.0,03039
3,41,1,1,100.0,03041
3,42,1,1,100.0,03042
3,44,0,0,0.0,03044
3,45,1,1,100.0,03045
4,1,0,0,0.0,04001
4,2,0,0,0.0,04002
4,3,2,2,100.0,04003
4,4,0,0,0.0,04004
4,5,1,1,100.0,04005
4,6,0,0,0.0,04006
4,7,2,2,100.0,04007
4,9,1,1,100.0,04009
4,10,3,3,100.0,04010
4,11,0,0,0.0,04011
4,12,1,1,100.0,04012
4,13,2,2,100.0,04013
4,14,1,1,100.0,04014
4,15,2,2,100.0,04015
4,16,1,1,100.0,04016
4,17,12,12,100.0,04017
4,18,6,6,100.0,04018
4,19,1,1,100.0,04019
4,20,0,0,0.0,04020
4,21,2,2,100.0,04021
4,22,2,2,100.0,04022
4,23,0,0,0.0,04023
4,24,0,0,0.0,04024
4,25,0,0,0.0,04025
4,26,0,0,0.0,04026
4,27,2,2,100.0,04027
4,28,1,1,100.0,04028
4,29,4,4,100.0,04029
4,30,2,2,100.0,04030
4,31,1,1,100.0,04031
4,32,3,3,100.0,04032
4,33,0,0,0.0,04033
4,34,0,0,0.0,04034
4,35,0,0,0.0,04035
4,36,0,0,0.0,04036
4,37,1,1,100.0,04037
4,38,2,2,100.0,04038
4,39,0,0,0.0,04039
4,40,0,0,0.0,04040
4,41,1,1,100.0,04041
4,42,0,0,0.0,04042
4,43,1,1,100.0,04043
4,44,0,0,0.0,04044
4,45,4,4,100.0,04045
4,46,1,1,100.0,04046
4,47,7,7,100.0,04047
4,48,6,6,100.0,04048
4,49,0,0,0.0,04049
4,50,2,2,100.0,04050
4,51,2,2,100.0,04051
4,52,1,1,100.0,04052
4,53,0,0,0.0,04053
4,54,1,1,100.0,04054
4,55,2,2,100.0,04055
5,1,1,1,100.0,05001
5,2,4,4,100.0,05002
5,3,0,0,0.0,05003
5,4,3,3,100.0,05004
5,5,3,3,100.0,05005
5,6,4,4,100.0,05006
5,7,3,3,100.0,05007
5,8,5,5,100.0,05008
5,9,1,1,100.0,05009
5,10,0,0,0.0,05010
5,11,1,1,100.0,05011
5,12,3,3,100.0,05012
5,13,2,2,100.0,05013
5,14,1,1,100.0,05014
5,15,2,2,100.0,05015
5,16,4,4,100.0,05016
5,17,2,2,100.0,05017
5,18,2,2,100.0,05018
5,19,0,0,0.0,05019
5,20,1,1,100.0,05020
5,21,0,0,0.0,05021
5,22,1,1,100.0,05022
5,23,2,2,100.0,05023
5,24,2,2,100.0,05024
5,25,3,3,100.0,05025
5,26,0,0,0.0,05026
5,27,2,2,100.0,05027
5,28,1,1,100.0,05028
5,29,0,0,0.0,05029
5,30,7,7,100.0,05030
5,31,0,0,0.0,05031
5,32,0,0,0.0,05032
5,33,0,0,0.0,05033
5,34,1,1,100.0,05034
5,35,4,4,100.0,05035
5,36,0,0,0.0,05036
5,37,6,6,100.0,05037
5,38,5,5,100.0,05038
5,39,8,8,100.0,05039
5,40,3,3,100.0,05040
5,41,4,4,100.0,05041
5,42,1,1,100.0,05042
5,43,2,2,100.0,05043
5,44,0,0,0.0,05044
5,45,3,3,100.0,05045
5,46,1,1,100.0,05046
5,47,0,0,0.0,05047
5,48,4,4,100.0,05048
5,49,7,7,100.0,05049
5,50,0,0,0.0,05050
5,51,1,1,100.0,05051
5,52,1,1,100.0,05052
5,53,2,2,100.0,05053
5,54,1,1,100.0,05054
5,55,0,0,0.0,05055
5,56,1,1,100.0,05056
5,57,2,2,100.0,05057
5,58,1,1,100.0,05058
5,59,0,0,0.0,05059
6,1,0,0,0.0,06001
6,2,2,2,100.0,06002
6,3,2,2,100.0,06003
6,4,1,1,100.0,06004
6,5,1,1,100.0,06005
6,6,0,0,0.0,06006
6,7,1,1,100.0,06007
6,8,1,1,100.0,06008
6,9,2,2,100.0,06009
6,10,3,3,100.0,06010
6,11,3,3,100.0,06011
6,12,0,0,0.0,06012
6,13,2,2,100.0,06013
6,14,0,0,0.0,06014
6,15,0,0,0.0,06015
6,16,1,1,100.0,06016
6,17,1,1,100.0,06017
6,19,1,1,100.0,06019
6,20,0,0,0.0,06020
6,21,1,1,100.0,06021
6,22,0,0,0.0,06022
6,23,0,0,0.0,06023
6,24,0,0,0.0,06024
6,25,1,1,100.0,06025
6,26,2,2,100.0,06026
6,27,3,3,100.0,06027
6,28,0,0,0.0,06028
6,29,0,0,0.0,06029
6,30,2,2,100.0,06030
6,31,2,2,100.0,06031
6,32,0,0,0.0,06032
6,33,2,2,100.0,06033
6,34,1,1,100.0,06034
6,35,1,1,100.0,06035
6,36,1,1,100.0,06036
6,37,0,0,0.0,06037
6,38,1,1,100.0,06038
6,39,1,1,100.0,06039
6,40,0,0,0.0,06040
6,41,0,0,0.0,06041
6,42,0,0,0.0,06042
6,43,1,1,100.0,06043
6,44,0,0,0.0,06044
6,45,2,2,100.0,06045
6,46,2,2,100.0,06046
6,47,2,2,100.0,06047
6,48,2,2,100.0,06048
6,49,1,1,100.0,06049
6,50,2,2,100.0,06050
6,51,0,0,0.0,06051
6,52,1,1,100.0,06052
6,53,1,1,100.0,06053
6,54,1,1,100.0,06054
6,55,2,2,100.0,06055
6,56,2,2,100.0,06056
6,57,0,0,0.0,06057
6,58,1,1,100.0,06058
6,59,0,0,0.0,06059
6,60,0,0,0.0,06060
6,61,0,0,0.0,06061
6,62,0,0,0.0,06062
6,63,0,0,0.0,06063
6,64,3,3,100.0,06064
7,1,3,3,100.0,07001
7,9,2,2,100.0,07009
7,13,2,2,100.0,07013
7,22,0,0,0.0,07022
7,25,2,2,100.0,07025
7,30,2,2,100.0,07030
7,34,0,0,0.0,07034
7,36,3,3,100.0,07036
7,37,3,3,100.0,07037
7,38,3,3,100.0,07038
7,41,2,2,100.0,07041
7,43,1,1,100.0,07043
8,1,1,1,100.0,08001
8,2,1,1,100.0,08002
8,3,1,1,100.0,08003
8,4,0,0,0.0,08004
8,5,1,1,100.0,08005
8,6,1,1,100.0,08006
8,7,0,0,0.0,08007
8,8,0,0,0.0,08008
8,9,1,1,100.0,08009
8,10,0,0,0.0,08010
8,11,0,0,0.0,08011
8,12,2,2,100.0,08012
8,13,0,0,0.0,08013
8,14,0,0,0.0,08014
8,15,1,1,100.0,08015
8,16,1,1,100.0,08016
8,17,1,1,100.0,08017
8,18,0,0,0.0,08018
8,19,0,0,0.0,08019
8,20,0,0,0.0,08020
8,21,2,2,100.0,08021
8,22,0,0,0.0,08022
8,23,2,2,100.0,08023
8,24,1,1,100.0,08024
8,25,4,4,100.0,08025
8,26,1,1,100.0,08026
8,27,2,2,100.0,08027
8,28,1,1,100.0,08028
8,29,0,0,0.0,08029
8,30,1,1,100.0,08030
8,31,0,0,0.0,08031
