ward,precinct,total,MAGGIE HICKEY (BUSH),MAGGIE HICKEY (BUSH) Percent,NORRIS A. WASHINGTON (BUSH),NORRIS A. WASHINGTON (BUSH) Percent,PAUL FISHER (FORBES),PAUL FISHER (FORBES) Percent,CAROL MERCADO (FORBES),CAROL MERCADO (FORBES) Percent,MATTHEW M. O'SHEA (McCAIN),MATTHEW M. O'SHEA (McCAIN) Percent,JAMES R. FUCHS (McCAIN),JAMES R. FUCHS (McCAIN) Percent,precinct_id
1,6,14,7,50.0,3,21.43,1,7.14,0,0.0,2,14.29,1,7.14,01006
1,28,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,01028
1,34,8,3,37.5,3,37.5,1,12.5,1,12.5,0,0.0,0,0.0,01034
1,35,2,0,0.0,0,0.0,1,50.0,0,0.0,1,50.0,0,0.0,01035
2,1,49,15,30.61,11,22.45,3,6.12,6,12.24,7,14.29,7,14.29,02001
2,3,3,1,33.33,1,33.33,0,0.0,1,33.33,0,0.0,0,0.0,02003
2,4,1,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,02004
2,5,2,0,0.0,0,0.0,0,0.0,2,100.0,0,0.0,0,0.0,02005
2,7,2,2,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,02007
2,8,39,13,33.33,8,20.51,1,2.56,3,7.69,8,20.51,6,15.38,02008
2,9,1,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,02009
2,10,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,02010
2,11,37,13,35.14,10,27.03,1,2.7,1,2.7,6,16.22,6,16.22,02011
2,15,2,2,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,02015
2,17,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,02017
2,19,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,02019
2,22,40,15,37.5,11,27.5,4,10.0,2,5.0,5,12.5,3,7.5,02022
2,23,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,02023
2,25,9,2,22.22,1,11.11,1,11.11,0,0.0,3,33.33,2,22.22,02025
2,26,5,2,40.0,3,60.0,0,0.0,0,0.0,0,0.0,0,0.0,02026
2,27,2,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,02027
2,28,5,0,0.0,2,40.0,0,0.0,2,40.0,1,20.0,0,0.0,02028
2,30,5,0,0.0,2,40.0,0,0.0,0,0.0,2,40.0,1,20.0,02030
2,32,5,2,40.0,1,20.0,0,0.0,1,20.0,1,20.0,0,0.0,02032
2,34,6,3,50.0,1,16.67,0,0.0,2,33.33,0,0.0,0,0.0,02034
2,35,7,2,28.57,2,28.57,0,0.0,0,0.0,1,14.29,2,28.57,02035
2,36,3,0,0.0,0,0.0,0,0.0,1,33.33,1,33.33,1,33.33,02036
2,37,29,12,41.38,8,27.59,1,3.45,0,0.0,5,17.24,3,10.34,02037
2,38,8,3,37.5,1,12.5,0,0.0,1,12.5,1,12.5,2,25.0,02038
2,39,6,2,33.33,2,33.33,1,16.67,1,16.67,0,0.0,0,0.0,02039
2,40,6,2,33.33,1,16.67,0,0.0,1,16.67,1,16.67,1,16.67,02040
2,41,1,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,02041
2,42,3,0,0.0,1,33.33,0,0.0,0,0.0,1,33.33,1,33.33,02042
2,43,51,15,29.41,14,27.45,2,3.92,2,3.92,9,17.65,9,17.65,02043
2,49,14,1,7.14,4,28.57,0,0.0,2,14.29,4,28.57,3,21.43,02049
2,51,3,0,0.0,2,66.67,0,0.0,0,0.0,1,33.33,0,0.0,02051
2,52,15,5,33.33,2,13.33,0,0.0,0,0.0,5,33.33,3,20.0,02052
2,53,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,02053
2,54,43,16,37.21,8,18.6,3,6.98,1,2.33,7,16.28,8,18.6,02054
3,1,5,2,40.0,2,40.0,0,0.0,0,0.0,1,20.0,0,0.0,03001
3,4,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,03004
3,5,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,03005
3,7,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,03007
3,8,1,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,03008
3,10,2,0,0.0,0,0.0,1,50.0,0,0.0,0,0.0,1,50.0,03010
3,11,2,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,03011
3,12,4,2,50.0,2,50.0,0,0.0,0,0.0,0,0.0,0,0.0,03012
3,13,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,03013
3,14,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,03014
3,15,2,0,0.0,0,0.0,0,0.0,0,0.0,1,50.0,1,50.0,03015
3,16,1,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,03016
3,17,2,1,50.0,0,0.0,0,0.0,0,0.0,1,50.0,0,0.0,03017
3,18,2,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,03018
3,19,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,03019
3,20,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,03020
3,21,2,1,50.0,0,0.0,0,0.0,1,50.0,0,0.0,0,0.0,03021
3,22,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,03022
3,26,2,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,03026
3,29,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,03029
3,30,2,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,03030
3,31,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,03031
3,32,3,1,33.33,1,33.33,1,33.33,0,0.0,0,0.0,0,0.0,03032
3,35,2,0,0.0,0,0.0,0,0.0,1,50.0,0,0.0,1,50.0,03035
3,37,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,03037
3,40,4,2,50.0,0,0.0,0,0.0,2,50.0,0,0.0,0,0.0,03040
3,43,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,03043
3,46,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,03046
3,47,5,0,0.0,1,20.0,2,40.0,2,40.0,0,0.0,0,0.0,03047
3,48,4,2,50.0,0,0.0,2,50.0,0,0.0,0,0.0,0,0.0,03048
3,49,3,2,66.67,1,33.33,0,0.0,0,0.0,0,0.0,0,0.0,03049
3,50,2,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,03050
3,52,3,1,33.33,0,0.0,1,33.33,0,0.0,1,33.33,0,0.0,03052
4,8,2,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,04008
11,12,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,11012
11,13,5,1,20.0,2,40.0,1,20.0,0,0.0,1,20.0,0,0.0,11013
11,34,18,10,55.56,5,27.78,1,5.56,0,0.0,2,11.11,0,0.0,11034
11,35,2,1,50.0,0,0.0,0,0.0,0,0.0,1,50.0,0,0.0,11035
11,37,6,1,16.67,1,16.67,0,0.0,0,0.0,2,33.33,2,33.33,11037
11,38,6,1,16.67,1,16.67,1,16.67,1,16.67,2,33.33,0,0.0,11038
11,39,11,6,54.55,4,36.36,0,0.0,1,9.09,0,0.0,0,0.0,11039
11,40,10,5,50.0,3,30.0,0,0.0,2,20.0,0,0.0,0,0.0,11040
11,41,7,2,28.57,1,14.29,1,14.29,2,28.57,0,0.0,1,14.29,11041
11,42,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,11042
11,43,13,5,38.46,2,15.38,1,7.69,0,0.0,4,30.77,1,7.69,11043
11,45,6,2,33.33,1,16.67,2,33.33,1,16.67,0,0.0,0,0.0,11045
11,46,3,1,33.33,0,0.0,0,0.0,1,33.33,1,33.33,0,0.0,11046
11,47,3,1,33.33,0,0.0,1,33.33,0,0.0,1,33.33,0,0.0,11047
11,48,1,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,11048
11,49,12,4,33.33,2,16.67,1,8.33,0,0.0,4,33.33,1,8.33,11049
11,50,2,1,50.0,0,0.0,0,0.0,0,0.0,1,50.0,0,0.0,11050
11,52,6,3,50.0,1,16.67,0,0.0,0,0.0,2,33.33,0,0.0,11052
11,53,5,2,40.0,0,0.0,0,0.0,1,20.0,1,20.0,1,20.0,11053
11,54,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,11054
12,19,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,12019
16,16,1,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,16016
16,17,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,16017
16,18,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,16018
20,4,2,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,20004
20,8,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,20008
20,15,2,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,1,50.0,20015
20,21,2,0,0.0,0,0.0,0,0.0,0,0.0,1,50.0,1,50.0,20021
