ward,precinct,total,ROBERT HUNTINGTON,ROBERT HUNTINGTON Percent,precinct_id
32,7,5,5,100.0,32007
32,8,19,19,100.0,32008
32,18,8,8,100.0,32018
32,23,12,12,100.0,32023
32,32,14,14,100.0,32032
32,39,11,11,100.0,32039
32,48,14,14,100.0,32048
43,2,8,8,100.0,43002
43,6,10,10,100.0,43006
43,22,7,7,100.0,43022
43,39,12,12,100.0,43039
43,45,9,9,100.0,43045
43,48,9,9,100.0,43048
43,50,11,11,100.0,43050
43,54,5,5,100.0,43054
43,60,17,17,100.0,43060
44,1,23,23,100.0,44001
44,2,16,16,100.0,44002
44,3,15,15,100.0,44003
44,4,23,23,100.0,44004
44,5,11,11,100.0,44005
44,6,8,8,100.0,44006
44,7,27,27,100.0,44007
44,8,20,20,100.0,44008
44,9,18,18,100.0,44009
44,10,22,22,100.0,44010
44,11,11,11,100.0,44011
44,12,14,14,100.0,44012
44,14,17,17,100.0,44014
44,15,17,17,100.0,44015
44,17,10,10,100.0,44017
44,19,14,14,100.0,44019
44,20,9,9,100.0,44020
44,21,11,11,100.0,44021
44,22,15,15,100.0,44022
44,23,8,8,100.0,44023
44,24,22,22,100.0,44024
44,26,15,15,100.0,44026
44,27,17,17,100.0,44027
44,28,10,10,100.0,44028
44,29,17,17,100.0,44029
44,30,14,14,100.0,44030
44,31,14,14,100.0,44031
44,32,7,7,100.0,44032
44,33,7,7,100.0,44033
44,34,15,15,100.0,44034
44,35,22,22,100.0,44035
44,36,10,10,100.0,44036
44,37,14,14,100.0,44037
44,38,12,12,100.0,44038
44,39,13,13,100.0,44039
44,40,16,16,100.0,44040
44,41,19,19,100.0,44041
44,42,5,5,100.0,44042
44,44,18,18,100.0,44044
44,45,15,15,100.0,44045
44,46,4,4,100.0,44046
44,48,14,14,100.0,44048
44,49,14,14,100.0,44049
46,1,33,33,100.0,46001
46,3,9,9,100.0,46003
46,5,15,15,100.0,46005
46,7,16,16,100.0,46007
46,9,10,10,100.0,46009
46,10,11,11,100.0,46010
46,11,8,8,100.0,46011
46,13,18,18,100.0,46013
46,15,12,12,100.0,46015
46,17,13,13,100.0,46017
46,18,20,20,100.0,46018
46,20,6,6,100.0,46020
46,23,5,5,100.0,46023
46,24,15,15,100.0,46024
46,25,6,6,100.0,46025
46,26,5,5,100.0,46026
46,28,37,37,100.0,46028
46,29,11,11,100.0,46029
46,30,12,12,100.0,46030
46,31,14,14,100.0,46031
46,33,20,20,100.0,46033
46,34,6,6,100.0,46034
46,36,34,34,100.0,46036
46,37,12,12,100.0,46037
46,39,17,17,100.0,46039
