ward,precinct,total,MICHAEL P. MCAULIFFE,MICHAEL P. MCAULIFFE Percent,precinct_id
36,5,10,10,100.0,36005
36,17,16,16,100.0,36017
36,18,14,14,100.0,36018
36,25,10,10,100.0,36025
36,29,0,0,0.0,36029
36,34,7,7,100.0,36034
36,47,5,5,100.0,36047
38,1,7,7,100.0,38001
38,8,32,32,100.0,38008
38,10,17,17,100.0,38010
38,12,3,3,100.0,38012
38,14,15,15,100.0,38014
38,15,6,6,100.0,38015
38,18,27,27,100.0,38018
38,19,15,15,100.0,38019
38,21,19,19,100.0,38021
38,26,11,11,100.0,38026
38,27,16,16,100.0,38027
38,28,13,13,100.0,38028
38,32,23,23,100.0,38032
38,38,11,11,100.0,38038
38,43,13,13,100.0,38043
38,46,16,16,100.0,38046
38,49,11,11,100.0,38049
38,50,10,10,100.0,38050
38,51,6,6,100.0,38051
38,55,24,24,100.0,38055
38,56,4,4,100.0,38056
41,2,30,30,100.0,41002
41,4,27,27,100.0,41004
41,5,25,25,100.0,41005
41,6,28,28,100.0,41006
41,7,41,41,100.0,41007
41,8,24,24,100.0,41008
41,13,10,10,100.0,41013
41,15,28,28,100.0,41015
41,18,24,24,100.0,41018
41,20,51,51,100.0,41020
41,25,16,16,100.0,41025
41,26,19,19,100.0,41026
41,27,12,12,100.0,41027
41,28,16,16,100.0,41028
41,29,15,15,100.0,41029
41,31,35,35,100.0,41031
41,32,22,22,100.0,41032
41,33,37,37,100.0,41033
41,34,35,35,100.0,41034
41,36,21,21,100.0,41036
41,37,68,68,100.0,41037
41,38,18,18,100.0,41038
41,39,36,36,100.0,41039
41,41,27,27,100.0,41041
41,42,20,20,100.0,41042
41,44,26,26,100.0,41044
41,45,17,17,100.0,41045
41,48,17,17,100.0,41048
41,53,54,54,100.0,41053
41,55,40,40,100.0,41055
41,56,47,47,100.0,41056
41,58,18,18,100.0,41058
41,60,14,14,100.0,41060
41,61,26,26,100.0,41061
