ward,precinct,total,CLARA M. SIMMS-JOHNSON,CLARA M. SIMMS-JOHNSON Percent,WILLIAM (MR. D) DELAY,WILLIAM (MR. D) DELAY Percent,precinct_id
5,1,2,2,100.0,0,0.0,05001
5,2,17,4,23.53,13,76.47,05002
5,3,0,0,0.0,0,0.0,05003
5,4,4,3,75.0,1,25.0,05004
5,5,6,5,83.33,1,16.67,05005
5,6,4,4,100.0,0,0.0,05006
5,7,5,5,100.0,0,0.0,05007
5,8,5,4,80.0,1,20.0,05008
5,9,2,1,50.0,1,50.0,05009
5,10,0,0,0.0,0,0.0,05010
5,11,2,2,100.0,0,0.0,05011
5,12,3,2,66.67,1,33.33,05012
5,13,3,2,66.67,1,33.33,05013
5,14,1,1,100.0,0,0.0,05014
5,15,2,1,50.0,1,50.0,05015
5,16,9,5,55.56,4,44.44,05016
5,17,2,2,100.0,0,0.0,05017
5,18,1,1,100.0,0,0.0,05018
5,19,2,2,100.0,0,0.0,05019
5,20,1,0,0.0,1,100.0,05020
5,21,0,0,0.0,0,0.0,05021
5,22,11,5,45.45,6,54.55,05022
5,23,5,3,60.0,2,40.0,05023
5,24,3,3,100.0,0,0.0,05024
5,25,2,2,100.0,0,0.0,05025
5,26,0,0,0.0,0,0.0,05026
5,27,3,2,66.67,1,33.33,05027
5,28,1,0,0.0,1,100.0,05028
5,29,0,0,0.0,0,0.0,05029
5,30,7,6,85.71,1,14.29,05030
5,31,0,0,0.0,0,0.0,05031
5,32,2,1,50.0,1,50.0,05032
5,33,0,0,0.0,0,0.0,05033
5,34,3,3,100.0,0,0.0,05034
5,35,7,7,100.0,0,0.0,05035
5,36,1,1,100.0,0,0.0,05036
5,37,7,5,71.43,2,28.57,05037
5,38,8,7,87.5,1,12.5,05038
5,39,10,9,90.0,1,10.0,05039
5,40,2,2,100.0,0,0.0,05040
5,41,5,4,80.0,1,20.0,05041
5,42,1,0,0.0,1,100.0,05042
5,43,2,1,50.0,1,50.0,05043
5,44,5,4,80.0,1,20.0,05044
5,45,6,5,83.33,1,16.67,05045
5,46,4,3,75.0,1,25.0,05046
5,47,0,0,0.0,0,0.0,05047
5,48,5,5,100.0,0,0.0,05048
5,49,7,5,71.43,2,28.57,05049
5,50,3,2,66.67,1,33.33,05050
5,51,3,3,100.0,0,0.0,05051
5,52,2,1,50.0,1,50.0,05052
5,53,6,4,66.67,2,33.33,05053
5,54,3,3,100.0,0,0.0,05054
5,55,2,2,100.0,0,0.0,05055
5,56,1,1,100.0,0,0.0,05056
5,57,3,3,100.0,0,0.0,05057
5,58,2,2,100.0,0,0.0,05058
5,59,1,0,0.0,1,100.0,05059
