ward,precinct,total,DEROME C. STOVALL,DEROME C. STOVALL Percent,precinct_id
15,1,0,0,0.0,15001
15,2,1,1,100.0,15002
15,3,0,0,0.0,15003
15,4,3,3,100.0,15004
15,5,3,3,100.0,15005
15,6,2,2,100.0,15006
15,7,0,0,0.0,15007
15,8,1,1,100.0,15008
15,9,2,2,100.0,15009
15,10,1,1,100.0,15010
15,11,0,0,0.0,15011
15,12,8,8,100.0,15012
15,13,2,2,100.0,15013
15,14,4,4,100.0,15014
15,15,0,0,0.0,15015
15,16,3,3,100.0,15016
15,17,3,3,100.0,15017
15,18,0,0,0.0,15018
15,19,1,1,100.0,15019
15,20,0,0,0.0,15020
15,21,0,0,0.0,15021
15,22,0,0,0.0,15022
15,23,0,0,0.0,15023
15,24,4,4,100.0,15024
15,25,6,6,100.0,15025
15,26,0,0,0.0,15026
15,27,6,6,100.0,15027
15,28,2,2,100.0,15028
15,29,3,3,100.0,15029
15,30,3,3,100.0,15030
15,31,1,1,100.0,15031
15,32,1,1,100.0,15032
15,33,1,1,100.0,15033
15,34,0,0,0.0,15034
15,35,3,3,100.0,15035
15,36,0,0,0.0,15036
15,37,2,2,100.0,15037
15,38,0,0,0.0,15038
15,39,4,4,100.0,15039
15,40,0,0,0.0,15040
15,41,3,3,100.0,15041
15,42,1,1,100.0,15042
15,43,1,1,100.0,15043
15,44,0,0,0.0,15044
15,45,4,4,100.0,15045
15,46,0,0,0.0,15046
15,47,4,4,100.0,15047
15,48,2,2,100.0,15048
