ward,precinct,total,FRANK L. CAPUZI,FRANK L. CAPUZI Percent,MATTHEW T. GOLDMAN,MATTHEW T. GOLDMAN Percent,CHRISTOPHER M. RIOJAS,CHRISTOPHER M. RIOJAS Percent,precinct_id
27,1,33,13,39.39,16,48.48,4,12.12,27001
27,2,2,0,0.0,2,100.0,0,0.0,27002
27,3,0,0,0.0,0,0.0,0,0.0,27003
27,4,0,0,0.0,0,0.0,0,0.0,27004
27,5,18,11,61.11,4,22.22,3,16.67,27005
27,6,2,0,0.0,2,100.0,0,0.0,27006
27,7,2,1,50.0,1,50.0,0,0.0,27007
27,8,1,0,0.0,0,0.0,1,100.0,27008
27,9,1,0,0.0,1,100.0,0,0.0,27009
27,10,7,2,28.57,2,28.57,3,42.86,27010
27,11,3,1,33.33,1,33.33,1,33.33,27011
27,12,2,1,50.0,0,0.0,1,50.0,27012
27,13,40,16,40.0,14,35.0,10,25.0,27013
27,14,1,1,100.0,0,0.0,0,0.0,27014
27,15,2,0,0.0,1,50.0,1,50.0,27015
27,16,15,5,33.33,8,53.33,2,13.33,27016
27,17,11,8,72.73,1,9.09,2,18.18,27017
27,18,5,4,80.0,0,0.0,1,20.0,27018
27,19,0,0,0.0,0,0.0,0,0.0,27019
27,20,3,1,33.33,2,66.67,0,0.0,27020
27,21,0,0,0.0,0,0.0,0,0.0,27021
27,22,1,0,0.0,1,100.0,0,0.0,27022
27,23,1,1,100.0,0,0.0,0,0.0,27023
27,24,1,1,100.0,0,0.0,0,0.0,27024
27,25,0,0,0.0,0,0.0,0,0.0,27025
27,26,0,0,0.0,0,0.0,0,0.0,27026
27,27,1,1,100.0,0,0.0,0,0.0,27027
27,28,13,2,15.38,8,61.54,3,23.08,27028
27,29,2,1,50.0,0,0.0,1,50.0,27029
27,30,46,42,91.3,3,6.52,1,2.17,27030
27,31,0,0,0.0,0,0.0,0,0.0,27031
27,32,28,25,89.29,2,7.14,1,3.57,27032
27,33,5,2,40.0,1,20.0,2,40.0,27033
27,34,0,0,0.0,0,0.0,0,0.0,27034
27,35,13,12,92.31,1,7.69,0,0.0,27035
27,36,1,0,0.0,0,0.0,1,100.0,27036
27,37,13,5,38.46,7,53.85,1,7.69,27037
27,38,39,7,17.95,28,71.79,4,10.26,27038
27,39,0,0,0.0,0,0.0,0,0.0,27039
27,40,0,0,0.0,0,0.0,0,0.0,27040
27,41,221,219,99.1,2,0.9,0,0.0,27041
27,42,10,3,30.0,5,50.0,2,20.0,27042
27,43,0,0,0.0,0,0.0,0,0.0,27043
27,44,1,1,100.0,0,0.0,0,0.0,27044
27,45,0,0,0.0,0,0.0,0,0.0,27045
27,46,0,0,0.0,0,0.0,0,0.0,27046
27,47,2,1,50.0,0,0.0,1,50.0,27047
27,48,2,2,100.0,0,0.0,0,0.0,27048
27,49,0,0,0.0,0,0.0,0,0.0,27049
27,50,11,8,72.73,3,27.27,0,0.0,27050
27,51,1,0,0.0,1,100.0,0,0.0,27051
27,52,0,0,0.0,0,0.0,0,0.0,27052
27,53,46,12,26.09,25,54.35,9,19.57,27053
27,54,9,3,33.33,2,22.22,4,44.44,27054
27,55,51,50,98.04,1,1.96,0,0.0,27055
