ward,precinct,total,PERCY V. COLEMAN,PERCY V. COLEMAN Percent,JULIA M. ROSS,JULIA M. ROSS Percent,precinct_id
34,1,4,3,75.0,1,25.0,34001
34,2,5,5,100.0,0,0.0,34002
34,3,1,1,100.0,0,0.0,34003
34,4,1,1,100.0,0,0.0,34004
34,5,3,2,66.67,1,33.33,34005
34,6,1,1,100.0,0,0.0,34006
34,7,6,6,100.0,0,0.0,34007
34,8,2,2,100.0,0,0.0,34008
34,9,5,5,100.0,0,0.0,34009
34,10,1,1,100.0,0,0.0,34010
34,11,0,0,0.0,0,0.0,34011
34,12,0,0,0.0,0,0.0,34012
34,13,2,2,100.0,0,0.0,34013
34,14,2,0,0.0,2,100.0,34014
34,15,9,1,11.11,8,88.89,34015
34,16,0,0,0.0,0,0.0,34016
34,17,7,7,100.0,0,0.0,34017
34,18,3,1,33.33,2,66.67,34018
34,19,2,2,100.0,0,0.0,34019
34,20,2,2,100.0,0,0.0,34020
34,21,4,2,50.0,2,50.0,34021
34,22,2,1,50.0,1,50.0,34022
34,23,7,7,100.0,0,0.0,34023
34,24,0,0,0.0,0,0.0,34024
34,25,0,0,0.0,0,0.0,34025
34,26,2,2,100.0,0,0.0,34026
34,27,2,2,100.0,0,0.0,34027
34,28,8,8,100.0,0,0.0,34028
34,29,2,1,50.0,1,50.0,34029
34,30,3,3,100.0,0,0.0,34030
34,31,1,1,100.0,0,0.0,34031
34,32,4,3,75.0,1,25.0,34032
34,33,0,0,0.0,0,0.0,34033
34,34,2,2,100.0,0,0.0,34034
34,35,7,7,100.0,0,0.0,34035
34,36,1,0,0.0,1,100.0,34036
34,37,2,2,100.0,0,0.0,34037
34,38,1,1,100.0,0,0.0,34038
34,39,1,0,0.0,1,100.0,34039
34,40,3,2,66.67,1,33.33,34040
34,41,0,0,0.0,0,0.0,34041
34,42,4,2,50.0,2,50.0,34042
34,43,2,1,50.0,1,50.0,34043
34,44,2,2,100.0,0,0.0,34044
34,45,2,2,100.0,0,0.0,34045
34,46,0,0,0.0,0,0.0,34046
34,47,3,3,100.0,0,0.0,34047
34,48,2,0,0.0,2,100.0,34048
34,49,5,1,20.0,4,80.0,34049
34,50,2,2,100.0,0,0.0,34050
34,51,12,11,91.67,1,8.33,34051
34,52,3,0,0.0,3,100.0,34052
34,53,2,0,0.0,2,100.0,34053
34,54,2,2,100.0,0,0.0,34054
34,55,6,2,33.33,4,66.67,34055
34,56,1,1,100.0,0,0.0,34056
34,57,2,2,100.0,0,0.0,34057
34,58,5,5,100.0,0,0.0,34058
34,59,1,0,0.0,1,100.0,34059
34,60,1,1,100.0,0,0.0,34060
34,61,2,0,0.0,2,100.0,34061
