ward,precinct,total,THOMAS E. CORCORAN,THOMAS E. CORCORAN Percent,SUSAN L. KELSEY,SUSAN L. KELSEY Percent,precinct_id
39,1,15,6,40.0,9,60.0,39001
39,2,23,10,43.48,13,56.52,39002
39,3,26,17,65.38,9,34.62,39003
39,4,16,6,37.5,10,62.5,39004
39,5,13,6,46.15,7,53.85,39005
39,6,45,21,46.67,24,53.33,39006
39,7,6,5,83.33,1,16.67,39007
39,8,7,3,42.86,4,57.14,39008
39,9,9,5,55.56,4,44.44,39009
39,10,11,5,45.45,6,54.55,39010
39,11,7,3,42.86,4,57.14,39011
39,12,8,4,50.0,4,50.0,39012
39,13,4,3,75.0,1,25.0,39013
39,14,17,6,35.29,11,64.71,39014
39,15,11,4,36.36,7,63.64,39015
39,16,9,5,55.56,4,44.44,39016
39,17,6,3,50.0,3,50.0,39017
39,18,4,1,25.0,3,75.0,39018
39,19,9,5,55.56,4,44.44,39019
39,20,28,16,57.14,12,42.86,39020
39,21,6,1,16.67,5,83.33,39021
39,22,4,0,0.0,4,100.0,39022
39,23,17,4,23.53,13,76.47,39023
39,24,9,3,33.33,6,66.67,39024
39,25,7,2,28.57,5,71.43,39025
39,26,18,6,33.33,12,66.67,39026
39,27,11,7,63.64,4,36.36,39027
39,28,17,10,58.82,7,41.18,39028
39,29,3,0,0.0,3,100.0,39029
39,30,12,8,66.67,4,33.33,39030
39,31,6,6,100.0,0,0.0,39031
39,32,25,1,4.0,24,96.0,39032
39,33,19,8,42.11,11,57.89,39033
39,34,13,9,69.23,4,30.77,39034
39,35,13,7,53.85,6,46.15,39035
39,36,43,19,44.19,24,55.81,39036
39,37,33,20,60.61,13,39.39,39037
39,38,36,26,72.22,10,27.78,39038
39,39,9,7,77.78,2,22.22,39039
39,40,18,11,61.11,7,38.89,39040
39,41,1,0,0.0,1,100.0,39041
39,42,23,11,47.83,12,52.17,39042
39,43,22,11,50.0,11,50.0,39043
39,44,9,3,33.33,6,66.67,39044
39,45,26,12,46.15,14,53.85,39045
39,46,17,7,41.18,10,58.82,39046
39,47,22,16,72.73,6,27.27,39047
39,48,10,3,30.0,7,70.0,39048
39,49,3,1,33.33,2,66.67,39049
