ward,precinct,total,WILLIAM F. HURLEY,WILLIAM F. HURLEY Percent,EDWIN A. BURKE,EDWIN A. BURKE Percent,precinct_id
47,1,6,4,66.67,2,33.33,47001
47,2,13,9,69.23,4,30.77,47002
47,3,9,1,11.11,8,88.89,47003
47,4,8,5,62.5,3,37.5,47004
47,5,10,4,40.0,6,60.0,47005
47,6,9,3,33.33,6,66.67,47006
47,7,14,6,42.86,8,57.14,47007
47,8,9,6,66.67,3,33.33,47008
47,9,14,5,35.71,9,64.29,47009
47,10,9,2,22.22,7,77.78,47010
47,11,11,6,54.55,5,45.45,47011
47,12,12,8,66.67,4,33.33,47012
47,13,14,4,28.57,10,71.43,47013
47,14,4,2,50.0,2,50.0,47014
47,15,7,3,42.86,4,57.14,47015
47,16,2,0,0.0,2,100.0,47016
47,17,10,7,70.0,3,30.0,47017
47,18,7,4,57.14,3,42.86,47018
47,19,9,5,55.56,4,44.44,47019
47,20,16,9,56.25,7,43.75,47020
47,21,3,0,0.0,3,100.0,47021
47,22,3,2,66.67,1,33.33,47022
47,23,3,1,33.33,2,66.67,47023
47,24,7,2,28.57,5,71.43,47024
47,25,5,2,40.0,3,60.0,47025
47,26,20,9,45.0,11,55.0,47026
47,27,15,7,46.67,8,53.33,47027
47,28,7,6,85.71,1,14.29,47028
47,29,16,10,62.5,6,37.5,47029
47,30,9,3,33.33,6,66.67,47030
47,31,6,3,50.0,3,50.0,47031
47,32,13,7,53.85,6,46.15,47032
47,33,6,4,66.67,2,33.33,47033
47,34,13,7,53.85,6,46.15,47034
47,35,13,7,53.85,6,46.15,47035
47,36,7,4,57.14,3,42.86,47036
47,37,11,7,63.64,4,36.36,47037
47,38,13,5,38.46,8,61.54,47038
47,39,11,2,18.18,9,81.82,47039
47,40,8,3,37.5,5,62.5,47040
47,41,9,3,33.33,6,66.67,47041
47,42,13,9,69.23,4,30.77,47042
47,43,17,4,23.53,13,76.47,47043
47,44,11,7,63.64,4,36.36,47044
47,45,17,10,58.82,7,41.18,47045
