ward,precinct,total,"ROBERT D. SHEARER, JR.","ROBERT D. SHEARER, JR. Percent",precinct_id
49,1,1,1,100.0,49001
49,2,11,11,100.0,49002
49,3,1,1,100.0,49003
49,4,3,3,100.0,49004
49,5,7,7,100.0,49005
49,6,9,9,100.0,49006
49,7,7,7,100.0,49007
49,8,7,7,100.0,49008
49,9,7,7,100.0,49009
49,10,10,10,100.0,49010
49,11,10,10,100.0,49011
49,12,12,12,100.0,49012
49,13,3,3,100.0,49013
49,14,8,8,100.0,49014
49,15,10,10,100.0,49015
49,16,10,10,100.0,49016
49,17,5,5,100.0,49017
49,18,8,8,100.0,49018
49,19,5,5,100.0,49019
49,20,23,23,100.0,49020
49,21,8,8,100.0,49021
49,22,15,15,100.0,49022
49,23,11,11,100.0,49023
49,24,4,4,100.0,49024
49,25,5,5,100.0,49025
49,26,16,16,100.0,49026
49,27,8,8,100.0,49027
49,28,7,7,100.0,49028
49,29,2,2,100.0,49029
49,30,2,2,100.0,49030
49,31,7,7,100.0,49031
49,32,6,6,100.0,49032
49,33,9,9,100.0,49033
49,34,6,6,100.0,49034
49,35,9,9,100.0,49035
49,36,7,7,100.0,49036
49,37,7,7,100.0,49037
