ward,precinct,total,Jacob ''Coby'' Hakalir,Jacob ''Coby'' Hakalir Percent,precinct_id
2,2,32,32,100.0,02002
2,10,47,47,100.0,02010
2,11,39,39,100.0,02011
2,13,42,42,100.0,02013
2,18,40,40,100.0,02018
2,19,43,43,100.0,02019
2,23,38,38,100.0,02023
2,27,32,32,100.0,02027
2,29,32,32,100.0,02029
2,34,53,53,100.0,02034
2,42,10,10,100.0,02042
3,2,0,0,0.0,03002
3,4,2,2,100.0,03004
3,11,0,0,0.0,03011
3,12,0,0,0.0,03012
3,19,26,26,100.0,03019
3,21,6,6,100.0,03021
3,27,14,14,100.0,03027
3,30,2,2,100.0,03030
3,31,0,0,0.0,03031
4,3,2,2,100.0,04003
4,4,3,3,100.0,04004
4,6,4,4,100.0,04006
4,7,5,5,100.0,04007
4,8,2,2,100.0,04008
4,11,3,3,100.0,04011
4,12,2,2,100.0,04012
4,15,0,0,0.0,04015
4,18,5,5,100.0,04018
4,19,1,1,100.0,04019
4,23,0,0,0.0,04023
4,24,13,13,100.0,04024
4,26,1,1,100.0,04026
4,28,9,9,100.0,04028
4,29,1,1,100.0,04029
4,30,2,2,100.0,04030
4,32,1,1,100.0,04032
4,33,6,6,100.0,04033
4,34,0,0,0.0,04034
4,35,4,4,100.0,04035
4,36,0,0,0.0,04036
4,38,1,1,100.0,04038
5,4,3,3,100.0,05004
5,5,3,3,100.0,05005
5,6,1,1,100.0,05006
5,10,1,1,100.0,05010
5,13,0,0,0.0,05013
5,14,0,0,0.0,05014
5,15,9,9,100.0,05015
5,16,2,2,100.0,05016
5,17,0,0,0.0,05017
5,21,3,3,100.0,05021
5,28,1,1,100.0,05028
5,30,0,0,0.0,05030
5,36,5,5,100.0,05036
7,1,0,0,0.0,07001
7,2,3,3,100.0,07002
7,3,4,4,100.0,07003
7,4,1,1,100.0,07004
7,10,3,3,100.0,07010
7,11,0,0,0.0,07011
7,15,1,1,100.0,07015
7,16,1,1,100.0,07016
7,17,1,1,100.0,07017
7,19,1,1,100.0,07019
7,20,1,1,100.0,07020
7,21,3,3,100.0,07021
7,23,0,0,0.0,07023
7,24,3,3,100.0,07024
7,25,0,0,0.0,07025
7,28,0,0,0.0,07028
7,30,1,1,100.0,07030
7,31,0,0,0.0,07031
7,33,0,0,0.0,07033
8,1,0,0,0.0,08001
8,2,1,1,100.0,08002
8,21,0,0,0.0,08021
8,42,1,1,100.0,08042
10,18,1,1,100.0,10018
10,27,5,5,100.0,10027
10,34,4,4,100.0,10034
10,36,0,0,0.0,10036
20,3,0,0,0.0,20003
20,5,1,1,100.0,20005
20,9,4,4,100.0,20009
20,16,3,3,100.0,20016
20,22,1,1,100.0,20022
20,24,1,1,100.0,20024
42,1,54,54,100.0,42001
42,2,17,17,100.0,42002
42,4,43,43,100.0,42004
42,6,53,53,100.0,42006
42,7,34,34,100.0,42007
42,8,48,48,100.0,42008
42,11,50,50,100.0,42011
42,13,59,59,100.0,42013
42,19,30,30,100.0,42019
42,24,35,35,100.0,42024
42,26,37,37,100.0,42026
42,28,47,47,100.0,42028
42,29,33,33,100.0,42029
42,30,61,61,100.0,42030
42,31,44,44,100.0,42031
42,34,63,63,100.0,42034
42,35,36,36,100.0,42035
42,40,17,17,100.0,42040
43,35,70,70,100.0,43035
