ward,precinct,total,Anthony Joel Quezada,Anthony Joel Quezada Percent,precinct_id
1,1,748,748,100.0,01001
1,2,756,756,100.0,01002
1,3,819,819,100.0,01003
1,4,760,760,100.0,01004
1,5,783,783,100.0,01005
1,6,676,676,100.0,01006
1,7,814,814,100.0,01007
1,8,53,53,100.0,01008
26,1,206,206,100.0,26001
26,2,274,274,100.0,26002
26,3,456,456,100.0,26003
26,4,266,266,100.0,26004
26,5,360,360,100.0,26005
26,6,225,225,100.0,26006
26,7,351,351,100.0,26007
26,8,257,257,100.0,26008
26,9,229,229,100.0,26009
26,10,275,275,100.0,26010
26,11,261,261,100.0,26011
26,12,103,103,100.0,26012
26,13,211,211,100.0,26013
26,14,170,170,100.0,26014
26,15,191,191,100.0,26015
26,16,431,431,100.0,26016
26,17,398,398,100.0,26017
26,18,169,169,100.0,26018
26,19,457,457,100.0,26019
26,21,189,189,100.0,26021
26,22,177,177,100.0,26022
26,23,378,378,100.0,26023
26,24,179,179,100.0,26024
26,27,268,268,100.0,26027
26,28,443,443,100.0,26028
26,29,417,417,100.0,26029
26,30,231,231,100.0,26030
26,31,257,257,100.0,26031
26,32,372,372,100.0,26032
27,24,3,3,100.0,27024
29,1,435,435,100.0,29001
29,2,370,370,100.0,29002
29,3,329,329,100.0,29003
29,4,106,106,100.0,29004
29,5,22,22,100.0,29005
29,6,162,162,100.0,29006
29,7,28,28,100.0,29007
30,1,459,459,100.0,30001
30,2,313,313,100.0,30002
30,3,453,453,100.0,30003
30,4,326,326,100.0,30004
30,5,365,365,100.0,30005
30,6,412,412,100.0,30006
30,7,290,290,100.0,30007
30,8,526,526,100.0,30008
30,9,427,427,100.0,30009
30,10,355,355,100.0,30010
30,11,304,304,100.0,30011
30,12,403,403,100.0,30012
30,13,327,327,100.0,30013
30,14,369,369,100.0,30014
30,15,572,572,100.0,30015
30,16,269,269,100.0,30016
30,17,416,416,100.0,30017
30,18,385,385,100.0,30018
30,19,229,229,100.0,30019
30,20,288,288,100.0,30020
30,21,465,465,100.0,30021
30,22,476,476,100.0,30022
30,23,504,504,100.0,30023
30,24,405,405,100.0,30024
30,25,271,271,100.0,30025
30,26,525,525,100.0,30026
31,1,307,307,100.0,31001
31,2,476,476,100.0,31002
31,3,248,248,100.0,31003
31,4,327,327,100.0,31004
31,5,300,300,100.0,31005
31,6,240,240,100.0,31006
31,7,290,290,100.0,31007
31,8,396,396,100.0,31008
31,9,256,256,100.0,31009
31,10,407,407,100.0,31010
31,11,376,376,100.0,31011
31,12,471,471,100.0,31012
31,13,343,343,100.0,31013
31,14,332,332,100.0,31014
31,15,153,153,100.0,31015
31,16,220,220,100.0,31016
31,17,278,278,100.0,31017
31,18,245,245,100.0,31018
31,19,296,296,100.0,31019
31,20,285,285,100.0,31020
31,21,286,286,100.0,31021
31,22,140,140,100.0,31022
31,23,164,164,100.0,31023
33,5,568,568,100.0,33005
33,6,740,740,100.0,33006
33,7,713,713,100.0,33007
33,8,470,470,100.0,33008
35,1,182,182,100.0,35001
35,2,465,465,100.0,35002
35,3,341,341,100.0,35003
35,4,523,523,100.0,35004
35,5,736,736,100.0,35005
35,6,1047,1047,100.0,35006
35,7,717,717,100.0,35007
35,8,467,467,100.0,35008
35,9,856,856,100.0,35009
35,10,524,524,100.0,35010
35,11,696,696,100.0,35011
35,12,918,918,100.0,35012
35,13,583,583,100.0,35013
35,14,507,507,100.0,35014
35,15,689,689,100.0,35015
35,16,909,909,100.0,35016
35,17,100,100,100.0,35017
35,18,377,377,100.0,35018
35,21,524,524,100.0,35021
36,1,256,256,100.0,36001
36,2,301,301,100.0,36002
36,3,243,243,100.0,36003
36,4,301,301,100.0,36004
36,5,274,274,100.0,36005
36,6,212,212,100.0,36006
36,7,189,189,100.0,36007
36,8,136,136,100.0,36008
36,9,403,403,100.0,36009
36,10,278,278,100.0,36010
36,11,226,226,100.0,36011
36,12,166,166,100.0,36012
36,13,92,92,100.0,36013
36,14,285,285,100.0,36014
36,15,146,146,100.0,36015
36,16,28,28,100.0,36016
37,2,317,317,100.0,37002
37,16,20,20,100.0,37016
37,22,161,161,100.0,37022
38,10,126,126,100.0,38010
38,13,39,39,100.0,38013
38,14,4,4,100.0,38014
38,15,287,287,100.0,38015
38,16,517,517,100.0,38016
38,19,591,591,100.0,38019
38,22,221,221,100.0,38022
38,23,591,591,100.0,38023
39,24,205,205,100.0,39024
45,28,556,556,100.0,45028
45,29,542,542,100.0,45029
