ward,precinct,total,Debra B. Walker,Debra B. Walker Percent,precinct_id
1,1,695,695,100.0,01001
1,2,714,714,100.0,01002
1,3,780,780,100.0,01003
1,4,712,712,100.0,01004
1,5,743,743,100.0,01005
1,6,620,620,100.0,01006
1,7,769,769,100.0,01007
1,8,685,685,100.0,01008
1,9,361,361,100.0,01009
1,10,905,905,100.0,01010
1,11,709,709,100.0,01011
1,12,313,313,100.0,01012
1,13,491,491,100.0,01013
1,14,448,448,100.0,01014
1,15,744,744,100.0,01015
1,16,726,726,100.0,01016
1,17,471,471,100.0,01017
1,18,682,682,100.0,01018
1,19,608,608,100.0,01019
1,20,619,619,100.0,01020
1,21,605,605,100.0,01021
1,22,836,836,100.0,01022
1,23,404,404,100.0,01023
1,24,861,861,100.0,01024
1,25,747,747,100.0,01025
1,26,675,675,100.0,01026
2,1,637,637,100.0,02001
2,2,789,789,100.0,02002
2,3,514,514,100.0,02003
2,4,551,551,100.0,02004
2,5,523,523,100.0,02005
2,6,730,730,100.0,02006
2,7,656,656,100.0,02007
2,8,516,516,100.0,02008
2,9,705,705,100.0,02009
2,10,348,348,100.0,02010
2,11,581,581,100.0,02011
2,12,510,510,100.0,02012
2,13,684,684,100.0,02013
2,14,441,441,100.0,02014
2,15,573,573,100.0,02015
2,16,653,653,100.0,02016
2,17,923,923,100.0,02017
2,18,583,583,100.0,02018
2,19,314,314,100.0,02019
2,20,367,367,100.0,02020
2,21,121,121,100.0,02021
2,22,481,481,100.0,02022
2,23,540,540,100.0,02023
2,24,400,400,100.0,02024
2,25,601,601,100.0,02025
3,1,621,621,100.0,03001
3,2,619,619,100.0,03002
3,3,420,420,100.0,03003
3,4,464,464,100.0,03004
3,5,118,118,100.0,03005
3,6,614,614,100.0,03006
3,7,317,317,100.0,03007
3,8,486,486,100.0,03008
3,9,375,375,100.0,03009
3,10,388,388,100.0,03010
3,11,677,677,100.0,03011
3,12,632,632,100.0,03012
3,13,711,711,100.0,03013
3,14,758,758,100.0,03014
3,15,524,524,100.0,03015
3,16,314,314,100.0,03016
3,17,180,180,100.0,03017
3,18,212,212,100.0,03018
3,19,769,769,100.0,03019
3,20,562,562,100.0,03020
3,21,545,545,100.0,03021
3,22,432,432,100.0,03022
3,23,279,279,100.0,03023
3,24,126,126,100.0,03024
3,25,761,761,100.0,03025
3,26,289,289,100.0,03026
3,27,652,652,100.0,03027
4,1,776,776,100.0,04001
4,2,292,292,100.0,04002
4,3,509,509,100.0,04003
4,4,637,637,100.0,04004
4,5,304,304,100.0,04005
4,6,437,437,100.0,04006
4,7,317,317,100.0,04007
4,8,456,456,100.0,04008
4,9,487,487,100.0,04009
4,10,446,446,100.0,04010
4,11,609,609,100.0,04011
4,12,384,384,100.0,04012
4,13,379,379,100.0,04013
4,14,371,371,100.0,04014
4,15,349,349,100.0,04015
4,16,507,507,100.0,04016
4,17,676,676,100.0,04017
4,18,204,204,100.0,04018
4,19,436,436,100.0,04019
4,20,611,611,100.0,04020
4,21,396,396,100.0,04021
4,22,204,204,100.0,04022
4,23,354,354,100.0,04023
4,24,712,712,100.0,04024
4,25,810,810,100.0,04025
4,26,692,692,100.0,04026
4,27,786,786,100.0,04027
4,28,810,810,100.0,04028
5,1,581,581,100.0,05001
5,2,678,678,100.0,05002
5,3,629,629,100.0,05003
5,4,517,517,100.0,05004
5,5,304,304,100.0,05005
5,6,270,270,100.0,05006
5,7,152,152,100.0,05007
5,8,194,194,100.0,05008
5,9,179,179,100.0,05009
5,10,310,310,100.0,05010
5,11,412,412,100.0,05011
5,12,670,670,100.0,05012
5,13,295,295,100.0,05013
5,14,336,336,100.0,05014
5,15,928,928,100.0,05015
5,16,583,583,100.0,05016
5,17,442,442,100.0,05017
5,18,881,881,100.0,05018
5,19,402,402,100.0,05019
5,20,642,642,100.0,05020
5,21,543,543,100.0,05021
5,22,637,637,100.0,05022
5,23,351,351,100.0,05023
5,24,392,392,100.0,05024
5,25,855,855,100.0,05025
6,1,203,203,100.0,06001
6,2,246,246,100.0,06002
6,3,76,76,100.0,06003
6,4,185,185,100.0,06004
6,5,319,319,100.0,06005
6,6,306,306,100.0,06006
6,7,367,367,100.0,06007
6,8,290,290,100.0,06008
6,9,574,574,100.0,06009
6,10,348,348,100.0,06010
6,11,186,186,100.0,06011
6,12,374,374,100.0,06012
6,13,504,504,100.0,06013
6,14,476,476,100.0,06014
6,15,513,513,100.0,06015
6,16,309,309,100.0,06016
6,17,580,580,100.0,06017
6,18,637,637,100.0,06018
6,19,424,424,100.0,06019
6,20,709,709,100.0,06020
6,21,516,516,100.0,06021
6,22,722,722,100.0,06022
6,23,674,674,100.0,06023
6,24,601,601,100.0,06024
6,25,454,454,100.0,06025
6,26,769,769,100.0,06026
6,27,690,690,100.0,06027
7,1,530,530,100.0,07001
7,2,669,669,100.0,07002
7,3,374,374,100.0,07003
7,4,486,486,100.0,07004
7,5,581,581,100.0,07005
7,6,158,158,100.0,07006
7,7,399,399,100.0,07007
7,8,244,244,100.0,07008
7,9,375,375,100.0,07009
7,10,539,539,100.0,07010
7,11,495,495,100.0,07011
7,12,563,563,100.0,07012
7,13,393,393,100.0,07013
7,14,369,369,100.0,07014
7,15,510,510,100.0,07015
7,16,180,180,100.0,07016
7,17,138,138,100.0,07017
7,18,86,86,100.0,07018
7,19,685,685,100.0,07019
7,20,354,354,100.0,07020
7,21,277,277,100.0,07021
7,22,334,334,100.0,07022
7,23,228,228,100.0,07023
7,24,63,63,100.0,07024
7,25,366,366,100.0,07025
7,26,530,530,100.0,07026
7,27,308,308,100.0,07027
7,28,193,193,100.0,07028
7,29,276,276,100.0,07029
7,30,268,268,100.0,07030
7,31,121,121,100.0,07031
8,1,538,538,100.0,08001
8,2,273,273,100.0,08002
8,3,222,222,100.0,08003
8,4,520,520,100.0,08004
8,5,364,364,100.0,08005
8,6,619,619,100.0,08006
8,7,369,369,100.0,08007
8,8,738,738,100.0,08008
8,9,471,471,100.0,08009
8,10,554,554,100.0,08010
8,11,442,442,100.0,08011
8,12,502,502,100.0,08012
8,13,496,496,100.0,08013
8,14,548,548,100.0,08014
