ward,precinct,total,Raymond W. Mitchell,Raymond W. Mitchell Percent,precinct_id
1,1,672,672,100.0,01001
1,2,696,696,100.0,01002
1,3,770,770,100.0,01003
1,4,694,694,100.0,01004
1,5,723,723,100.0,01005
1,6,603,603,100.0,01006
1,7,755,755,100.0,01007
1,8,669,669,100.0,01008
1,9,344,344,100.0,01009
1,10,895,895,100.0,01010
1,11,689,689,100.0,01011
1,12,307,307,100.0,01012
1,13,480,480,100.0,01013
1,14,436,436,100.0,01014
1,15,724,724,100.0,01015
1,16,702,702,100.0,01016
1,17,455,455,100.0,01017
1,18,671,671,100.0,01018
1,19,599,599,100.0,01019
1,20,596,596,100.0,01020
1,21,590,590,100.0,01021
1,22,808,808,100.0,01022
1,23,394,394,100.0,01023
1,24,862,862,100.0,01024
1,25,742,742,100.0,01025
1,26,652,652,100.0,01026
2,1,636,636,100.0,02001
2,2,772,772,100.0,02002
2,3,507,507,100.0,02003
2,4,542,542,100.0,02004
2,5,511,511,100.0,02005
2,6,717,717,100.0,02006
2,7,644,644,100.0,02007
2,8,502,502,100.0,02008
2,9,688,688,100.0,02009
2,10,336,336,100.0,02010
2,11,563,563,100.0,02011
2,12,498,498,100.0,02012
2,13,668,668,100.0,02013
2,14,436,436,100.0,02014
2,15,559,559,100.0,02015
2,16,630,630,100.0,02016
2,17,897,897,100.0,02017
2,18,571,571,100.0,02018
2,19,309,309,100.0,02019
2,20,357,357,100.0,02020
2,21,114,114,100.0,02021
2,22,470,470,100.0,02022
2,23,514,514,100.0,02023
2,24,394,394,100.0,02024
2,25,585,585,100.0,02025
3,1,594,594,100.0,03001
3,2,578,578,100.0,03002
3,3,397,397,100.0,03003
3,4,459,459,100.0,03004
3,5,105,105,100.0,03005
3,6,583,583,100.0,03006
3,7,287,287,100.0,03007
3,8,463,463,100.0,03008
3,9,364,364,100.0,03009
3,10,378,378,100.0,03010
3,11,641,641,100.0,03011
3,12,603,603,100.0,03012
3,13,703,703,100.0,03013
3,14,739,739,100.0,03014
3,15,503,503,100.0,03015
3,16,303,303,100.0,03016
