ward,precinct,total,Thomas E. Nowinski,Thomas E. Nowinski Percent,precinct_id
1,1,644,644,100.0,01001
1,2,669,669,100.0,01002
1,3,747,747,100.0,01003
1,4,680,680,100.0,01004
1,5,690,690,100.0,01005
1,6,586,586,100.0,01006
1,7,725,725,100.0,01007
1,8,637,637,100.0,01008
1,9,329,329,100.0,01009
1,10,853,853,100.0,01010
1,11,677,677,100.0,01011
1,12,290,290,100.0,01012
1,13,460,460,100.0,01013
1,14,410,410,100.0,01014
1,15,708,708,100.0,01015
1,16,682,682,100.0,01016
1,17,446,446,100.0,01017
1,18,655,655,100.0,01018
1,19,584,584,100.0,01019
1,20,590,590,100.0,01020
1,21,580,580,100.0,01021
1,22,785,785,100.0,01022
1,23,385,385,100.0,01023
1,24,814,814,100.0,01024
1,25,725,725,100.0,01025
1,26,625,625,100.0,01026
2,1,606,606,100.0,02001
2,2,752,752,100.0,02002
2,3,492,492,100.0,02003
2,4,519,519,100.0,02004
2,5,495,495,100.0,02005
2,6,695,695,100.0,02006
2,7,617,617,100.0,02007
2,8,465,465,100.0,02008
2,9,675,675,100.0,02009
2,10,326,326,100.0,02010
2,11,543,543,100.0,02011
2,12,482,482,100.0,02012
2,13,652,652,100.0,02013
2,14,416,416,100.0,02014
2,15,538,538,100.0,02015
2,16,609,609,100.0,02016
2,17,882,882,100.0,02017
2,18,552,552,100.0,02018
2,19,300,300,100.0,02019
2,20,354,354,100.0,02020
2,21,112,112,100.0,02021
2,22,454,454,100.0,02022
2,23,507,507,100.0,02023
2,24,377,377,100.0,02024
2,25,568,568,100.0,02025
3,1,565,565,100.0,03001
3,2,546,546,100.0,03002
3,3,389,389,100.0,03003
3,4,440,440,100.0,03004
3,5,107,107,100.0,03005
3,6,565,565,100.0,03006
3,7,283,283,100.0,03007
3,8,434,434,100.0,03008
3,9,357,357,100.0,03009
3,10,371,371,100.0,03010
3,11,601,601,100.0,03011
3,12,573,573,100.0,03012
3,13,674,674,100.0,03013
3,14,712,712,100.0,03014
3,15,467,467,100.0,03015
3,16,294,294,100.0,03016
3,17,153,153,100.0,03017
3,18,182,182,100.0,03018
3,19,740,740,100.0,03019
3,20,506,506,100.0,03020
3,21,510,510,100.0,03021
3,22,404,404,100.0,03022
3,23,251,251,100.0,03023
3,24,116,116,100.0,03024
3,25,712,712,100.0,03025
3,26,262,262,100.0,03026
3,27,627,627,100.0,03027
4,1,725,725,100.0,04001
4,2,273,273,100.0,04002
4,3,472,472,100.0,04003
4,4,590,590,100.0,04004
4,5,269,269,100.0,04005
4,6,405,405,100.0,04006
4,7,295,295,100.0,04007
4,8,406,406,100.0,04008
4,9,431,431,100.0,04009
4,10,415,415,100.0,04010
4,11,560,560,100.0,04011
4,12,352,352,100.0,04012
4,13,353,353,100.0,04013
4,14,347,347,100.0,04014
4,15,325,325,100.0,04015
4,16,439,439,100.0,04016
4,17,599,599,100.0,04017
4,18,170,170,100.0,04018
4,19,392,392,100.0,04019
4,20,571,571,100.0,04020
4,21,359,359,100.0,04021
4,22,190,190,100.0,04022
4,23,334,334,100.0,04023
4,24,638,638,100.0,04024
4,25,774,774,100.0,04025
4,26,650,650,100.0,04026
4,27,757,757,100.0,04027
4,28,774,774,100.0,04028
5,1,536,536,100.0,05001
5,2,619,619,100.0,05002
5,3,564,564,100.0,05003
5,4,446,446,100.0,05004
5,5,269,269,100.0,05005
5,6,241,241,100.0,05006
5,7,129,129,100.0,05007
5,8,172,172,100.0,05008
5,9,164,164,100.0,05009
5,10,277,277,100.0,05010
5,11,345,345,100.0,05011
5,12,601,601,100.0,05012
5,13,264,264,100.0,05013
5,14,293,293,100.0,05014
5,15,874,874,100.0,05015
5,16,544,544,100.0,05016
5,17,405,405,100.0,05017
5,18,796,796,100.0,05018
5,19,354,354,100.0,05019
5,20,604,604,100.0,05020
5,21,496,496,100.0,05021
5,22,570,570,100.0,05022
5,23,329,329,100.0,05023
5,24,374,374,100.0,05024
5,25,795,795,100.0,05025
6,1,168,168,100.0,06001
6,2,215,215,100.0,06002
6,3,65,65,100.0,06003
6,4,169,169,100.0,06004
6,5,281,281,100.0,06005
6,6,271,271,100.0,06006
6,7,328,328,100.0,06007
6,8,249,249,100.0,06008
6,9,523,523,100.0,06009
6,10,316,316,100.0,06010
6,11,155,155,100.0,06011
6,12,343,343,100.0,06012
6,13,452,452,100.0,06013
6,14,428,428,100.0,06014
6,15,441,441,100.0,06015
6,16,273,273,100.0,06016
6,17,512,512,100.0,06017
6,18,581,581,100.0,06018
6,19,376,376,100.0,06019
6,20,629,629,100.0,06020
6,21,463,463,100.0,06021
6,22,649,649,100.0,06022
6,23,601,601,100.0,06023
6,24,538,538,100.0,06024
6,25,404,404,100.0,06025
6,26,692,692,100.0,06026
6,27,645,645,100.0,06027
7,1,478,478,100.0,07001
7,2,610,610,100.0,07002
7,3,326,326,100.0,07003
7,4,438,438,100.0,07004
7,5,531,531,100.0,07005
7,6,147,147,100.0,07006
7,7,351,351,100.0,07007
7,8,215,215,100.0,07008
7,9,336,336,100.0,07009
7,10,494,494,100.0,07010
7,11,449,449,100.0,07011
7,12,508,508,100.0,07012
7,13,343,343,100.0,07013
7,14,326,326,100.0,07014
7,15,469,469,100.0,07015
7,16,164,164,100.0,07016
7,17,131,131,100.0,07017
7,18,71,71,100.0,07018
7,19,625,625,100.0,07019
7,20,331,331,100.0,07020
7,21,256,256,100.0,07021
7,22,301,301,100.0,07022
7,23,204,204,100.0,07023
7,24,61,61,100.0,07024
7,25,327,327,100.0,07025
7,26,476,476,100.0,07026
7,27,284,284,100.0,07027
7,28,175,175,100.0,07028
7,29,244,244,100.0,07029
7,30,238,238,100.0,07030
7,31,107,107,100.0,07031
8,1,506,506,100.0,08001
8,2,248,248,100.0,08002
8,3,198,198,100.0,08003
8,4,474,474,100.0,08004
8,5,330,330,100.0,08005
8,6,556,556,100.0,08006
8,7,337,337,100.0,08007
8,8,682,682,100.0,08008
8,9,436,436,100.0,08009
8,10,492,492,100.0,08010
8,11,395,395,100.0,08011
8,12,467,467,100.0,08012
8,13,453,453,100.0,08013
8,14,506,506,100.0,08014
8,15,387,387,100.0,08015
8,16,355,355,100.0,08016
8,17,598,598,100.0,08017
8,18,813,813,100.0,08018
8,19,637,637,100.0,08019
8,20,280,280,100.0,08020
8,21,318,318,100.0,08021
8,22,228,228,100.0,08022
8,23,687,687,100.0,08023
8,24,421,421,100.0,08024
8,25,183,183,100.0,08025
8,26,320,320,100.0,08026
8,27,460,460,100.0,08027
8,28,303,303,100.0,08028
8,29,431,431,100.0,08029
8,30,394,394,100.0,08030
9,1,491,491,100.0,09001
9,2,341,341,100.0,09002
9,3,171,171,100.0,09003
9,4,357,357,100.0,09004
9,5,351,351,100.0,09005
9,6,617,617,100.0,09006
9,7,480,480,100.0,09007
9,8,464,464,100.0,09008
9,9,272,272,100.0,09009
9,10,596,596,100.0,09010
9,11,199,199,100.0,09011
9,12,525,525,100.0,09012
9,13,498,498,100.0,09013
9,14,287,287,100.0,09014
9,15,385,385,100.0,09015
9,16,520,520,100.0,09016
9,17,148,148,100.0,09017
9,18,262,262,100.0,09018
9,19,227,227,100.0,09019
9,20,395,395,100.0,09020
9,21,472,472,100.0,09021
9,22,332,332,100.0,09022
9,23,254,254,100.0,09023
9,24,397,397,100.0,09024
9,25,316,316,100.0,09025
9,26,434,434,100.0,09026
9,27,245,245,100.0,09027
9,28,186,186,100.0,09028
9,29,572,572,100.0,09029
9,30,475,475,100.0,09030
10,1,126,126,100.0,10001
10,2,150,150,100.0,10002
10,3,240,240,100.0,10003
10,4,283,283,100.0,10004
10,5,102,102,100.0,10005
10,6,134,134,100.0,10006
10,7,238,238,100.0,10007
10,8,220,220,100.0,10008
10,9,274,274,100.0,10009
10,10,272,272,100.0,10010
10,11,105,105,100.0,10011
10,12,274,274,100.0,10012
10,13,302,302,100.0,10013
10,14,377,377,100.0,10014
10,15,314,314,100.0,10015
10,16,393,393,100.0,10016
10,17,332,332,100.0,10017
10,18,390,390,100.0,10018
10,19,259,259,100.0,10019
10,20,166,166,100.0,10020
10,21,201,201,100.0,10021
10,22,353,353,100.0,10022
10,23,283,283,100.0,10023
10,24,124,124,100.0,10024
10,25,209,209,100.0,10025
11,1,136,136,100.0,11001
