ward,precinct,total,Marcia O'Brien Conway,Marcia O'Brien Conway Percent,precinct_id
22,1,159,159,100.0,22001
24,1,180,180,100.0,24001
24,2,171,171,100.0,24002
24,3,350,350,100.0,24003
24,4,284,284,100.0,24004
24,5,475,475,100.0,24005
24,6,296,296,100.0,24006
24,7,156,156,100.0,24007
24,8,207,207,100.0,24008
24,9,372,372,100.0,24009
24,10,271,271,100.0,24010
24,11,358,358,100.0,24011
24,12,385,385,100.0,24012
24,13,374,374,100.0,24013
24,14,260,260,100.0,24014
24,15,324,324,100.0,24015
24,16,401,401,100.0,24016
24,17,243,243,100.0,24017
24,18,12,12,100.0,24018
25,13,447,447,100.0,25013
26,10,244,244,100.0,26010
27,2,568,568,100.0,27002
27,3,301,301,100.0,27003
27,4,406,406,100.0,27004
27,5,253,253,100.0,27005
27,8,159,159,100.0,27008
27,10,267,267,100.0,27010
27,14,318,318,100.0,27014
27,16,562,562,100.0,27016
27,17,201,201,100.0,27017
27,18,484,484,100.0,27018
27,19,134,134,100.0,27019
27,22,286,286,100.0,27022
27,23,258,258,100.0,27023
27,24,156,156,100.0,27024
27,25,354,354,100.0,27025
27,26,406,406,100.0,27026
27,27,198,198,100.0,27027
28,1,230,230,100.0,28001
28,2,244,244,100.0,28002
28,3,67,67,100.0,28003
28,4,189,189,100.0,28004
28,5,182,182,100.0,28005
28,6,333,333,100.0,28006
28,7,141,141,100.0,28007
28,8,320,320,100.0,28008
28,9,165,165,100.0,28009
28,10,113,113,100.0,28010
28,11,460,460,100.0,28011
28,12,565,565,100.0,28012
28,13,446,446,100.0,28013
28,14,378,378,100.0,28014
28,15,165,165,100.0,28015
28,16,458,458,100.0,28016
28,17,255,255,100.0,28017
28,18,290,290,100.0,28018
28,19,289,289,100.0,28019
28,20,245,245,100.0,28020
28,21,263,263,100.0,28021
28,22,205,205,100.0,28022
28,23,289,289,100.0,28023
28,24,231,231,100.0,28024
28,25,447,447,100.0,28025
28,26,144,144,100.0,28026
29,12,481,481,100.0,29012
29,13,485,485,100.0,29013
29,14,405,405,100.0,29014
29,15,383,383,100.0,29015
29,16,437,437,100.0,29016
29,17,293,293,100.0,29017
29,18,420,420,100.0,29018
29,19,492,492,100.0,29019
29,20,271,271,100.0,29020
29,21,317,317,100.0,29021
29,22,466,466,100.0,29022
29,23,445,445,100.0,29023
29,24,342,342,100.0,29024
34,1,494,494,100.0,34001
34,2,288,288,100.0,34002
34,3,682,682,100.0,34003
34,5,676,676,100.0,34005
34,6,463,463,100.0,34006
34,7,215,215,100.0,34007
34,8,372,372,100.0,34008
34,9,679,679,100.0,34009
34,10,273,273,100.0,34010
34,11,476,476,100.0,34011
34,12,485,485,100.0,34012
34,13,561,561,100.0,34013
34,14,344,344,100.0,34014
36,16,78,78,100.0,36016
36,21,388,388,100.0,36021
37,1,344,344,100.0,37001
37,3,345,345,100.0,37003
37,4,352,352,100.0,37004
37,5,253,253,100.0,37005
37,6,447,447,100.0,37006
37,7,315,315,100.0,37007
37,8,432,432,100.0,37008
37,9,173,173,100.0,37009
37,11,321,321,100.0,37011
37,12,391,391,100.0,37012
37,13,254,254,100.0,37013
37,14,404,404,100.0,37014
37,15,380,380,100.0,37015
37,17,259,259,100.0,37017
37,18,315,315,100.0,37018
37,19,237,237,100.0,37019
37,20,434,434,100.0,37020
37,21,256,256,100.0,37021
37,22,17,17,100.0,37022
42,14,187,187,100.0,42014
