ward,precinct,total,Viviana Martinez,Viviana Martinez Percent,precinct_id
3,5,5,5,100.0,03005
11,1,0,0,0.0,11001
11,3,194,194,100.0,11003
11,4,265,265,100.0,11004
11,5,267,267,100.0,11005
11,6,365,365,100.0,11006
11,14,580,580,100.0,11014
11,15,454,454,100.0,11015
11,16,533,533,100.0,11016
11,17,216,216,100.0,11017
11,18,346,346,100.0,11018
11,19,119,119,100.0,11019
11,20,309,309,100.0,11020
11,21,477,477,100.0,11021
11,22,214,214,100.0,11022
11,23,352,352,100.0,11023
12,1,216,216,100.0,12001
12,2,158,158,100.0,12002
12,3,287,287,100.0,12003
12,4,245,245,100.0,12004
12,5,230,230,100.0,12005
12,6,214,214,100.0,12006
12,7,234,234,100.0,12007
12,8,204,204,100.0,12008
12,9,108,108,100.0,12009
12,10,245,245,100.0,12010
12,11,187,187,100.0,12011
12,12,151,151,100.0,12012
12,13,173,173,100.0,12013
12,14,209,209,100.0,12014
12,15,225,225,100.0,12015
12,16,253,253,100.0,12016
12,17,213,213,100.0,12017
12,18,257,257,100.0,12018
12,19,129,129,100.0,12019
12,20,193,193,100.0,12020
12,21,180,180,100.0,12021
12,22,187,187,100.0,12022
14,1,65,65,100.0,14001
14,4,77,77,100.0,14004
14,5,288,288,100.0,14005
14,6,356,356,100.0,14006
14,10,330,330,100.0,14010
14,11,370,370,100.0,14011
14,14,200,200,100.0,14014
15,4,161,161,100.0,15004
15,5,179,179,100.0,15005
15,6,227,227,100.0,15006
15,7,163,163,100.0,15007
15,8,190,190,100.0,15008
15,9,217,217,100.0,15009
15,10,153,153,100.0,15010
15,11,183,183,100.0,15011
15,12,234,234,100.0,15012
15,13,163,163,100.0,15013
15,14,183,183,100.0,15014
15,15,183,183,100.0,15015
15,16,284,284,100.0,15016
15,20,206,206,100.0,15020
16,7,181,181,100.0,16007
16,17,372,372,100.0,16017
16,18,337,337,100.0,16018
16,19,247,247,100.0,16019
16,23,173,173,100.0,16023
20,1,195,195,100.0,20001
20,2,104,104,100.0,20002
20,3,105,105,100.0,20003
22,2,105,105,100.0,22002
22,3,219,219,100.0,22003
22,4,132,132,100.0,22004
22,5,346,346,100.0,22005
22,6,175,175,100.0,22006
22,7,201,201,100.0,22007
22,8,221,221,100.0,22008
22,9,215,215,100.0,22009
22,10,274,274,100.0,22010
22,11,318,318,100.0,22011
22,12,198,198,100.0,22012
22,13,248,248,100.0,22013
22,14,213,213,100.0,22014
22,15,129,129,100.0,22015
22,16,166,166,100.0,22016
24,18,376,376,100.0,24018
24,19,859,859,100.0,24019
25,1,294,294,100.0,25001
25,2,197,197,100.0,25002
25,3,256,256,100.0,25003
25,4,334,334,100.0,25004
25,5,452,452,100.0,25005
25,6,443,443,100.0,25006
25,7,420,420,100.0,25007
25,8,426,426,100.0,25008
25,9,442,442,100.0,25009
25,10,493,493,100.0,25010
25,11,451,451,100.0,25011
25,12,399,399,100.0,25012
25,13,123,123,100.0,25013
25,14,575,575,100.0,25014
25,15,417,417,100.0,25015
25,16,541,541,100.0,25016
25,17,247,247,100.0,25017
28,12,0,0,0.0,28012
28,15,53,53,100.0,28015
28,17,0,0,0.0,28017
34,4,333,333,100.0,34004
