ward,precinct,total,Alexi Giannoulias,Alexi Giannoulias Percent,Dan Brady,Dan Brady Percent,Jon Stewart,Jon Stewart Percent,precinct_id
1,1,875,788,90.06,65,7.43,22,2.51,01001
1,2,878,806,91.8,60,6.83,12,1.37,01002
1,3,956,840,87.87,94,9.83,22,2.3,01003
1,4,842,779,92.52,45,5.34,18,2.14,01004
1,5,904,825,91.26,58,6.42,21,2.32,01005
1,6,770,686,89.09,69,8.96,15,1.95,01006
1,7,918,838,91.29,63,6.86,17,1.85,01007
1,8,812,728,89.66,64,7.88,20,2.46,01008
1,9,455,389,85.49,49,10.77,17,3.74,01009
1,10,1086,956,88.03,106,9.76,24,2.21,01010
1,11,834,745,89.33,71,8.51,18,2.16,01011
1,12,406,352,86.7,47,11.58,7,1.72,01012
1,13,600,540,90.0,55,9.17,5,0.83,01013
1,14,564,487,86.35,63,11.17,14,2.48,01014
1,15,913,800,87.62,97,10.62,16,1.75,01015
1,16,924,812,87.88,100,10.82,12,1.3,01016
1,17,580,515,88.79,55,9.48,10,1.72,01017
1,18,815,726,89.08,73,8.96,16,1.96,01018
1,19,759,640,84.32,96,12.65,23,3.03,01019
1,20,746,658,88.2,68,9.12,20,2.68,01020
1,21,740,637,86.08,84,11.35,19,2.57,01021
1,22,1021,882,86.39,114,11.17,25,2.45,01022
1,23,496,431,86.9,54,10.89,11,2.22,01023
1,24,1065,928,87.14,126,11.83,11,1.03,01024
1,25,967,828,85.63,117,12.1,22,2.28,01025
1,26,927,767,82.74,142,15.32,18,1.94,01026
2,1,852,638,74.88,196,23.0,18,2.11,02001
2,2,1065,841,78.97,211,19.81,13,1.22,02002
2,3,653,506,77.49,128,19.6,19,2.91,02003
2,4,705,550,78.01,142,20.14,13,1.84,02004
2,5,719,535,74.41,170,23.64,14,1.95,02005
2,6,1023,797,77.91,215,21.02,11,1.08,02006
2,7,931,676,72.61,238,25.56,17,1.83,02007
2,8,730,536,73.42,178,24.38,16,2.19,02008
2,9,994,734,73.84,238,23.94,22,2.21,02009
2,10,503,356,70.78,130,25.84,17,3.38,02010
2,11,767,607,79.14,149,19.43,11,1.43,02011
2,12,679,510,75.11,156,22.97,13,1.91,02012
2,13,961,715,74.4,229,23.83,17,1.77,02013
2,14,579,450,77.72,114,19.69,15,2.59,02014
2,15,792,576,72.73,201,25.38,15,1.89,02015
2,16,877,668,76.17,194,22.12,15,1.71,02016
2,17,1240,950,76.61,262,21.13,28,2.26,02017
2,18,765,577,75.42,180,23.53,8,1.05,02018
2,19,413,324,78.45,79,19.13,10,2.42,02019
2,20,533,387,72.61,133,24.95,13,2.44,02020
2,21,174,124,71.26,46,26.44,4,2.3,02021
2,22,636,505,79.4,120,18.87,11,1.73,02022
2,23,689,544,78.96,129,18.72,16,2.32,02023
2,24,542,422,77.86,113,20.85,7,1.29,02024
2,25,839,638,76.04,182,21.69,19,2.26,02025
3,1,702,666,94.87,25,3.56,11,1.57,03001
3,2,714,676,94.68,21,2.94,17,2.38,03002
3,3,512,457,89.26,45,8.79,10,1.95,03003
3,4,529,504,95.27,13,2.46,12,2.27,03004
3,5,134,122,91.04,7,5.22,5,3.73,03005
3,6,740,657,88.78,69,9.32,14,1.89,03006
3,7,377,350,92.84,18,4.77,9,2.39,03007
3,8,550,513,93.27,23,4.18,14,2.55,03008
3,9,439,389,88.61,41,9.34,9,2.05,03009
3,10,499,406,81.36,78,15.63,15,3.01,03010
3,11,755,710,94.04,27,3.58,18,2.38,03011
3,12,705,666,94.47,20,2.84,19,2.7,03012
3,13,933,770,82.53,143,15.33,20,2.14,03013
3,14,973,793,81.5,156,16.03,24,2.47,03014
3,15,573,542,94.59,19,3.32,12,2.09,03015
3,16,385,354,91.95,27,7.01,4,1.04,03016
3,17,207,190,91.79,11,5.31,6,2.9,03017
3,18,243,231,95.06,8,3.29,4,1.65,03018
3,19,1032,829,80.33,185,17.93,18,1.74,03019
3,20,656,616,93.9,25,3.81,15,2.29,03020
3,21,635,539,84.88,80,12.6,16,2.52,03021
3,22,523,474,90.63,36,6.88,13,2.49,03022
3,23,349,314,89.97,24,6.88,11,3.15,03023
3,24,137,133,97.08,3,2.19,1,0.73,03024
3,25,1016,806,79.33,192,18.9,18,1.77,03025
3,26,333,303,90.99,22,6.61,8,2.4,03026
3,27,849,674,79.39,155,18.26,20,2.36,03027
4,1,898,838,93.32,53,5.9,7,0.78,04001
4,2,351,326,92.88,17,4.84,8,2.28,04002
4,3,614,578,94.14,27,4.4,9,1.47,04003
4,4,724,682,94.2,27,3.73,15,2.07,04004
4,5,345,323,93.62,9,2.61,13,3.77,04005
4,6,497,455,91.55,24,4.83,18,3.62,04006
4,7,370,342,92.43,22,5.95,6,1.62,04007
4,8,502,481,95.82,10,1.99,11,2.19,04008
4,9,533,505,94.75,17,3.19,11,2.06,04009
4,10,491,465,94.7,16,3.26,10,2.04,04010
4,11,681,640,93.98,23,3.38,18,2.64,04011
4,12,430,395,91.86,25,5.81,10,2.33,04012
4,13,446,407,91.26,21,4.71,18,4.04,04013
4,14,426,401,94.13,20,4.69,5,1.17,04014
4,15,390,367,94.1,11,2.82,12,3.08,04015
4,16,566,538,95.05,13,2.3,15,2.65,04016
4,17,775,729,94.06,29,3.74,17,2.19,04017
4,18,259,243,93.82,10,3.86,6,2.32,04018
4,19,488,456,93.44,20,4.1,12,2.46,04019
4,20,700,660,94.29,25,3.57,15,2.14,04020
4,21,443,417,94.13,21,4.74,5,1.13,04021
4,22,224,205,91.52,8,3.57,11,4.91,04022
4,23,408,376,92.16,28,6.86,4,0.98,04023
4,24,825,773,93.7,35,4.24,17,2.06,04024
4,25,998,848,84.97,125,12.53,25,2.51,04025
4,26,888,749,84.35,121,13.63,18,2.03,04026
4,27,917,810,88.33,83,9.05,24,2.62,04027
4,28,991,868,87.59,95,9.59,28,2.83,04028
5,1,701,657,93.72,26,3.71,18,2.57,05001
5,2,767,721,94.0,31,4.04,15,1.96,05002
5,3,714,672,94.12,24,3.36,18,2.52,05003
5,4,590,552,93.56,25,4.24,13,2.2,05004
5,5,346,333,96.24,11,3.18,2,0.58,05005
5,6,308,285,92.53,18,5.84,5,1.62,05006
5,7,172,156,90.7,10,5.81,6,3.49,05007
5,8,216,202,93.52,8,3.7,6,2.78,05008
5,9,199,191,95.98,4,2.01,4,2.01,05009
5,10,352,325,92.33,17,4.83,10,2.84,05010
5,11,459,437,95.21,10,2.18,12,2.61,05011
5,12,796,753,94.6,37,4.65,6,0.75,05012
