ward,precinct,total,Mike Porfirio,Mike Porfirio Percent,"Thomas """"Mac"""" McGill","Thomas """"Mac"""" McGill Percent",precinct_id
13,1,265,210,79.25,55,20.75,13001
13,2,311,232,74.6,79,25.4,13002
13,3,487,250,51.33,237,48.67,13003
13,4,353,281,79.6,72,20.4,13004
13,5,325,199,61.23,126,38.77,13005
13,6,347,200,57.64,147,42.36,13006
13,7,312,186,59.62,126,40.38,13007
13,8,419,304,72.55,115,27.45,13008
13,9,510,289,56.67,221,43.33,13009
13,10,487,282,57.91,205,42.09,13010
13,11,262,163,62.21,99,37.79,13011
13,12,238,190,79.83,48,20.17,13012
13,13,332,193,58.13,139,41.87,13013
13,14,313,185,59.11,128,40.89,13014
13,15,316,161,50.95,155,49.05,13015
13,16,370,280,75.68,90,24.32,13016
13,17,397,318,80.1,79,19.9,13017
13,18,278,200,71.94,78,28.06,13018
13,19,261,138,52.87,123,47.13,13019
13,20,404,247,61.14,157,38.86,13020
13,21,332,181,54.52,151,45.48,13021
13,22,399,307,76.94,92,23.06,13022
13,23,446,217,48.65,229,51.35,13023
13,24,306,192,62.75,114,37.25,13024
13,25,305,231,75.74,74,24.26,13025
13,26,258,195,75.58,63,24.42,13026
13,27,202,146,72.28,56,27.72,13027
13,28,265,214,80.75,51,19.25,13028
13,29,244,193,79.1,51,20.9,13029
13,30,409,213,52.08,196,47.92,13030
13,31,279,136,48.75,143,51.25,13031
13,32,273,169,61.9,104,38.1,13032
13,33,321,200,62.31,121,37.69,13033
13,34,435,238,54.71,197,45.29,13034
13,35,508,309,60.83,199,39.17,13035
13,36,181,151,83.43,30,16.57,13036
13,37,446,202,45.29,244,54.71,13037
13,38,221,149,67.42,72,32.58,13038
13,39,411,211,51.34,200,48.66,13039
13,40,355,201,56.62,154,43.38,13040
18,26,4,3,75.0,1,25.0,18026
23,1,313,144,46.01,169,53.99,23001
23,2,544,260,47.79,284,52.21,23002
23,3,336,169,50.3,167,49.7,23003
23,4,263,119,45.25,144,54.75,23004
23,5,451,209,46.34,242,53.66,23005
23,6,252,119,47.22,133,52.78,23006
23,8,168,76,45.24,92,54.76,23008
23,10,139,87,62.59,52,37.41,23010
23,12,319,201,63.01,118,36.99,23012
23,14,182,132,72.53,50,27.47,23014
23,15,278,184,66.19,94,33.81,23015
23,16,126,100,79.37,26,20.63,23016
23,17,289,245,84.78,44,15.22,23017
23,18,250,195,78.0,55,22.0,23018
23,19,208,168,80.77,40,19.23,23019
23,20,195,160,82.05,35,17.95,23020
23,21,181,146,80.66,35,19.34,23021
23,22,196,151,77.04,45,22.96,23022
23,23,211,172,81.52,39,18.48,23023
23,24,192,163,84.9,29,15.1,23024
23,25,164,136,82.93,28,17.07,23025
23,26,130,112,86.15,18,13.85,23026
23,27,125,101,80.8,24,19.2,23027
23,28,246,202,82.11,44,17.89,23028
23,29,331,274,82.78,57,17.22,23029
23,30,206,170,82.52,36,17.48,23030
23,31,244,203,83.2,41,16.8,23031
23,32,198,156,78.79,42,21.21,23032
23,33,454,365,80.4,89,19.6,23033
