ward,precinct,total,Cristina Pacione-Zayas,Cristina Pacione-Zayas Percent,"Patrycja """"PR"""" Karlin","Patrycja """"PR"""" Karlin Percent",precinct_id
1,1,864,790,91.44,74,8.56,01001
1,2,866,792,91.45,74,8.55,01002
1,3,949,850,89.57,99,10.43,01003
1,4,835,792,94.85,43,5.15,01004
1,5,887,826,93.12,61,6.88,01005
1,6,762,688,90.29,74,9.71,01006
1,7,904,838,92.7,66,7.3,01007
1,9,439,379,86.33,60,13.67,01009
26,3,258,240,93.02,18,6.98,26003
30,2,57,46,80.7,11,19.3,30002
30,3,55,48,87.27,7,12.73,30003
30,7,337,272,80.71,65,19.29,30007
30,8,594,511,86.03,83,13.97,30008
30,9,518,374,72.2,144,27.8,30009
30,12,123,85,69.11,38,30.89,30012
30,14,421,297,70.55,124,29.45,30014
30,15,302,258,85.43,44,14.57,30015
30,17,513,416,81.09,97,18.91,30017
30,18,445,377,84.72,68,15.28,30018
30,19,276,219,79.35,57,20.65,30019
30,20,331,262,79.15,69,20.85,30020
30,24,508,398,78.35,110,21.65,30024
30,26,597,512,85.76,85,14.24,30026
31,1,352,301,85.51,51,14.49,31001
31,2,548,466,85.04,82,14.96,31002
31,3,263,195,74.14,68,25.86,31003
31,4,369,335,90.79,34,9.21,31004
31,5,361,303,83.93,58,16.07,31005
31,6,282,237,84.04,45,15.96,31006
31,7,339,277,81.71,62,18.29,31007
31,8,458,371,81.0,87,19.0,31008
31,9,311,237,76.21,74,23.79,31009
31,10,486,412,84.77,74,15.23,31010
31,11,463,340,73.43,123,26.57,31011
31,12,552,441,79.89,111,20.11,31012
31,13,378,317,83.86,61,16.14,31013
31,14,403,328,81.39,75,18.61,31014
31,15,189,138,73.02,51,26.98,31015
31,16,229,172,75.11,57,24.89,31016
31,17,333,258,77.48,75,22.52,31017
31,18,291,228,78.35,63,21.65,31018
31,19,340,275,80.88,65,19.12,31019
31,20,169,130,76.92,39,23.08,31020
31,21,347,285,82.13,62,17.87,31021
32,2,380,331,87.11,49,12.89,32002
32,10,969,789,81.42,180,18.58,32010
32,11,618,496,80.26,122,19.74,32011
32,12,348,273,78.45,75,21.55,32012
32,13,241,167,69.29,74,30.71,32013
32,16,508,407,80.12,101,19.88,32016
32,17,980,769,78.47,211,21.53,32017
32,18,394,342,86.8,52,13.2,32018
32,19,440,376,85.45,64,14.55,32019
32,21,943,831,88.12,112,11.88,32021
32,22,950,828,87.16,122,12.84,32022
32,23,604,515,85.26,89,14.74,32023
32,24,345,269,77.97,76,22.03,32024
32,28,286,239,83.57,47,16.43,32028
32,29,377,327,86.74,50,13.26,32029
33,1,956,830,86.82,126,13.18,33001
33,2,1019,927,90.97,92,9.03,33002
33,3,727,636,87.48,91,12.52,33003
33,4,985,844,85.69,141,14.31,33004
33,5,805,684,84.97,121,15.03,33005
33,6,846,748,88.42,98,11.58,33006
33,7,808,707,87.5,101,12.5,33007
33,8,508,448,88.19,60,11.81,33008
33,9,576,494,85.76,82,14.24,33009
33,10,597,537,89.95,60,10.05,33010
33,11,474,420,88.61,54,11.39,33011
33,12,731,660,90.29,71,9.71,33012
33,13,578,508,87.89,70,12.11,33013
33,14,855,784,91.7,71,8.3,33014
33,15,650,586,90.15,64,9.85,33015
33,16,358,332,92.74,26,7.26,33016
33,17,775,690,89.03,85,10.97,33017
35,6,1182,1107,93.65,75,6.35,35006
35,9,974,901,92.51,73,7.49,35009
35,10,587,549,93.53,38,6.47,35010
35,11,778,718,92.29,60,7.71,35011
35,12,1018,925,90.86,93,9.14,35012
35,13,640,581,90.78,59,9.22,35013
35,14,551,511,92.74,40,7.26,35014
35,15,811,713,87.92,98,12.08,35015
35,16,1023,919,89.83,104,10.17,35016
35,17,667,587,88.01,80,11.99,35017
35,18,427,377,88.29,50,11.71,35018
35,19,629,534,84.9,95,15.1,35019
35,20,384,325,84.64,59,15.36,35020
35,21,614,504,82.08,110,17.92,35021
35,22,830,683,82.29,147,17.71,35022
39,10,162,146,90.12,16,9.88,39010
39,24,30,24,80.0,6,20.0,39024
39,25,196,171,87.24,25,12.76,39025
45,28,189,142,75.13,47,24.87,45028
45,29,208,194,93.27,14,6.73,45029
47,28,301,251,83.39,50,16.61,47028
