ward,precinct,total,Don Harmon,Don Harmon Percent,precinct_id
29,3,105,105,100.0,29003
29,4,351,351,100.0,29004
29,5,393,393,100.0,29005
29,6,269,269,100.0,29006
29,7,618,618,100.0,29007
29,8,858,858,100.0,29008
29,9,360,360,100.0,29009
29,10,495,495,100.0,29010
29,11,417,417,100.0,29011
29,12,557,557,100.0,29012
29,13,550,550,100.0,29013
29,14,474,474,100.0,29014
29,15,442,442,100.0,29015
29,16,503,503,100.0,29016
29,17,339,339,100.0,29017
36,8,151,151,100.0,36008
37,4,404,404,100.0,37004
37,9,193,193,100.0,37009
37,18,367,367,100.0,37018
