ward,precinct,total,Lilian Jimenez,Lilian Jimenez Percent,JD Sloat,JD Sloat Percent,precinct_id
1,13,586,534,91.13,52,8.87,01013
1,16,907,807,88.97,100,11.03,01016
1,22,919,814,88.57,105,11.43,01022
1,24,1034,906,87.62,128,12.38,01024
26,1,220,187,85.0,33,15.0,26001
26,2,301,276,91.69,25,8.31,26002
26,4,310,248,80.0,62,20.0,26004
26,5,406,364,89.66,42,10.34,26005
26,6,270,219,81.11,51,18.89,26006
26,8,290,261,90.0,29,10.0,26008
26,9,264,218,82.58,46,17.42,26009
26,10,311,276,88.75,35,11.25,26010
26,12,127,114,89.76,13,10.24,26012
26,14,196,173,88.27,23,11.73,26014
26,15,223,195,87.44,28,12.56,26015
26,16,487,444,91.17,43,8.83,26016
26,20,544,510,93.75,34,6.25,26020
26,21,168,143,85.12,25,14.88,26021
26,22,211,166,78.67,45,21.33,26022
26,24,157,135,85.99,22,14.01,26024
26,25,449,413,91.98,36,8.02,26025
26,26,525,482,91.81,43,8.19,26026
26,27,537,491,91.43,46,8.57,26027
26,29,490,432,88.16,58,11.84,26029
26,31,291,257,88.32,34,11.68,26031
27,5,223,208,93.27,15,6.73,27005
27,19,183,164,89.62,19,10.38,27019
27,24,179,173,96.65,6,3.35,27024
27,25,0,0,0.0,0,0.0,27025
27,27,33,26,78.79,7,21.21,27027
29,6,75,67,89.33,8,10.67,29006
35,1,214,180,84.11,34,15.89,35001
36,9,457,382,83.59,75,16.41,36009
36,10,277,227,81.95,50,18.05,36010
36,11,162,142,87.65,20,12.35,36011
36,12,119,101,84.87,18,15.13,36012
36,13,110,85,77.27,25,22.73,36013
36,14,335,287,85.67,48,14.33,36014
36,15,162,143,88.27,19,11.73,36015
36,16,124,109,87.9,15,12.1,36016
36,17,476,431,90.55,45,9.45,36017
36,18,533,486,91.18,47,8.82,36018
36,19,717,650,90.66,67,9.34,36019
36,20,794,703,88.54,91,11.46,36020
36,21,561,435,77.54,126,22.46,36021
36,22,698,616,88.25,82,11.75,36022
36,23,618,518,83.82,100,16.18,36023
36,24,651,565,86.79,86,13.21,36024
36,25,726,628,86.5,98,13.5,36025
36,26,682,600,87.98,82,12.02,36026
36,27,760,665,87.5,95,12.5,36027
37,2,355,331,93.24,24,6.76,37002
37,7,386,356,92.23,30,7.77,37007
37,16,20,20,100.0,0,0.0,37016
37,19,299,278,92.98,21,7.02,37019
37,21,322,302,93.79,20,6.21,37021
37,22,186,168,90.32,18,9.68,37022
