ward,precinct,total,Curtis J. Tarver II,Curtis J. Tarver II Percent,precinct_id
4,1,814,814,100.0,04001
4,3,563,563,100.0,04003
4,6,446,446,100.0,04006
4,7,336,336,100.0,04007
4,8,466,466,100.0,04008
4,10,458,458,100.0,04010
4,11,640,640,100.0,04011
4,12,392,392,100.0,04012
4,14,44,44,100.0,04014
5,1,216,216,100.0,05001
5,2,706,706,100.0,05002
5,3,629,629,100.0,05003
5,4,506,506,100.0,05004
5,5,310,310,100.0,05005
5,7,156,156,100.0,05007
5,10,29,29,100.0,05010
5,12,704,704,100.0,05012
5,14,328,328,100.0,05014
5,15,1002,1002,100.0,05015
5,16,600,600,100.0,05016
5,17,459,459,100.0,05017
5,18,917,917,100.0,05018
5,19,411,411,100.0,05019
5,20,668,668,100.0,05020
5,21,590,590,100.0,05021
5,22,689,689,100.0,05022
5,23,375,375,100.0,05023
5,24,266,266,100.0,05024
5,25,957,957,100.0,05025
7,2,24,24,100.0,07002
7,3,354,354,100.0,07003
7,4,478,478,100.0,07004
7,5,588,588,100.0,07005
7,6,165,165,100.0,07006
7,7,393,393,100.0,07007
7,8,236,236,100.0,07008
7,9,388,388,100.0,07009
7,14,369,369,100.0,07014
7,16,176,176,100.0,07016
7,17,140,140,100.0,07017
7,18,89,89,100.0,07018
7,19,688,688,100.0,07019
7,20,352,352,100.0,07020
7,21,281,281,100.0,07021
7,22,341,341,100.0,07022
7,23,232,232,100.0,07023
7,24,63,63,100.0,07024
10,1,66,66,100.0,10001
10,2,170,170,100.0,10002
10,3,258,258,100.0,10003
10,4,322,322,100.0,10004
10,5,109,109,100.0,10005
10,6,14,14,100.0,10006
10,7,27,27,100.0,10007
10,10,296,296,100.0,10010
10,11,107,107,100.0,10011
10,13,323,323,100.0,10013
10,14,409,409,100.0,10014
10,15,327,327,100.0,10015
10,16,433,433,100.0,10016
10,17,368,368,100.0,10017
20,13,529,529,100.0,20013
