ward,precinct,total,Dennis Deer,Dennis Deer Percent,Evan Kasal,Evan Kasal Percent,precinct_id
1,24,1002,867,86.53,135,13.47,01024
1,25,904,772,85.4,132,14.6,01025
1,26,853,711,83.35,142,16.65,01026
3,3,483,435,90.06,48,9.94,03003
3,5,128,118,92.19,10,7.81,03005
3,6,694,619,89.19,75,10.81,03006
3,7,108,103,95.37,5,4.63,03007
3,8,513,494,96.3,19,3.7,03008
3,9,423,380,89.83,43,10.17,03009
3,10,466,375,80.47,91,19.53,03010
3,13,877,712,81.19,165,18.81,03013
3,14,922,756,82.0,166,18.0,03014
3,16,358,327,91.34,31,8.66,03016
3,17,143,136,95.1,7,4.9,03017
3,18,224,213,95.09,11,4.91,03018
3,19,293,241,82.25,52,17.75,03019
3,21,604,530,87.75,74,12.25,03021
3,22,485,445,91.75,40,8.25,03022
3,24,127,122,96.06,5,3.94,03024
3,25,952,738,77.52,214,22.48,03025
3,27,461,363,78.74,98,21.26,03027
6,1,213,205,96.24,8,3.76,06001
6,2,265,257,96.98,8,3.02,06002
6,3,79,77,97.47,2,2.53,06003
6,4,193,190,98.45,3,1.55,06004
6,5,347,329,94.81,18,5.19,06005
6,6,324,311,95.99,13,4.01,06006
6,8,316,303,95.89,13,4.11,06008
6,11,194,185,95.36,9,4.64,06011
11,1,185,144,77.84,41,22.16,11001
11,7,260,191,73.46,69,26.54,11007
15,17,403,383,95.04,20,4.96,15017
15,18,291,279,95.88,12,4.12,15018
15,19,174,162,93.1,12,6.9,15019
16,1,345,319,92.46,26,7.54,16001
16,2,93,88,94.62,5,5.38,16002
16,3,283,276,97.53,7,2.47,16003
16,4,179,176,98.32,3,1.68,16004
16,5,378,371,98.15,7,1.85,16005
16,6,372,360,96.77,12,3.23,16006
16,7,20,20,100.0,0,0.0,16007
16,8,67,58,86.57,9,13.43,16008
16,9,346,332,95.95,14,4.05,16009
16,10,299,289,96.66,10,3.34,16010
16,11,239,225,94.14,14,5.86,16011
16,12,61,58,95.08,3,4.92,16012
16,13,149,144,96.64,5,3.36,16013
16,14,398,372,93.47,26,6.53,16014
16,15,320,303,94.69,17,5.31,16015
16,16,239,226,94.56,13,5.44,16016
16,17,427,403,94.38,24,5.62,16017
16,18,401,376,93.77,25,6.23,16018
16,20,313,304,97.12,9,2.88,16020
16,21,229,220,96.07,9,3.93,16021
16,22,321,294,91.59,27,8.41,16022
16,24,257,245,95.33,12,4.67,16024
16,25,131,119,90.84,12,9.16,16025
17,2,255,230,90.2,25,9.8,17002
17,3,296,284,95.95,12,4.05,17003
17,4,312,300,96.15,12,3.85,17004
17,5,193,189,97.93,4,2.07,17005
17,6,294,288,97.96,6,2.04,17006
17,7,170,164,96.47,6,3.53,17007
17,8,235,225,95.74,10,4.26,17008
17,9,226,217,96.02,9,3.98,17009
17,11,280,272,97.14,8,2.86,17011
17,12,177,169,95.48,8,4.52,17012
17,13,192,191,99.48,1,0.52,17013
17,14,197,184,93.4,13,6.6,17014
18,11,404,393,97.28,11,2.72,18011
18,14,348,329,94.54,19,5.46,18014
18,16,500,477,95.4,23,4.6,18016
20,4,87,80,91.95,7,8.05,20004
20,5,237,223,94.09,14,5.91,20005
20,6,157,148,94.27,9,5.73,20006
20,7,209,203,97.13,6,2.87,20007
20,8,252,237,94.05,15,5.95,20008
20,9,490,472,96.33,18,3.67,20009
20,10,509,492,96.66,17,3.34,20010
20,11,416,399,95.91,17,4.09,20011
20,12,88,86,97.73,2,2.27,20012
20,23,217,201,92.63,16,7.37,20023
22,1,197,189,95.94,8,4.06,22001
22,2,97,90,92.78,7,7.22,22002
24,1,90,85,94.44,5,5.56,24001
24,2,199,195,97.99,4,2.01,24002
24,3,416,401,96.39,15,3.61,24003
24,4,357,330,92.44,27,7.56,24004
24,5,588,573,97.45,15,2.55,24005
24,6,364,351,96.43,13,3.57,24006
24,7,183,180,98.36,3,1.64,24007
24,8,243,235,96.71,8,3.29,24008
24,9,449,426,94.88,23,5.12,24009
24,10,321,312,97.2,9,2.8,24010
24,11,421,402,95.49,19,4.51,24011
24,12,472,458,97.03,14,2.97,24012
24,13,438,420,95.89,18,4.11,24013
24,14,339,330,97.35,9,2.65,24014
