ward,precinct,total,Daniel R. Degnan,Daniel R. Degnan Percent,precinct_id
13,1,210,210,100.0,13001
13,2,183,183,100.0,13002
13,3,173,173,100.0,13003
13,4,255,255,100.0,13004
13,5,277,277,100.0,13005
13,6,212,212,100.0,13006
13,7,200,200,100.0,13007
13,8,189,189,100.0,13008
13,9,268,268,100.0,13009
13,10,200,200,100.0,13010
13,11,243,243,100.0,13011
13,12,205,205,100.0,13012
13,13,270,270,100.0,13013
13,14,232,232,100.0,13014
13,15,357,357,100.0,13015
13,16,204,204,100.0,13016
13,17,219,219,100.0,13017
13,18,195,195,100.0,13018
13,19,277,277,100.0,13019
13,20,132,132,100.0,13020
13,21,261,261,100.0,13021
13,22,243,243,100.0,13022
13,23,204,204,100.0,13023
13,24,213,213,100.0,13024
13,25,212,212,100.0,13025
13,26,194,194,100.0,13026
13,27,235,235,100.0,13027
13,28,191,191,100.0,13028
13,29,207,207,100.0,13029
13,30,158,158,100.0,13030
13,31,232,232,100.0,13031
13,32,190,190,100.0,13032
13,33,176,176,100.0,13033
13,34,254,254,100.0,13034
13,35,207,207,100.0,13035
13,36,170,170,100.0,13036
13,37,253,253,100.0,13037
13,38,185,185,100.0,13038
13,39,257,257,100.0,13039
13,40,200,200,100.0,13040
13,41,253,253,100.0,13041
13,42,219,219,100.0,13042
13,43,249,249,100.0,13043
13,44,263,263,100.0,13044
13,45,251,251,100.0,13045
13,46,270,270,100.0,13046
13,47,262,262,100.0,13047
13,48,165,165,100.0,13048
14,1,294,294,100.0,14001
14,2,350,350,100.0,14002
14,3,231,231,100.0,14003
14,4,254,254,100.0,14004
14,7,299,299,100.0,14007
14,8,261,261,100.0,14008
14,9,277,277,100.0,14009
14,12,241,241,100.0,14012
14,13,188,188,100.0,14013
14,18,95,95,100.0,14018
14,22,275,275,100.0,14022
14,23,190,190,100.0,14023
14,24,300,300,100.0,14024
14,27,258,258,100.0,14027
14,28,199,199,100.0,14028
15,22,140,140,100.0,15022
16,29,64,64,100.0,16029
17,1,262,262,100.0,17001
17,3,375,375,100.0,17003
17,8,286,286,100.0,17008
17,11,269,269,100.0,17011
17,12,50,50,100.0,17012
17,14,79,79,100.0,17014
17,17,284,284,100.0,17017
17,19,133,133,100.0,17019
17,25,36,36,100.0,17025
17,30,245,245,100.0,17030
17,31,280,280,100.0,17031
17,32,300,300,100.0,17032
17,33,266,266,100.0,17033
17,34,274,274,100.0,17034
17,35,41,41,100.0,17035
17,36,254,254,100.0,17036
17,37,283,283,100.0,17037
18,1,264,264,100.0,18001
18,2,267,267,100.0,18002
18,3,217,217,100.0,18003
18,4,323,323,100.0,18004
18,5,215,215,100.0,18005
18,6,245,245,100.0,18006
18,7,310,310,100.0,18007
18,8,321,321,100.0,18008
18,9,289,289,100.0,18009
18,10,395,395,100.0,18010
18,11,247,247,100.0,18011
18,12,308,308,100.0,18012
18,13,338,338,100.0,18013
18,14,310,310,100.0,18014
18,15,272,272,100.0,18015
18,16,315,315,100.0,18016
18,17,290,290,100.0,18017
18,18,270,270,100.0,18018
18,19,309,309,100.0,18019
18,21,382,382,100.0,18021
18,22,370,370,100.0,18022
18,23,309,309,100.0,18023
18,24,233,233,100.0,18024
18,25,277,277,100.0,18025
18,26,354,354,100.0,18026
18,27,263,263,100.0,18027
18,28,239,239,100.0,18028
18,29,313,313,100.0,18029
18,30,257,257,100.0,18030
18,31,327,327,100.0,18031
18,32,377,377,100.0,18032
18,33,284,284,100.0,18033
18,34,368,368,100.0,18034
18,35,345,345,100.0,18035
18,36,274,274,100.0,18036
18,37,323,323,100.0,18037
18,39,252,252,100.0,18039
18,40,331,331,100.0,18040
18,41,366,366,100.0,18041
18,42,286,286,100.0,18042
