ward,precinct,total,Celia Louise Gamrath,Celia Louise Gamrath Percent,precinct_id
2,2,246,246,100.0,02002
2,9,300,300,100.0,02009
2,10,270,270,100.0,02010
2,11,262,262,100.0,02011
2,12,316,316,100.0,02012
2,13,303,303,100.0,02013
2,18,272,272,100.0,02018
2,19,228,228,100.0,02019
2,20,325,325,100.0,02020
2,22,315,315,100.0,02022
2,23,208,208,100.0,02023
2,24,290,290,100.0,02024
2,26,281,281,100.0,02026
2,27,292,292,100.0,02027
2,28,369,369,100.0,02028
2,29,327,327,100.0,02029
2,30,286,286,100.0,02030
2,31,403,403,100.0,02031
2,32,282,282,100.0,02032
2,33,481,481,100.0,02033
2,34,247,247,100.0,02034
2,35,337,337,100.0,02035
2,36,242,242,100.0,02036
2,37,314,314,100.0,02037
2,38,279,279,100.0,02038
2,39,188,188,100.0,02039
2,40,414,414,100.0,02040
2,41,292,292,100.0,02041
2,42,372,372,100.0,02042
2,43,374,374,100.0,02043
2,44,206,206,100.0,02044
2,45,372,372,100.0,02045
2,46,199,199,100.0,02046
3,3,390,390,100.0,03003
3,6,398,398,100.0,03006
3,13,418,418,100.0,03013
3,14,362,362,100.0,03014
3,17,346,346,100.0,03017
3,18,60,60,100.0,03018
3,19,344,344,100.0,03019
3,21,393,393,100.0,03021
3,22,407,407,100.0,03022
3,25,426,426,100.0,03025
3,26,380,380,100.0,03026
3,27,325,325,100.0,03027
3,32,385,385,100.0,03032
3,33,426,426,100.0,03033
3,34,425,425,100.0,03034
3,39,377,377,100.0,03039
3,40,378,378,100.0,03040
4,2,420,420,100.0,04002
4,6,126,126,100.0,04006
4,13,328,328,100.0,04013
4,16,418,418,100.0,04016
4,17,421,421,100.0,04017
4,20,360,360,100.0,04020
4,21,474,474,100.0,04021
4,25,370,370,100.0,04025
4,37,383,383,100.0,04037
11,10,71,71,100.0,11010
11,14,131,131,100.0,11014
11,30,125,125,100.0,11030
21,27,0,0,0.0,21027
25,6,88,88,100.0,25006
25,14,134,134,100.0,25014
25,18,142,142,100.0,25018
25,21,529,529,100.0,25021
25,27,102,102,100.0,25027
27,6,376,376,100.0,27006
27,9,321,321,100.0,27009
27,11,83,83,100.0,27011
27,12,285,285,100.0,27012
27,20,426,426,100.0,27020
27,21,370,370,100.0,27021
27,28,289,289,100.0,27028
27,35,236,236,100.0,27035
27,37,285,285,100.0,27037
27,38,291,291,100.0,27038
27,42,285,285,100.0,27042
32,7,370,370,100.0,32007
