ward,precinct,total,Casey Thomas Griffin,Casey Thomas Griffin Percent,Dan Patlak,Dan Patlak Percent,precinct_id
19,1,396,229,57.83,167,42.17,19001
19,2,466,374,80.26,92,19.74,19002
19,3,346,135,39.02,211,60.98,19003
19,4,488,233,47.75,255,52.25,19004
19,6,201,97,48.26,104,51.74,19006
19,8,460,204,44.35,256,55.65,19008
19,9,277,138,49.82,139,50.18,19009
19,11,429,179,41.72,250,58.28,19011
19,12,377,170,45.09,207,54.91,19012
19,15,373,174,46.65,199,53.35,19015
19,16,462,237,51.3,225,48.7,19016
19,19,351,236,67.24,115,32.76,19019
19,21,377,175,46.42,202,53.58,19021
19,22,460,295,64.13,165,35.87,19022
19,24,326,149,45.71,177,54.29,19024
19,29,99,50,50.51,49,49.49,19029
19,30,445,219,49.21,226,50.79,19030
19,33,455,226,49.67,229,50.33,19033
19,39,228,218,95.61,10,4.39,19039
19,41,444,250,56.31,194,43.69,19041
19,44,498,247,49.6,251,50.4,19044
19,45,405,225,55.56,180,44.44,19045
19,47,607,505,83.2,102,16.8,19047
19,51,491,300,61.1,191,38.9,19051
19,53,405,249,61.48,156,38.52,19053
19,54,377,178,47.21,199,52.79,19054
19,55,150,77,51.33,73,48.67,19055
19,58,408,197,48.28,211,51.72,19058
41,3,368,203,55.16,165,44.84,41003
41,5,424,223,52.59,201,47.41,41005
41,7,469,218,46.48,251,53.52,41007
41,8,465,215,46.24,250,53.76,41008
41,11,474,230,48.52,244,51.48,41011
41,13,428,195,45.56,233,54.44,41013
41,15,444,184,41.44,260,58.56,41015
41,16,389,199,51.16,190,48.84,41016
41,17,477,233,48.85,244,51.15,41017
41,18,428,208,48.6,220,51.4,41018
41,20,362,185,51.1,177,48.9,41020
41,21,443,235,53.05,208,46.95,41021
41,22,482,215,44.61,267,55.39,41022
41,23,414,242,58.45,172,41.55,41023
41,25,332,211,63.55,121,36.45,41025
41,26,430,199,46.28,231,53.72,41026
41,27,185,105,56.76,80,43.24,41027
41,28,517,352,68.09,165,31.91,41028
41,29,519,248,47.78,271,52.22,41029
41,30,460,257,55.87,203,44.13,41030
41,31,453,216,47.68,237,52.32,41031
41,33,416,190,45.67,226,54.33,41033
41,34,399,180,45.11,219,54.89,41034
41,35,407,173,42.51,234,57.49,41035
41,36,446,219,49.1,227,50.9,41036
41,37,495,228,46.06,267,53.94,41037
41,38,433,237,54.73,196,45.27,41038
41,41,442,201,45.48,241,54.52,41041
41,43,415,194,46.75,221,53.25,41043
41,45,397,227,57.18,170,42.82,41045
41,46,464,218,46.98,246,53.02,41046
45,25,18,12,66.67,6,33.33,45025
45,26,137,94,68.61,43,31.39,45026
45,27,107,54,50.47,53,49.53,45027
45,28,429,224,52.21,205,47.79,45028
45,29,415,231,55.66,184,44.34,45029
