ward,precinct,total,"Jesse L. Jackson, Jr.","Jesse L. Jackson, Jr. Percent",Deborah ''Debbie'' Halvorson,Deborah ''Debbie'' Halvorson Percent,precinct_id
5,1,166,144,86.75,22,13.25,05001
5,4,106,99,93.4,7,6.6,05004
5,6,177,148,83.62,29,16.38,05006
5,7,177,153,86.44,24,13.56,05007
5,11,286,186,65.03,100,34.97,05011
5,14,240,197,82.08,43,17.92,05014
5,21,191,160,83.77,31,16.23,05021
5,24,159,92,57.86,67,42.14,05024
5,26,165,135,81.82,30,18.18,05026
5,28,190,159,83.68,31,16.32,05028
5,29,131,112,85.5,19,14.5,05029
5,31,110,92,83.64,18,16.36,05031
5,32,294,247,84.01,47,15.99,05032
5,34,140,115,82.14,25,17.86,05034
5,36,251,218,86.85,33,13.15,05036
5,37,304,198,65.13,106,34.87,05037
5,40,123,105,85.37,18,14.63,05040
5,43,165,138,83.64,27,16.36,05043
5,44,142,117,82.39,25,17.61,05044
5,46,143,86,60.14,57,39.86,05046
5,47,104,80,76.92,24,23.08,05047
7,1,275,244,88.73,31,11.27,07001
7,2,154,133,86.36,21,13.64,07002
7,3,164,136,82.93,28,17.07,07003
7,4,90,67,74.44,23,25.56,07004
7,5,78,58,74.36,20,25.64,07005
7,6,114,104,91.23,10,8.77,07006
7,7,86,72,83.72,14,16.28,07007
7,8,32,26,81.25,6,18.75,07008
7,9,258,221,85.66,37,14.34,07009
7,10,194,166,85.57,28,14.43,07010
7,11,155,129,83.23,26,16.77,07011
7,12,155,128,82.58,27,17.42,07012
7,13,231,195,84.42,36,15.58,07013
7,14,149,122,81.88,27,18.12,07014
7,15,133,122,91.73,11,8.27,07015
7,16,152,131,86.18,21,13.82,07016
7,17,70,61,87.14,9,12.86,07017
7,18,180,140,77.78,40,22.22,07018
7,19,191,164,85.86,27,14.14,07019
7,20,42,37,88.1,5,11.9,07020
7,21,103,89,86.41,14,13.59,07021
7,22,76,70,92.11,6,7.89,07022
7,23,111,86,77.48,25,22.52,07023
7,24,240,208,86.67,32,13.33,07024
7,25,248,226,91.13,22,8.87,07025
7,26,145,118,81.38,27,18.62,07026
7,27,236,208,88.14,28,11.86,07027
7,28,117,92,78.63,25,21.37,07028
7,29,99,88,88.89,11,11.11,07029
7,30,160,140,87.5,20,12.5,07030
7,31,147,121,82.31,26,17.69,07031
7,32,72,58,80.56,14,19.44,07032
7,33,128,99,77.34,29,22.66,07033
7,34,45,34,75.56,11,24.44,07034
7,35,182,155,85.16,27,14.84,07035
7,36,121,94,77.69,27,22.31,07036
7,37,179,149,83.24,30,16.76,07037
7,38,204,174,85.29,30,14.71,07038
7,39,311,273,87.78,38,12.22,07039
7,40,183,161,87.98,22,12.02,07040
7,41,104,94,90.38,10,9.62,07041
7,42,191,156,81.68,35,18.32,07042
7,43,139,123,88.49,16,11.51,07043
7,44,210,174,82.86,36,17.14,07044
