ward,precinct,total,Marlow H. Colvin,Marlow H. Colvin Percent,precinct_id
7,2,132,132,100.0,07002
7,4,70,70,100.0,07004
7,21,85,85,100.0,07021
7,22,61,61,100.0,07022
7,24,184,184,100.0,07024
7,25,179,179,100.0,07025
7,26,119,119,100.0,07026
7,36,96,96,100.0,07036
7,37,151,151,100.0,07037
7,38,160,160,100.0,07038
7,39,264,264,100.0,07039
7,43,100,100,100.0,07043
7,48,94,94,100.0,07048
8,1,151,151,100.0,08001
8,2,62,62,100.0,08002
8,3,201,201,100.0,08003
8,4,285,285,100.0,08004
8,5,303,303,100.0,08005
8,6,148,148,100.0,08006
8,7,104,104,100.0,08007
8,8,166,166,100.0,08008
8,9,196,196,100.0,08009
8,10,196,196,100.0,08010
8,11,119,119,100.0,08011
8,12,97,97,100.0,08012
8,14,80,80,100.0,08014
8,15,98,98,100.0,08015
8,16,163,163,100.0,08016
8,18,56,56,100.0,08018
8,19,175,175,100.0,08019
8,24,142,142,100.0,08024
8,25,120,120,100.0,08025
8,27,154,154,100.0,08027
8,29,124,124,100.0,08029
8,30,91,91,100.0,08030
8,31,81,81,100.0,08031
8,33,155,155,100.0,08033
8,35,173,173,100.0,08035
8,36,137,137,100.0,08036
8,37,119,119,100.0,08037
8,38,103,103,100.0,08038
8,40,95,95,100.0,08040
8,41,100,100,100.0,08041
8,42,146,146,100.0,08042
8,44,100,100,100.0,08044
8,45,74,74,100.0,08045
8,46,124,124,100.0,08046
8,48,110,110,100.0,08048
8,49,165,165,100.0,08049
8,50,122,122,100.0,08050
8,51,167,167,100.0,08051
8,52,142,142,100.0,08052
8,53,139,139,100.0,08053
8,54,128,128,100.0,08054
8,55,74,74,100.0,08055
8,56,114,114,100.0,08056
8,58,149,149,100.0,08058
8,61,104,104,100.0,08061
8,63,157,157,100.0,08063
8,64,102,102,100.0,08064
10,2,42,42,100.0,10002
10,3,67,67,100.0,10003
10,5,60,60,100.0,10005
10,6,107,107,100.0,10006
10,8,52,52,100.0,10008
10,9,47,47,100.0,10009
10,13,0,0,0.0,10013
10,15,18,18,100.0,10015
10,16,53,53,100.0,10016
10,17,54,54,100.0,10017
10,21,48,48,100.0,10021
10,24,58,58,100.0,10024
10,28,76,76,100.0,10028
10,29,79,79,100.0,10029
10,36,62,62,100.0,10036
10,40,59,59,100.0,10040
10,42,54,54,100.0,10042
10,46,6,6,100.0,10046
