ward,precinct,total,Dorothy A. Brown,Dorothy A. Brown Percent,Ricardo Mu̱oz,Ricardo Mu̱oz Percent,precinct_id
1,1,101,35,34.65,66,65.35,01001
1,2,53,17,32.08,36,67.92,01002
1,3,42,11,26.19,31,73.81,01003
1,4,62,30,48.39,32,51.61,01004
1,5,51,27,52.94,24,47.06,01005
1,6,62,26,41.94,36,58.06,01006
1,7,32,12,37.5,20,62.5,01007
1,8,64,38,59.38,26,40.63,01008
1,9,93,41,44.09,52,55.91,01009
1,10,62,29,46.77,33,53.23,01010
1,11,49,20,40.82,29,59.18,01011
1,12,71,32,45.07,39,54.93,01012
1,13,141,55,39.01,86,60.99,01013
1,14,87,53,60.92,34,39.08,01014
1,15,63,24,38.1,39,61.9,01015
1,16,86,54,62.79,32,37.21,01016
1,17,24,6,25.0,18,75.0,01017
1,18,61,21,34.43,40,65.57,01018
1,19,55,20,36.36,35,63.64,01019
1,20,132,64,48.48,68,51.52,01020
1,21,69,38,55.07,31,44.93,01021
1,22,53,26,49.06,27,50.94,01022
1,23,66,33,50.0,33,50.0,01023
1,24,164,67,40.85,97,59.15,01024
1,25,51,23,45.1,28,54.9,01025
1,26,32,12,37.5,20,62.5,01026
1,27,35,6,17.14,29,82.86,01027
1,28,24,10,41.67,14,58.33,01028
1,29,65,27,41.54,38,58.46,01029
1,30,146,59,40.41,87,59.59,01030
1,31,46,23,50.0,23,50.0,01031
1,32,80,21,26.25,59,73.75,01032
1,33,72,28,38.89,44,61.11,01033
1,34,31,12,38.71,19,61.29,01034
1,35,45,24,53.33,21,46.67,01035
1,36,47,24,51.06,23,48.94,01036
1,37,74,28,37.84,46,62.16,01037
1,38,38,17,44.74,21,55.26,01038
1,39,75,28,37.33,47,62.67,01039
1,40,35,16,45.71,19,54.29,01040
1,41,51,21,41.18,30,58.82,01041
1,42,43,24,55.81,19,44.19,01042
1,43,84,41,48.81,43,51.19,01043
1,44,32,17,53.13,15,46.88,01044
1,45,69,28,40.58,41,59.42,01045
1,46,78,37,47.44,41,52.56,01046
1,47,56,26,46.43,30,53.57,01047
1,48,63,29,46.03,34,53.97,01048
2,1,139,84,60.43,55,39.57,02001
2,2,18,15,83.33,3,16.67,02002
2,3,96,77,80.21,19,19.79,02003
2,4,99,93,93.94,6,6.06,02004
2,5,106,100,94.34,6,5.66,02005
2,6,73,36,49.32,37,50.68,02006
2,7,182,164,90.11,18,9.89,02007
2,8,144,81,56.25,63,43.75,02008
2,9,96,76,79.17,20,20.83,02009
2,10,103,91,88.35,12,11.65,02010
2,11,174,79,45.4,95,54.6,02011
