ward,precinct,total,Casey Thomas Griffin,Casey Thomas Griffin Percent,precinct_id
19,1,141,141,100.0,19001
19,2,146,146,100.0,19002
19,3,84,84,100.0,19003
19,4,119,119,100.0,19004
19,6,96,96,100.0,19006
19,8,95,95,100.0,19008
19,9,95,95,100.0,19009
19,11,157,157,100.0,19011
19,12,104,104,100.0,19012
19,15,96,96,100.0,19015
19,16,171,171,100.0,19016
19,19,142,142,100.0,19019
19,21,91,91,100.0,19021
19,22,157,157,100.0,19022
19,24,120,120,100.0,19024
19,29,27,27,100.0,19029
19,30,109,109,100.0,19030
19,33,127,127,100.0,19033
19,39,47,47,100.0,19039
19,41,86,86,100.0,19041
19,44,105,105,100.0,19044
19,45,157,157,100.0,19045
19,47,225,225,100.0,19047
19,51,108,108,100.0,19051
19,53,132,132,100.0,19053
19,54,103,103,100.0,19054
19,58,93,93,100.0,19058
19,59,139,139,100.0,19059
19,61,197,197,100.0,19061
19,63,109,109,100.0,19063
41,3,61,61,100.0,41003
41,5,85,85,100.0,41005
41,7,74,74,100.0,41007
41,8,52,52,100.0,41008
41,9,65,65,100.0,41009
41,11,69,69,100.0,41011
41,13,40,40,100.0,41013
41,15,71,71,100.0,41015
41,16,65,65,100.0,41016
41,17,76,76,100.0,41017
41,18,70,70,100.0,41018
41,20,94,94,100.0,41020
41,21,79,79,100.0,41021
41,22,61,61,100.0,41022
41,25,22,22,100.0,41025
41,27,15,15,100.0,41027
41,28,49,49,100.0,41028
41,29,18,18,100.0,41029
41,30,69,69,100.0,41030
41,31,80,80,100.0,41031
41,32,33,33,100.0,41032
41,33,46,46,100.0,41033
41,34,61,61,100.0,41034
41,35,70,70,100.0,41035
41,36,81,81,100.0,41036
41,37,77,77,100.0,41037
41,38,83,83,100.0,41038
41,41,61,61,100.0,41041
41,43,57,57,100.0,41043
41,45,54,54,100.0,41045
41,46,57,57,100.0,41046
41,48,41,41,100.0,41048
41,50,70,70,100.0,41050
41,52,119,119,100.0,41052
41,53,71,71,100.0,41053
41,55,36,36,100.0,41055
