ward,precinct,total,Latasha Thomas,Latasha Thomas Percent,precinct_id
17,1,68,68,100.0,17001
17,2,60,60,100.0,17002
17,3,71,71,100.0,17003
17,4,105,105,100.0,17004
17,5,54,54,100.0,17005
17,6,87,87,100.0,17006
17,7,77,77,100.0,17007
17,8,63,63,100.0,17008
17,9,101,101,100.0,17009
17,10,79,79,100.0,17010
17,11,55,55,100.0,17011
17,12,124,124,100.0,17012
17,13,38,38,100.0,17013
17,14,49,49,100.0,17014
17,15,60,60,100.0,17015
17,16,77,77,100.0,17016
17,17,38,38,100.0,17017
17,18,94,94,100.0,17018
17,19,35,35,100.0,17019
17,20,61,61,100.0,17020
17,21,121,121,100.0,17021
17,22,84,84,100.0,17022
17,23,93,93,100.0,17023
17,24,80,80,100.0,17024
17,25,47,47,100.0,17025
17,26,81,81,100.0,17026
17,27,99,99,100.0,17027
17,28,59,59,100.0,17028
17,29,154,154,100.0,17029
17,30,86,86,100.0,17030
17,31,74,74,100.0,17031
17,32,58,58,100.0,17032
17,33,47,47,100.0,17033
17,34,55,55,100.0,17034
17,35,101,101,100.0,17035
17,36,24,24,100.0,17036
17,37,82,82,100.0,17037
17,38,42,42,100.0,17038
17,39,57,57,100.0,17039
17,40,47,47,100.0,17040
17,41,44,44,100.0,17041
17,42,50,50,100.0,17042
17,43,46,46,100.0,17043
17,44,109,109,100.0,17044
17,45,31,31,100.0,17045
17,46,67,67,100.0,17046
17,47,79,79,100.0,17047
17,48,64,64,100.0,17048
17,49,32,32,100.0,17049
17,50,46,46,100.0,17050
17,51,50,50,100.0,17051
17,52,100,100,100.0,17052
17,53,74,74,100.0,17053
17,54,89,89,100.0,17054
17,55,56,56,100.0,17055
