ward,precinct,total,John Arena,John Arena Percent,Jose ''Joe'' L. Rivera,Jose ''Joe'' L. Rivera Percent,Jacquelyn Hathaway,Jacquelyn Hathaway Percent,precinct_id
45,1,123,98,79.67,14,11.38,11,8.94,45001
45,2,95,71,74.74,6,6.32,18,18.95,45002
45,3,130,62,47.69,5,3.85,63,48.46,45003
45,4,102,73,71.57,8,7.84,21,20.59,45004
45,5,93,64,68.82,8,8.6,21,22.58,45005
45,6,95,69,72.63,5,5.26,21,22.11,45006
45,7,91,64,70.33,8,8.79,19,20.88,45007
45,8,80,53,66.25,14,17.5,13,16.25,45008
45,9,116,85,73.28,8,6.9,23,19.83,45009
45,10,98,84,85.71,3,3.06,11,11.22,45010
45,11,84,56,66.67,4,4.76,24,28.57,45011
45,12,107,85,79.44,4,3.74,18,16.82,45012
45,13,122,85,69.67,10,8.2,27,22.13,45013
45,14,100,80,80.0,7,7.0,13,13.0,45014
45,15,94,63,67.02,4,4.26,27,28.72,45015
45,16,102,79,77.45,8,7.84,15,14.71,45016
45,17,63,48,76.19,3,4.76,12,19.05,45017
45,18,122,87,71.31,4,3.28,31,25.41,45018
45,19,109,82,75.23,7,6.42,20,18.35,45019
45,20,89,67,75.28,6,6.74,16,17.98,45020
45,21,89,61,68.54,7,7.87,21,23.6,45021
45,22,64,46,71.88,3,4.69,15,23.44,45022
45,23,121,80,66.12,7,5.79,34,28.1,45023
45,24,99,82,82.83,6,6.06,11,11.11,45024
45,25,105,77,73.33,7,6.67,21,20.0,45025
45,26,116,71,61.21,8,6.9,37,31.9,45026
45,27,79,51,64.56,2,2.53,26,32.91,45027
45,28,113,90,79.65,11,9.73,12,10.62,45028
45,29,99,78,78.79,8,8.08,13,13.13,45029
45,30,96,55,57.29,5,5.21,36,37.5,45030
45,31,115,89,77.39,10,8.7,16,13.91,45031
45,32,47,29,61.7,5,10.64,13,27.66,45032
45,33,85,64,75.29,4,4.71,17,20.0,45033
45,34,79,59,74.68,6,7.59,14,17.72,45034
45,35,107,81,75.7,12,11.21,14,13.08,45035
45,36,103,85,82.52,4,3.88,14,13.59,45036
45,37,101,82,81.19,5,4.95,14,13.86,45037
45,38,108,89,82.41,10,9.26,9,8.33,45038
45,39,129,103,79.84,7,5.43,19,14.73,45039
45,40,131,90,68.7,7,5.34,34,25.95,45040
45,41,70,54,77.14,3,4.29,13,18.57,45041
45,42,91,68,74.73,6,6.59,17,18.68,45042
45,43,66,52,78.79,6,9.09,8,12.12,45043
45,44,93,59,63.44,2,2.15,32,34.41,45044
45,45,79,56,70.89,8,10.13,15,18.99,45045
45,46,124,104,83.87,6,4.84,14,11.29,45046
45,47,79,59,74.68,8,10.13,12,15.19,45047
45,48,124,99,79.84,7,5.65,18,14.52,45048
45,49,104,85,81.73,7,6.73,12,11.54,45049
45,50,84,64,76.19,6,7.14,14,16.67,45050
45,51,92,55,59.78,8,8.7,29,31.52,45051
45,52,92,55,59.78,6,6.52,31,33.7,45052
45,53,66,52,78.79,1,1.52,13,19.7,45053
