ward,precinct,total,Patricia ''Pat'' Mahon,Patricia ''Pat'' Mahon Percent,Donna Miller,Donna Miller Percent,Napoleon Harris,Napoleon Harris Percent,precinct_id
9,3,43,16,37.21,15,34.88,12,27.91,09003
9,4,159,29,18.24,65,40.88,65,40.88,09004
9,7,142,25,17.61,76,53.52,41,28.87,09007
9,11,97,13,13.4,40,41.24,44,45.36,09011
9,15,116,16,13.79,51,43.97,49,42.24,09015
9,16,174,30,17.24,70,40.23,74,42.53,09016
9,18,136,19,13.97,48,35.29,69,50.74,09018
9,24,85,21,24.71,38,44.71,26,30.59,09024
9,26,75,11,14.67,29,38.67,35,46.67,09026
9,28,4,1,25.0,1,25.0,2,50.0,09028
9,33,91,20,21.98,34,37.36,37,40.66,09033
9,41,152,22,14.47,67,44.08,63,41.45,09041
9,44,76,11,14.47,41,53.95,24,31.58,09044
9,45,239,46,19.25,77,32.22,116,48.54,09045
