ward,precinct,total,H Yvonne Coleman,H Yvonne Coleman Percent,precinct_id
3,1,511,511,100.0,03001
3,2,486,486,100.0,03002
3,4,452,452,100.0,03004
3,5,239,239,100.0,03005
3,7,240,240,100.0,03007
3,8,313,313,100.0,03008
3,9,420,420,100.0,03009
3,10,179,179,100.0,03010
3,11,416,416,100.0,03011
3,12,397,397,100.0,03012
3,15,361,361,100.0,03015
3,16,351,351,100.0,03016
3,18,505,505,100.0,03018
3,20,422,422,100.0,03020
3,23,335,335,100.0,03023
3,24,337,337,100.0,03024
3,28,241,241,100.0,03028
3,29,370,370,100.0,03029
3,30,344,344,100.0,03030
3,31,445,445,100.0,03031
3,35,198,198,100.0,03035
3,36,212,212,100.0,03036
3,37,371,371,100.0,03037
3,38,326,326,100.0,03038
3,41,287,287,100.0,03041
4,1,660,660,100.0,04001
4,3,325,325,100.0,04003
4,4,554,554,100.0,04004
4,5,422,422,100.0,04005
4,6,365,365,100.0,04006
4,7,511,511,100.0,04007
4,8,459,459,100.0,04008
4,9,476,476,100.0,04009
4,10,546,546,100.0,04010
4,11,433,433,100.0,04011
4,12,510,510,100.0,04012
4,14,446,446,100.0,04014
4,15,531,531,100.0,04015
4,18,408,408,100.0,04018
4,19,301,301,100.0,04019
4,22,436,436,100.0,04022
4,23,611,611,100.0,04023
4,24,395,395,100.0,04024
4,26,404,404,100.0,04026
4,27,576,576,100.0,04027
4,28,359,359,100.0,04028
4,29,358,358,100.0,04029
4,30,565,565,100.0,04030
4,31,431,431,100.0,04031
4,32,497,497,100.0,04032
4,33,441,441,100.0,04033
4,34,374,374,100.0,04034
4,35,531,531,100.0,04035
4,36,483,483,100.0,04036
4,38,475,475,100.0,04038
5,1,328,328,100.0,05001
5,2,282,282,100.0,05002
5,3,453,453,100.0,05003
5,4,562,562,100.0,05004
5,5,345,345,100.0,05005
5,6,301,301,100.0,05006
5,7,432,432,100.0,05007
5,8,426,426,100.0,05008
5,9,513,513,100.0,05009
5,10,298,298,100.0,05010
5,11,433,433,100.0,05011
5,12,122,122,100.0,05012
5,13,328,328,100.0,05013
5,14,318,318,100.0,05014
5,15,364,364,100.0,05015
5,16,353,353,100.0,05016
5,17,303,303,100.0,05017
5,18,394,394,100.0,05018
5,19,397,397,100.0,05019
5,20,487,487,100.0,05020
5,21,457,457,100.0,05021
5,22,470,470,100.0,05022
5,23,704,704,100.0,05023
5,24,452,452,100.0,05024
5,25,377,377,100.0,05025
5,26,398,398,100.0,05026
5,27,471,471,100.0,05027
5,28,413,413,100.0,05028
5,29,410,410,100.0,05029
5,30,251,251,100.0,05030
5,31,287,287,100.0,05031
5,32,506,506,100.0,05032
5,33,416,416,100.0,05033
5,34,479,479,100.0,05034
5,35,509,509,100.0,05035
5,36,204,204,100.0,05036
5,37,448,448,100.0,05037
5,38,325,325,100.0,05038
5,39,323,323,100.0,05039
5,40,290,290,100.0,05040
5,41,226,226,100.0,05041
6,7,291,291,100.0,06007
6,9,261,261,100.0,06009
6,11,261,261,100.0,06011
6,15,207,207,100.0,06015
6,18,26,26,100.0,06018
6,21,155,155,100.0,06021
6,23,162,162,100.0,06023
6,24,164,164,100.0,06024
6,26,201,201,100.0,06026
6,28,152,152,100.0,06028
6,30,212,212,100.0,06030
6,32,293,293,100.0,06032
6,40,86,86,100.0,06040
6,48,331,331,100.0,06048
7,1,281,281,100.0,07001
7,2,303,303,100.0,07002
7,3,332,332,100.0,07003
7,4,309,309,100.0,07004
7,5,256,256,100.0,07005
7,6,401,401,100.0,07006
7,8,256,256,100.0,07008
7,9,533,533,100.0,07009
7,13,25,25,100.0,07013
8,1,253,253,100.0,08001
8,2,248,248,100.0,08002
8,26,79,79,100.0,08026
8,42,379,379,100.0,08042
11,12,351,351,100.0,11012
11,13,295,295,100.0,11013
11,14,139,139,100.0,11014
11,15,115,115,100.0,11015
11,16,192,192,100.0,11016
11,18,211,211,100.0,11018
11,20,198,198,100.0,11020
11,23,177,177,100.0,11023
11,27,108,108,100.0,11027
11,28,127,127,100.0,11028
11,32,138,138,100.0,11032
11,34,100,100,100.0,11034
11,35,66,66,100.0,11035
15,2,182,182,100.0,15002
15,3,183,183,100.0,15003
15,7,180,180,100.0,15007
15,17,193,193,100.0,15017
15,18,161,161,100.0,15018
15,20,191,191,100.0,15020
15,21,172,172,100.0,15021
