ward,precinct,total,Beatriz A. Frausto-Sandoval,Beatriz A. Frausto-Sandoval Percent,precinct_id
3,28,6,6,100.0,03028
11,1,283,283,100.0,11001
11,2,26,26,100.0,11002
11,3,323,323,100.0,11003
11,4,272,272,100.0,11004
11,5,421,421,100.0,11005
11,7,360,360,100.0,11007
11,8,313,313,100.0,11008
11,9,246,246,100.0,11009
11,10,274,274,100.0,11010
11,11,329,329,100.0,11011
11,17,406,406,100.0,11017
11,19,396,396,100.0,11019
11,21,382,382,100.0,11021
11,22,354,354,100.0,11022
11,24,364,364,100.0,11024
11,25,396,396,100.0,11025
11,26,336,336,100.0,11026
11,29,324,324,100.0,11029
11,31,282,282,100.0,11031
11,33,414,414,100.0,11033
11,37,1,1,100.0,11037
11,38,173,173,100.0,11038
12,1,296,296,100.0,12001
12,2,243,243,100.0,12002
12,3,381,381,100.0,12003
12,4,336,336,100.0,12004
12,5,229,229,100.0,12005
12,6,294,294,100.0,12006
12,7,268,268,100.0,12007
12,8,302,302,100.0,12008
12,9,241,241,100.0,12009
12,10,363,363,100.0,12010
12,11,299,299,100.0,12011
12,12,296,296,100.0,12012
12,13,290,290,100.0,12013
12,14,283,283,100.0,12014
12,15,226,226,100.0,12015
12,16,272,272,100.0,12016
12,17,290,290,100.0,12017
12,18,249,249,100.0,12018
12,19,285,285,100.0,12019
12,20,354,354,100.0,12020
12,21,293,293,100.0,12021
12,22,240,240,100.0,12022
12,23,291,291,100.0,12023
14,5,397,397,100.0,14005
14,6,135,135,100.0,14006
14,10,192,192,100.0,14010
14,11,172,172,100.0,14011
14,14,270,270,100.0,14014
14,15,302,302,100.0,14015
14,16,187,187,100.0,14016
14,17,230,230,100.0,14017
14,19,261,261,100.0,14019
14,20,200,200,100.0,14020
14,21,268,268,100.0,14021
14,25,161,161,100.0,14025
14,26,216,216,100.0,14026
14,29,208,208,100.0,14029
14,30,170,170,100.0,14030
14,31,176,176,100.0,14031
15,1,245,245,100.0,15001
15,4,280,280,100.0,15004
15,5,242,242,100.0,15005
15,6,243,243,100.0,15006
15,8,231,231,100.0,15008
15,9,310,310,100.0,15009
15,10,336,336,100.0,15010
15,11,307,307,100.0,15011
15,12,317,317,100.0,15012
15,13,241,241,100.0,15013
15,14,237,237,100.0,15014
15,15,206,206,100.0,15015
15,16,289,289,100.0,15016
15,19,215,215,100.0,15019
16,1,313,313,100.0,16001
16,2,72,72,100.0,16002
16,4,217,217,100.0,16004
16,6,20,20,100.0,16006
16,7,201,201,100.0,16007
16,11,193,193,100.0,16011
16,13,220,220,100.0,16013
16,17,265,265,100.0,16017
16,18,228,228,100.0,16018
16,19,183,183,100.0,16019
16,22,175,175,100.0,16022
16,23,249,249,100.0,16023
16,32,251,251,100.0,16032
16,35,271,271,100.0,16035
17,6,221,221,100.0,17006
17,7,218,218,100.0,17007
17,12,208,208,100.0,17012
17,14,183,183,100.0,17014
17,16,253,253,100.0,17016
17,25,155,155,100.0,17025
20,4,20,20,100.0,20004
20,15,244,244,100.0,20015
20,17,138,138,100.0,20017
20,20,186,186,100.0,20020
22,3,392,392,100.0,22003
22,4,231,231,100.0,22004
22,5,267,267,100.0,22005
22,6,246,246,100.0,22006
22,7,201,201,100.0,22007
22,9,200,200,100.0,22009
22,10,352,352,100.0,22010
22,11,218,218,100.0,22011
22,12,230,230,100.0,22012
22,13,251,251,100.0,22013
22,14,195,195,100.0,22014
22,15,215,215,100.0,22015
22,16,240,240,100.0,22016
22,17,274,274,100.0,22017
22,18,243,243,100.0,22018
22,19,124,124,100.0,22019
22,20,242,242,100.0,22020
22,22,236,236,100.0,22022
22,24,282,282,100.0,22024
22,25,275,275,100.0,22025
24,7,167,167,100.0,24007
24,10,7,7,100.0,24010
24,16,322,322,100.0,24016
24,39,240,240,100.0,24039
25,1,287,287,100.0,25001
25,2,405,405,100.0,25002
25,4,70,70,100.0,25004
25,5,352,352,100.0,25005
25,7,353,353,100.0,25007
25,8,399,399,100.0,25008
25,9,332,332,100.0,25009
25,11,367,367,100.0,25011
25,12,364,364,100.0,25012
25,13,386,386,100.0,25013
25,14,24,24,100.0,25014
25,15,294,294,100.0,25015
25,17,364,364,100.0,25017
25,19,357,357,100.0,25019
25,22,337,337,100.0,25022
25,23,405,405,100.0,25023
25,24,372,372,100.0,25024
25,25,328,328,100.0,25025
25,26,325,325,100.0,25026
25,27,28,28,100.0,25027
25,28,363,363,100.0,25028
25,30,338,338,100.0,25030
25,32,277,277,100.0,25032
28,19,2,2,100.0,28019
