ward,precinct,total,Luis Arroyo,Luis Arroyo Percent,precinct_id
1,2,339,339,100.0,01002
1,17,6,6,100.0,01017
1,26,44,44,100.0,01026
26,24,1,1,100.0,26024
26,37,343,343,100.0,26037
29,15,1,1,100.0,29015
29,23,17,17,100.0,29023
29,24,51,51,100.0,29024
29,29,26,26,100.0,29029
29,30,270,270,100.0,29030
29,31,185,185,100.0,29031
29,36,257,257,100.0,29036
29,38,370,370,100.0,29038
29,39,322,322,100.0,29039
30,2,354,354,100.0,30002
30,5,257,257,100.0,30005
30,6,296,296,100.0,30006
30,9,111,111,100.0,30009
30,10,367,367,100.0,30010
30,11,350,350,100.0,30011
30,12,313,313,100.0,30012
30,13,347,347,100.0,30013
30,14,230,230,100.0,30014
30,16,169,169,100.0,30016
30,19,256,256,100.0,30019
30,21,262,262,100.0,30021
30,29,212,212,100.0,30029
30,30,163,163,100.0,30030
31,3,200,200,100.0,31003
31,4,230,230,100.0,31004
31,14,20,20,100.0,31014
31,15,209,209,100.0,31015
31,16,178,178,100.0,31016
31,19,211,211,100.0,31019
31,21,27,27,100.0,31021
31,22,220,220,100.0,31022
31,25,222,222,100.0,31025
31,31,185,185,100.0,31031
31,39,287,287,100.0,31039
35,2,419,419,100.0,35002
35,3,104,104,100.0,35003
35,7,458,458,100.0,35007
35,8,466,466,100.0,35008
35,14,292,292,100.0,35014
35,18,279,279,100.0,35018
35,19,154,154,100.0,35019
35,21,40,40,100.0,35021
36,1,319,319,100.0,36001
36,2,312,312,100.0,36002
36,3,301,301,100.0,36003
36,4,317,317,100.0,36004
36,5,309,309,100.0,36005
36,6,279,279,100.0,36006
36,7,364,364,100.0,36007
36,8,244,244,100.0,36008
36,9,297,297,100.0,36009
36,10,390,390,100.0,36010
36,11,233,233,100.0,36011
36,12,100,100,100.0,36012
36,13,233,233,100.0,36013
36,15,313,313,100.0,36015
36,18,70,70,100.0,36018
36,19,376,376,100.0,36019
36,21,263,263,100.0,36021
36,22,266,266,100.0,36022
36,23,287,287,100.0,36023
36,24,320,320,100.0,36024
36,25,323,323,100.0,36025
36,26,288,288,100.0,36026
36,27,323,323,100.0,36027
36,28,272,272,100.0,36028
36,29,329,329,100.0,36029
36,30,319,319,100.0,36030
37,22,61,61,100.0,37022
37,26,1,1,100.0,37026
38,4,286,286,100.0,38004
38,8,282,282,100.0,38008
38,10,251,251,100.0,38010
38,16,296,296,100.0,38016
38,21,164,164,100.0,38021
38,37,324,324,100.0,38037
38,39,240,240,100.0,38039
