ward,precinct,total,Michael Cabonargi,Michael Cabonargi Percent,precinct_id
1,1,511,511,100.0,01001
1,2,415,415,100.0,01002
1,3,554,554,100.0,01003
1,4,534,534,100.0,01004
1,5,548,548,100.0,01005
1,6,453,453,100.0,01006
1,7,343,343,100.0,01007
1,8,388,388,100.0,01008
1,9,339,339,100.0,01009
1,10,613,613,100.0,01010
1,11,560,560,100.0,01011
1,12,542,542,100.0,01012
1,13,220,220,100.0,01013
1,14,433,433,100.0,01014
1,15,419,419,100.0,01015
1,16,572,572,100.0,01016
1,17,421,421,100.0,01017
1,18,459,459,100.0,01018
1,19,529,529,100.0,01019
1,20,384,384,100.0,01020
1,21,632,632,100.0,01021
1,22,297,297,100.0,01022
1,23,663,663,100.0,01023
1,24,401,401,100.0,01024
1,25,450,450,100.0,01025
1,26,292,292,100.0,01026
1,27,500,500,100.0,01027
1,28,105,105,100.0,01028
1,29,576,576,100.0,01029
1,30,499,499,100.0,01030
1,31,415,415,100.0,01031
1,32,457,457,100.0,01032
1,33,521,521,100.0,01033
1,34,378,378,100.0,01034
1,35,549,549,100.0,01035
1,36,474,474,100.0,01036
1,37,461,461,100.0,01037
1,38,419,419,100.0,01038
1,39,407,407,100.0,01039
1,40,435,435,100.0,01040
1,41,289,289,100.0,01041
1,42,154,154,100.0,01042
1,43,298,298,100.0,01043
1,44,425,425,100.0,01044
2,1,541,541,100.0,02001
2,2,328,328,100.0,02002
2,3,528,528,100.0,02003
2,4,422,422,100.0,02004
2,5,567,567,100.0,02005
2,6,476,476,100.0,02006
2,7,436,436,100.0,02007
2,8,550,550,100.0,02008
2,9,383,383,100.0,02009
2,10,102,102,100.0,02010
2,11,461,461,100.0,02011
2,12,429,429,100.0,02012
2,13,368,368,100.0,02013
2,14,492,492,100.0,02014
2,15,460,460,100.0,02015
2,16,427,427,100.0,02016
2,17,573,573,100.0,02017
2,18,441,441,100.0,02018
2,19,286,286,100.0,02019
2,20,502,502,100.0,02020
2,21,505,505,100.0,02021
2,22,464,464,100.0,02022
