ward,precinct,total,Antoinette ''Toni'' Puccio-Johnson,Antoinette ''Toni'' Puccio-Johnson Percent,precinct_id
1,19,14,14,100.0,01019
1,39,13,13,100.0,01039
1,41,20,20,100.0,01041
30,1,18,18,100.0,30001
30,3,12,12,100.0,30003
30,8,33,33,100.0,30008
30,13,2,2,100.0,30013
30,15,26,26,100.0,30015
30,18,22,22,100.0,30018
30,25,11,11,100.0,30025
30,28,17,17,100.0,30028
31,16,4,4,100.0,31016
33,1,12,12,100.0,33001
33,2,25,25,100.0,33002
33,3,12,12,100.0,33003
33,4,25,25,100.0,33004
33,5,15,15,100.0,33005
33,6,19,19,100.0,33006
33,9,23,23,100.0,33009
33,11,16,16,100.0,33011
33,12,20,20,100.0,33012
33,13,7,7,100.0,33013
33,14,11,11,100.0,33014
33,15,17,17,100.0,33015
33,16,10,10,100.0,33016
33,17,30,30,100.0,33017
33,19,14,14,100.0,33019
33,20,17,17,100.0,33020
33,21,20,20,100.0,33021
33,22,16,16,100.0,33022
33,25,15,15,100.0,33025
33,26,22,22,100.0,33026
33,27,13,13,100.0,33027
35,1,18,18,100.0,35001
35,4,18,18,100.0,35004
35,5,14,14,100.0,35005
35,6,23,23,100.0,35006
35,7,8,8,100.0,35007
35,8,11,11,100.0,35008
35,9,14,14,100.0,35009
35,12,7,7,100.0,35012
35,13,6,6,100.0,35013
35,18,18,18,100.0,35018
35,22,5,5,100.0,35022
35,24,6,6,100.0,35024
35,26,16,16,100.0,35026
35,27,18,18,100.0,35027
35,29,23,23,100.0,35029
35,33,12,12,100.0,35033
38,5,44,44,100.0,38005
38,7,31,31,100.0,38007
38,9,24,24,100.0,38009
38,10,26,26,100.0,38010
38,20,40,40,100.0,38020
39,12,22,22,100.0,39012
39,13,11,11,100.0,39013
39,21,1,1,100.0,39021
39,22,10,10,100.0,39022
39,23,7,7,100.0,39023
39,24,7,7,100.0,39024
39,25,16,16,100.0,39025
39,27,33,33,100.0,39027
39,28,41,41,100.0,39028
39,30,15,15,100.0,39030
39,31,12,12,100.0,39031
39,34,32,32,100.0,39034
45,7,1,1,100.0,45007
45,31,1,1,100.0,45031
