ward,precinct,total,Timothy C Wolfe,Timothy C Wolfe Percent,precinct_id
40,3,8,8,100.0,40003
40,4,10,10,100.0,40004
40,7,11,11,100.0,40007
40,8,5,5,100.0,40008
40,9,16,16,100.0,40009
40,11,7,7,100.0,40011
40,12,4,4,100.0,40012
40,13,18,18,100.0,40013
40,16,15,15,100.0,40016
40,18,9,9,100.0,40018
40,22,4,4,100.0,40022
40,26,6,6,100.0,40026
40,27,9,9,100.0,40027
40,28,11,11,100.0,40028
40,31,12,12,100.0,40031
40,33,14,14,100.0,40033
40,35,20,20,100.0,40035
40,36,25,25,100.0,40036
40,37,18,18,100.0,40037
40,39,19,19,100.0,40039
40,41,22,22,100.0,40041
41,1,77,77,100.0,41001
41,2,61,61,100.0,41002
41,4,57,57,100.0,41004
41,5,51,51,100.0,41005
41,7,53,53,100.0,41007
41,8,49,49,100.0,41008
41,11,46,46,100.0,41011
41,13,5,5,100.0,41013
41,15,63,63,100.0,41015
41,16,0,0,0.0,41016
41,18,47,47,100.0,41018
41,20,87,87,100.0,41020
41,25,10,10,100.0,41025
41,28,38,38,100.0,41028
41,29,14,14,100.0,41029
41,31,53,53,100.0,41031
41,32,43,43,100.0,41032
41,33,8,8,100.0,41033
41,34,56,56,100.0,41034
41,36,73,73,100.0,41036
41,37,90,90,100.0,41037
41,40,71,71,100.0,41040
41,41,57,57,100.0,41041
41,42,52,52,100.0,41042
41,43,54,54,100.0,41043
41,45,39,39,100.0,41045
41,48,25,25,100.0,41048
41,49,75,75,100.0,41049
41,55,30,30,100.0,41055
41,56,77,77,100.0,41056
44,3,37,37,100.0,44003
44,4,38,38,100.0,44004
44,7,47,47,100.0,44007
44,18,0,0,0.0,44018
44,24,46,46,100.0,44024
44,35,55,55,100.0,44035
46,1,40,40,100.0,46001
46,2,14,14,100.0,46002
46,4,6,6,100.0,46004
46,6,14,14,100.0,46006
46,7,18,18,100.0,46007
46,8,25,25,100.0,46008
46,9,21,21,100.0,46009
46,10,15,15,100.0,46010
46,11,17,17,100.0,46011
46,12,11,11,100.0,46012
46,14,8,8,100.0,46014
46,15,40,40,100.0,46015
46,16,10,10,100.0,46016
46,19,12,12,100.0,46019
46,20,16,16,100.0,46020
46,21,12,12,100.0,46021
46,22,27,27,100.0,46022
46,23,12,12,100.0,46023
46,25,32,32,100.0,46025
46,26,12,12,100.0,46026
46,27,32,32,100.0,46027
46,28,39,39,100.0,46028
46,30,29,29,100.0,46030
46,32,10,10,100.0,46032
46,33,26,26,100.0,46033
46,34,15,15,100.0,46034
46,35,24,24,100.0,46035
46,37,18,18,100.0,46037
46,38,10,10,100.0,46038
46,39,28,28,100.0,46039
46,40,13,13,100.0,46040
46,41,17,17,100.0,46041
46,42,10,10,100.0,46042
46,45,15,15,100.0,46045
48,1,17,17,100.0,48001
48,2,29,29,100.0,48002
48,3,22,22,100.0,48003
48,4,25,25,100.0,48004
48,5,24,24,100.0,48005
48,6,25,25,100.0,48006
48,7,8,8,100.0,48007
48,8,26,26,100.0,48008
48,9,36,36,100.0,48009
48,10,8,8,100.0,48010
48,11,14,14,100.0,48011
48,12,17,17,100.0,48012
48,13,22,22,100.0,48013
48,14,69,69,100.0,48014
48,15,8,8,100.0,48015
48,16,26,26,100.0,48016
48,17,18,18,100.0,48017
48,18,15,15,100.0,48018
48,19,6,6,100.0,48019
48,20,14,14,100.0,48020
48,21,18,18,100.0,48021
48,22,34,34,100.0,48022
48,23,17,17,100.0,48023
48,24,2,2,100.0,48024
48,25,22,22,100.0,48025
48,26,22,22,100.0,48026
48,27,15,15,100.0,48027
48,28,20,20,100.0,48028
48,29,14,14,100.0,48029
48,30,12,12,100.0,48030
48,31,14,14,100.0,48031
48,32,5,5,100.0,48032
48,33,22,22,100.0,48033
48,34,9,9,100.0,48034
48,35,13,13,100.0,48035
48,36,24,24,100.0,48036
48,37,12,12,100.0,48037
48,38,11,11,100.0,48038
48,39,24,24,100.0,48039
48,40,11,11,100.0,48040
