ward,precinct,total,Emil Frank Coccaro,Emil Frank Coccaro Percent,precinct_id
5,1,4,4,100.0,05001
5,2,0,0,0.0,05002
5,3,1,1,100.0,05003
5,4,0,0,0.0,05004
5,5,3,3,100.0,05005
5,6,3,3,100.0,05006
5,7,1,1,100.0,05007
5,8,5,5,100.0,05008
5,9,0,0,0.0,05009
5,10,1,1,100.0,05010
5,11,11,11,100.0,05011
5,12,0,0,0.0,05012
5,13,3,3,100.0,05013
5,14,2,2,100.0,05014
5,15,4,4,100.0,05015
5,16,0,0,0.0,05016
5,17,0,0,0.0,05017
5,18,3,3,100.0,05018
5,19,0,0,0.0,05019
5,20,0,0,0.0,05020
5,21,0,0,0.0,05021
5,22,2,2,100.0,05022
5,23,0,0,0.0,05023
5,24,2,2,100.0,05024
5,25,2,2,100.0,05025
5,26,0,0,0.0,05026
5,27,14,14,100.0,05027
5,28,0,0,0.0,05028
5,29,0,0,0.0,05029
5,30,14,14,100.0,05030
5,31,0,0,0.0,05031
5,32,5,5,100.0,05032
5,33,1,1,100.0,05033
5,34,2,2,100.0,05034
5,35,14,14,100.0,05035
5,36,6,6,100.0,05036
5,37,9,9,100.0,05037
5,38,1,1,100.0,05038
5,39,7,7,100.0,05039
5,40,0,0,0.0,05040
5,41,7,7,100.0,05041
5,42,0,0,0.0,05042
5,43,1,1,100.0,05043
5,44,3,3,100.0,05044
5,45,0,0,0.0,05045
5,46,7,7,100.0,05046
5,47,0,0,0.0,05047
5,48,3,3,100.0,05048
