ward,precinct,total,Jackie Robinson,Jackie Robinson Percent,Darnell B. Macklin,Darnell B. Macklin Percent,Michael E. Sangster,Michael E. Sangster Percent,precinct_id
6,1,0,0,0.0,0,0.0,0,0.0,06001
6,2,1,0,0.0,1,100.0,0,0.0,06002
6,3,0,0,0.0,0,0.0,0,0.0,06003
6,4,0,0,0.0,0,0.0,0,0.0,06004
6,5,0,0,0.0,0,0.0,0,0.0,06005
6,6,4,3,75.0,1,25.0,0,0.0,06006
6,7,0,0,0.0,0,0.0,0,0.0,06007
6,8,0,0,0.0,0,0.0,0,0.0,06008
6,9,1,0,0.0,0,0.0,1,100.0,06009
6,10,1,0,0.0,1,100.0,0,0.0,06010
6,11,2,1,50.0,1,50.0,0,0.0,06011
6,12,1,1,100.0,0,0.0,0,0.0,06012
6,13,1,0,0.0,1,100.0,0,0.0,06013
6,14,0,0,0.0,0,0.0,0,0.0,06014
6,15,1,0,0.0,0,0.0,1,100.0,06015
6,16,3,2,66.67,1,33.33,0,0.0,06016
6,17,2,1,50.0,1,50.0,0,0.0,06017
6,18,2,1,50.0,1,50.0,0,0.0,06018
6,19,1,1,100.0,0,0.0,0,0.0,06019
6,20,1,1,100.0,0,0.0,0,0.0,06020
6,21,4,1,25.0,3,75.0,0,0.0,06021
6,22,0,0,0.0,0,0.0,0,0.0,06022
6,23,0,0,0.0,0,0.0,0,0.0,06023
6,24,0,0,0.0,0,0.0,0,0.0,06024
6,25,1,1,100.0,0,0.0,0,0.0,06025
6,26,0,0,0.0,0,0.0,0,0.0,06026
6,27,0,0,0.0,0,0.0,0,0.0,06027
6,28,1,0,0.0,0,0.0,1,100.0,06028
6,29,1,1,100.0,0,0.0,0,0.0,06029
6,30,1,0,0.0,1,100.0,0,0.0,06030
6,31,1,0,0.0,0,0.0,1,100.0,06031
6,32,1,0,0.0,1,100.0,0,0.0,06032
6,33,1,0,0.0,0,0.0,1,100.0,06033
6,34,1,1,100.0,0,0.0,0,0.0,06034
6,35,2,0,0.0,2,100.0,0,0.0,06035
6,36,1,0,0.0,0,0.0,1,100.0,06036
6,37,1,0,0.0,1,100.0,0,0.0,06037
6,38,1,0,0.0,1,100.0,0,0.0,06038
6,39,1,0,0.0,1,100.0,0,0.0,06039
6,40,1,1,100.0,0,0.0,0,0.0,06040
6,41,0,0,0.0,0,0.0,0,0.0,06041
6,42,0,0,0.0,0,0.0,0,0.0,06042
6,43,1,0,0.0,1,100.0,0,0.0,06043
6,44,1,0,0.0,1,100.0,0,0.0,06044
6,45,0,0,0.0,0,0.0,0,0.0,06045
6,46,2,1,50.0,1,50.0,0,0.0,06046
6,47,1,0,0.0,1,100.0,0,0.0,06047
6,48,1,0,0.0,0,0.0,1,100.0,06048
6,49,8,3,37.5,5,62.5,0,0.0,06049
6,50,2,2,100.0,0,0.0,0,0.0,06050
6,51,14,0,0.0,14,100.0,0,0.0,06051
6,52,2,1,50.0,1,50.0,0,0.0,06052
6,53,0,0,0.0,0,0.0,0,0.0,06053
6,54,18,0,0.0,17,94.44,1,5.56,06054
6,55,6,4,66.67,2,33.33,0,0.0,06055
6,56,1,1,100.0,0,0.0,0,0.0,06056
6,57,0,0,0.0,0,0.0,0,0.0,06057
6,58,0,0,0.0,0,0.0,0,0.0,06058
6,59,2,1,50.0,1,50.0,0,0.0,06059
