ward,precinct,total,Jeff Arseneau (Romney),Jeff Arseneau (Romney) Percent,Shaun Murphy (Romney),Shaun Murphy (Romney) Percent,Patrick E. Rea (Romney),Patrick E. Rea (Romney) Percent,Jerome Kohn (Paul),Jerome Kohn (Paul) Percent,Greg Stetch (Paul),Greg Stetch (Paul) Percent,Matthew Murphy (Paul),Matthew Murphy (Paul) Percent,Larry Beaumont (Gingrich),Larry Beaumont (Gingrich) Percent,Chuck Augustyniak (Gingrich),Chuck Augustyniak (Gingrich) Percent,Michael R. Naughton (Gingrich),Michael R. Naughton (Gingrich) Percent,Eric M. Wallace (Santorum),Eric M. Wallace (Santorum) Percent,Jennifer L. Wallace (Santorum),Jennifer L. Wallace (Santorum) Percent,Gina M. Danaher (Santorum),Gina M. Danaher (Santorum) Percent,precinct_id
2,14,18,3,16.67,3,16.67,3,16.67,1,5.56,1,5.56,1,5.56,1,5.56,1,5.56,1,5.56,1,5.56,1,5.56,1,5.56,02014
2,31,18,3,16.67,1,5.56,2,11.11,3,16.67,4,22.22,2,11.11,2,11.11,0,0.0,0,0.0,0,0.0,0,0.0,1,5.56,02031
2,44,5,0,0.0,0,0.0,0,0.0,2,40.0,1,20.0,0,0.0,0,0.0,0,0.0,0,0.0,1,20.0,0,0.0,1,20.0,02044
2,46,3,1,33.33,1,33.33,1,33.33,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,02046
3,5,17,3,17.65,4,23.53,4,23.53,0,0.0,2,11.76,1,5.88,1,5.88,0,0.0,0,0.0,2,11.76,0,0.0,0,0.0,03005
3,7,10,1,10.0,1,10.0,2,20.0,2,20.0,2,20.0,2,20.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,03007
3,20,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,03020
3,23,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,03023
3,30,10,1,10.0,1,10.0,1,10.0,2,20.0,3,30.0,2,20.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,03030
3,34,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,03034
3,38,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,03038
3,41,4,0,0.0,1,25.0,0,0.0,1,25.0,1,25.0,1,25.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,03041
3,49,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,03049
4,1,48,6,12.5,5,10.42,5,10.42,8,16.67,8,16.67,7,14.58,0,0.0,0,0.0,0,0.0,3,6.25,4,8.33,2,4.17,04001
4,2,7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,42.86,2,28.57,2,28.57,04002
4,3,15,0,0.0,0,0.0,0,0.0,2,13.33,2,13.33,2,13.33,0,0.0,1,6.67,0,0.0,3,20.0,3,20.0,2,13.33,04003
4,8,4,1,25.0,1,25.0,1,25.0,1,25.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,04008
4,9,6,0,0.0,0,0.0,0,0.0,2,33.33,1,16.67,1,16.67,1,16.67,0,0.0,0,0.0,0,0.0,1,16.67,0,0.0,04009
4,12,16,2,12.5,2,12.5,1,6.25,2,12.5,2,12.5,1,6.25,0,0.0,0,0.0,0,0.0,2,12.5,2,12.5,2,12.5,04012
4,13,32,5,15.63,6,18.75,4,12.5,3,9.38,2,6.25,2,6.25,1,3.13,0,0.0,0,0.0,3,9.38,3,9.38,3,9.38,04013
4,16,6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,16.67,0,0.0,0,0.0,0,0.0,1,16.67,2,33.33,2,33.33,04016
4,17,67,17,25.37,17,25.37,16,23.88,1,1.49,1,1.49,2,2.99,2,2.99,1,1.49,1,1.49,3,4.48,3,4.48,3,4.48,04017
