ward,precinct,total,Lionel Garcia,Lionel Garcia Percent,Nathan Wilson,Nathan Wilson Percent,precinct_id
16,1,1,0,0.0,1,100.0,16001
16,2,4,2,50.0,2,50.0,16002
16,3,1,0,0.0,1,100.0,16003
16,4,8,7,87.5,1,12.5,16004
16,5,1,0,0.0,1,100.0,16005
16,6,1,0,0.0,1,100.0,16006
16,7,6,5,83.33,1,16.67,16007
16,8,0,0,0.0,0,0.0,16008
16,9,2,0,0.0,2,100.0,16009
16,10,0,0,0.0,0,0.0,16010
16,11,2,0,0.0,2,100.0,16011
16,12,2,1,50.0,1,50.0,16012
16,13,8,6,75.0,2,25.0,16013
16,14,1,1,100.0,0,0.0,16014
16,15,9,0,0.0,9,100.0,16015
16,16,1,0,0.0,1,100.0,16016
16,17,11,8,72.73,3,27.27,16017
16,18,0,0,0.0,0,0.0,16018
16,19,3,3,100.0,0,0.0,16019
16,20,1,0,0.0,1,100.0,16020
16,21,6,5,83.33,1,16.67,16021
16,22,6,5,83.33,1,16.67,16022
16,23,5,3,60.0,2,40.0,16023
16,24,0,0,0.0,0,0.0,16024
16,25,0,0,0.0,0,0.0,16025
16,26,0,0,0.0,0,0.0,16026
16,27,0,0,0.0,0,0.0,16027
16,28,0,0,0.0,0,0.0,16028
16,29,0,0,0.0,0,0.0,16029
16,30,4,3,75.0,1,25.0,16030
16,31,0,0,0.0,0,0.0,16031
16,32,7,4,57.14,3,42.86,16032
16,33,3,0,0.0,3,100.0,16033
16,34,1,1,100.0,0,0.0,16034
16,35,9,7,77.78,2,22.22,16035
16,36,4,0,0.0,4,100.0,16036
16,37,1,1,100.0,0,0.0,16037
16,38,0,0,0.0,0,0.0,16038
16,39,13,7,53.85,6,46.15,16039
16,40,2,2,100.0,0,0.0,16040
