ward,precinct,total,William Mr ''D'' Delay,William Mr ''D'' Delay Percent,precinct_id
18,1,8,8,100.0,18001
18,2,10,10,100.0,18002
18,3,33,33,100.0,18003
18,4,7,7,100.0,18004
18,5,2,2,100.0,18005
18,6,38,38,100.0,18006
18,7,8,8,100.0,18007
18,8,2,2,100.0,18008
18,9,9,9,100.0,18009
18,10,2,2,100.0,18010
18,11,7,7,100.0,18011
18,12,8,8,100.0,18012
18,13,1,1,100.0,18013
18,14,0,0,0.0,18014
18,15,9,9,100.0,18015
18,16,6,6,100.0,18016
18,17,2,2,100.0,18017
18,18,0,0,0.0,18018
18,19,0,0,0.0,18019
18,20,2,2,100.0,18020
18,21,5,5,100.0,18021
18,22,1,1,100.0,18022
18,23,3,3,100.0,18023
18,24,0,0,0.0,18024
18,25,1,1,100.0,18025
18,26,0,0,0.0,18026
18,27,2,2,100.0,18027
18,28,22,22,100.0,18028
18,29,13,13,100.0,18029
18,30,1,1,100.0,18030
18,31,3,3,100.0,18031
18,32,0,0,0.0,18032
18,33,0,0,0.0,18033
18,34,2,2,100.0,18034
18,35,3,3,100.0,18035
18,36,4,4,100.0,18036
18,37,2,2,100.0,18037
18,38,0,0,0.0,18038
18,39,3,3,100.0,18039
18,40,1,1,100.0,18040
18,41,4,4,100.0,18041
18,42,10,10,100.0,18042
18,43,6,6,100.0,18043
18,44,5,5,100.0,18044
18,45,5,5,100.0,18045
18,46,0,0,0.0,18046
18,47,3,3,100.0,18047
18,48,1,1,100.0,18048
18,49,0,0,0.0,18049
18,50,2,2,100.0,18050
18,51,0,0,0.0,18051
18,52,2,2,100.0,18052
18,53,0,0,0.0,18053
