ward,precinct,total,James Parrilli,James Parrilli Percent,Catherina Monica Wojtowicz,Catherina Monica Wojtowicz Percent,precinct_id
19,1,24,16,66.67,8,33.33,19001
19,2,12,9,75.0,3,25.0,19002
19,3,57,30,52.63,27,47.37,19003
19,4,41,19,46.34,22,53.66,19004
19,5,25,13,52.0,12,48.0,19005
19,6,52,26,50.0,26,50.0,19006
19,7,20,12,60.0,8,40.0,19007
19,8,35,13,37.14,22,62.86,19008
19,9,26,17,65.38,9,34.62,19009
19,10,39,22,56.41,17,43.59,19010
19,11,56,34,60.71,22,39.29,19011
19,12,41,25,60.98,16,39.02,19012
19,13,1,0,0.0,1,100.0,19013
19,14,29,16,55.17,13,44.83,19014
19,15,54,26,48.15,28,51.85,19015
19,16,52,28,53.85,24,46.15,19016
19,17,36,20,55.56,16,44.44,19017
19,18,34,13,38.24,21,61.76,19018
19,19,21,12,57.14,9,42.86,19019
19,20,19,14,73.68,5,26.32,19020
19,21,40,19,47.5,21,52.5,19021
19,22,46,31,67.39,15,32.61,19022
19,23,38,21,55.26,17,44.74,19023
19,24,39,18,46.15,21,53.85,19024
19,25,67,48,71.64,19,28.36,19025
19,26,61,41,67.21,20,32.79,19026
19,27,12,7,58.33,5,41.67,19027
19,28,12,8,66.67,4,33.33,19028
19,29,48,28,58.33,20,41.67,19029
19,30,56,25,44.64,31,55.36,19030
19,31,44,30,68.18,14,31.82,19031
19,32,46,24,52.17,22,47.83,19032
19,33,61,35,57.38,26,42.62,19033
19,34,25,18,72.0,7,28.0,19034
19,35,23,15,65.22,8,34.78,19035
19,36,13,8,61.54,5,38.46,19036
19,37,18,8,44.44,10,55.56,19037
19,38,15,9,60.0,6,40.0,19038
19,39,3,2,66.67,1,33.33,19039
19,40,34,26,76.47,8,23.53,19040
19,41,30,15,50.0,15,50.0,19041
19,42,26,13,50.0,13,50.0,19042
19,43,5,5,100.0,0,0.0,19043
19,44,30,16,53.33,14,46.67,19044
19,45,43,17,39.53,26,60.47,19045
19,46,43,25,58.14,18,41.86,19046
19,47,23,16,69.57,7,30.43,19047
19,48,4,2,50.0,2,50.0,19048
19,49,19,9,47.37,10,52.63,19049
19,50,1,0,0.0,1,100.0,19050
19,51,29,10,34.48,19,65.52,19051
19,52,49,20,40.82,29,59.18,19052
19,53,25,13,52.0,12,48.0,19053
19,54,49,27,55.1,22,44.9,19054
19,55,38,25,65.79,13,34.21,19055
19,56,41,25,60.98,16,39.02,19056
19,57,26,16,61.54,10,38.46,19057
19,58,52,24,46.15,28,53.85,19058
19,59,62,39,62.9,23,37.1,19059
19,60,3,2,66.67,1,33.33,19060
19,61,33,21,63.64,12,36.36,19061
19,62,30,15,50.0,15,50.0,19062
19,63,6,3,50.0,3,50.0,19063
