ward,precinct,total,Cheryl A. Frauen,Cheryl A. Frauen Percent,precinct_id
30,1,14,14,100.0,30001
30,2,13,13,100.0,30002
30,3,11,11,100.0,30003
30,4,9,9,100.0,30004
30,5,6,6,100.0,30005
30,6,16,16,100.0,30006
30,7,9,9,100.0,30007
30,8,27,27,100.0,30008
30,9,3,3,100.0,30009
30,10,12,12,100.0,30010
30,11,4,4,100.0,30011
30,12,22,22,100.0,30012
30,13,30,30,100.0,30013
30,14,15,15,100.0,30014
30,15,22,22,100.0,30015
30,16,0,0,0.0,30016
30,17,6,6,100.0,30017
30,18,27,27,100.0,30018
30,19,3,3,100.0,30019
30,20,4,4,100.0,30020
30,21,4,4,100.0,30021
30,22,5,5,100.0,30022
30,23,1,1,100.0,30023
30,24,4,4,100.0,30024
30,25,8,8,100.0,30025
30,26,4,4,100.0,30026
30,27,5,5,100.0,30027
30,28,14,14,100.0,30028
30,29,1,1,100.0,30029
30,30,7,7,100.0,30030
30,31,4,4,100.0,30031
