ward,precinct,total,Walter Zarnecki,Walter Zarnecki Percent,Ann Melichar,Ann Melichar Percent,precinct_id
35,1,15,11,73.33,4,26.67,35001
35,2,13,6,46.15,7,53.85,35002
35,3,13,8,61.54,5,38.46,35003
35,4,22,10,45.45,12,54.55,35004
35,5,17,12,70.59,5,29.41,35005
35,6,23,17,73.91,6,26.09,35006
35,7,21,12,57.14,9,42.86,35007
35,8,9,5,55.56,4,44.44,35008
35,9,17,11,64.71,6,35.29,35009
35,10,6,4,66.67,2,33.33,35010
35,11,19,11,57.89,8,42.11,35011
35,12,15,9,60.0,6,40.0,35012
35,13,11,11,100.0,0,0.0,35013
35,14,15,7,46.67,8,53.33,35014
35,15,24,22,91.67,2,8.33,35015
35,16,7,5,71.43,2,28.57,35016
35,17,7,3,42.86,4,57.14,35017
35,18,18,11,61.11,7,38.89,35018
35,19,9,4,44.44,5,55.56,35019
35,20,8,3,37.5,5,62.5,35020
35,21,5,2,40.0,3,60.0,35021
35,22,4,2,50.0,2,50.0,35022
35,23,5,3,60.0,2,40.0,35023
35,24,7,4,57.14,3,42.86,35024
35,25,21,13,61.9,8,38.1,35025
35,26,22,11,50.0,11,50.0,35026
35,27,21,9,42.86,12,57.14,35027
35,28,13,8,61.54,5,38.46,35028
35,29,25,10,40.0,15,60.0,35029
35,30,16,7,43.75,9,56.25,35030
35,31,5,3,60.0,2,40.0,35031
35,32,3,2,66.67,1,33.33,35032
35,33,13,10,76.92,3,23.08,35033
35,34,18,10,55.56,8,44.44,35034
35,35,8,4,50.0,4,50.0,35035
35,36,5,1,20.0,4,80.0,35036
