ward,precinct,total,JOSEPH G. WILLIAMS,JOSEPH G. WILLIAMS Percent,RAFAEL ''RAFA'' YANEZ,RAFAEL ''RAFA'' YANEZ Percent,RAYMOND A. LOPEZ,RAYMOND A. LOPEZ Percent,BERTO AGUAYO,BERTO AGUAYO Percent,"OTIS DAVIS, JR.","OTIS DAVIS, JR. Percent",precinct_id
15,1,255,1,0.39,93,36.47,113,44.31,48,18.82,0,0.0,15001
15,2,157,46,29.3,9,5.73,89,56.69,1,0.64,12,7.64,15002
15,3,163,30,18.4,7,4.29,101,61.96,1,0.61,24,14.72,15003
15,4,236,4,1.69,73,30.93,99,41.95,57,24.15,3,1.27,15004
15,5,235,4,1.7,89,37.87,74,31.49,66,28.09,2,0.85,15005
15,6,245,2,0.82,79,32.24,124,50.61,38,15.51,2,0.82,15006
15,7,156,36,23.08,16,10.26,85,54.49,1,0.64,18,11.54,15007
15,8,216,2,0.93,57,26.39,79,36.57,78,36.11,0,0.0,15008
15,9,320,0,0.0,88,27.5,154,48.13,78,24.38,0,0.0,15009
15,10,341,4,1.17,84,24.63,173,50.73,78,22.87,2,0.59,15010
15,11,261,6,2.3,84,32.18,129,49.43,42,16.09,0,0.0,15011
15,12,288,6,2.08,85,29.51,151,52.43,46,15.97,0,0.0,15012
15,13,209,1,0.48,48,22.97,95,45.45,62,29.67,3,1.44,15013
15,14,197,2,1.02,59,29.95,63,31.98,73,37.06,0,0.0,15014
15,15,215,2,0.93,54,25.12,77,35.81,77,35.81,5,2.33,15015
15,16,256,1,0.39,35,13.67,184,71.88,30,11.72,6,2.34,15016
15,17,195,33,16.92,12,6.15,126,64.62,7,3.59,17,8.72,15017
15,18,147,45,30.61,11,7.48,81,55.1,2,1.36,8,5.44,15018
15,19,229,8,3.49,54,23.58,122,53.28,33,14.41,12,5.24,15019
15,20,169,44,26.04,10,5.92,99,58.58,3,1.78,13,7.69,15020
15,21,143,25,17.48,33,23.08,68,47.55,2,1.4,15,10.49,15021
15,22,176,38,21.59,11,6.25,98,55.68,4,2.27,25,14.2,15022
15,23,161,33,20.5,22,13.66,83,51.55,3,1.86,20,12.42,15023
15,24,143,40,27.97,3,2.1,74,51.75,3,2.1,23,16.08,15024
