ward,precinct,total,CREATIVE SCOTT,CREATIVE SCOTT Percent,"MICHAEL SCOTT, JR.","MICHAEL SCOTT, JR. Percent",TORIANO A. SANZONE,TORIANO A. SANZONE Percent,TRACI JOHNSON,TRACI JOHNSON Percent,precinct_id
24,1,156,29,18.59,104,66.67,5,3.21,18,11.54,24001
24,2,164,34,20.73,104,63.41,5,3.05,21,12.8,24002
24,3,186,28,15.05,130,69.89,12,6.45,16,8.6,24003
24,4,118,11,9.32,77,65.25,5,4.24,25,21.19,24004
24,5,96,14,14.58,65,67.71,3,3.13,14,14.58,24005
24,6,211,71,33.65,100,47.39,13,6.16,27,12.8,24006
24,7,117,14,11.97,65,55.56,10,8.55,28,23.93,24007
24,8,87,22,25.29,48,55.17,6,6.9,11,12.64,24008
24,9,152,36,23.68,91,59.87,6,3.95,19,12.5,24009
24,10,81,13,16.05,46,56.79,5,6.17,17,20.99,24010
24,11,198,70,35.35,73,36.87,41,20.71,14,7.07,24011
24,12,112,18,16.07,68,60.71,10,8.93,16,14.29,24012
24,13,89,20,22.47,63,70.79,1,1.12,5,5.62,24013
24,14,151,21,13.91,104,68.87,4,2.65,22,14.57,24014
24,15,99,44,44.44,47,47.47,3,3.03,5,5.05,24015
24,16,312,21,6.73,147,47.12,38,12.18,106,33.97,24016
24,17,134,15,11.19,96,71.64,2,1.49,21,15.67,24017
24,18,162,14,8.64,98,60.49,6,3.7,44,27.16,24018
24,19,232,50,21.55,131,56.47,6,2.59,45,19.4,24019
24,20,128,9,7.03,86,67.19,4,3.13,29,22.66,24020
24,21,74,13,17.57,44,59.46,4,5.41,13,17.57,24021
24,22,205,32,15.61,130,63.41,12,5.85,31,15.12,24022
24,23,123,27,21.95,63,51.22,16,13.01,17,13.82,24023
24,24,183,38,20.77,103,56.28,9,4.92,33,18.03,24024
24,25,146,34,23.29,65,44.52,24,16.44,23,15.75,24025
24,26,284,37,13.03,210,73.94,10,3.52,27,9.51,24026
24,27,201,30,14.93,117,58.21,4,1.99,50,24.88,24027
24,28,138,20,14.49,90,65.22,2,1.45,26,18.84,24028
24,29,151,42,27.81,96,63.58,3,1.99,10,6.62,24029
24,30,95,13,13.68,61,64.21,7,7.37,14,14.74,24030
24,31,213,75,35.21,109,51.17,10,4.69,19,8.92,24031
24,32,77,16,20.78,50,64.94,4,5.19,7,9.09,24032
24,33,112,24,21.43,68,60.71,9,8.04,11,9.82,24033
24,34,175,52,29.71,89,50.86,10,5.71,24,13.71,24034
24,35,158,33,20.89,112,70.89,4,2.53,9,5.7,24035
24,36,224,59,26.34,124,55.36,16,7.14,25,11.16,24036
24,37,102,17,16.67,62,60.78,5,4.9,18,17.65,24037
24,38,165,25,15.15,107,64.85,8,4.85,25,15.15,24038
24,39,214,24,11.21,142,66.36,14,6.54,34,15.89,24039
24,40,189,17,8.99,110,58.2,7,3.7,55,29.1,24040
24,41,141,9,6.38,114,80.85,1,0.71,17,12.06,24041
